a|◊:b:o|m:b|	เ:อ|บ:อ|ม:บ:์|
c:h:e|r|w:e:l|l|	เ:ช|อ:ร:์|เ:ว|ล|
c:h:e|r|y|l|	เ:ช|ร|ิ|ล|
c:h:e|s|l|e:y|	เ:ช|ส|ล|ี:ย:์|
c:h:e|s|n|e:y|	เ:ช|ส|น|ี:ย:์|
c:h:e|s|n|u|t|	เ:ช|ส|น|ั|ต|
c:h:e|s|s|	เ:ช|ส|ส:์|
c:h:e|s|s|e:r|	เ:ช|ส|เ:ซ|อ:ร:์|
c:h:e|s|t:e|r|	เ:ช|ส|เ:ต:อ|ร:์|
c:h:e|s|t:e|r|f:i:e|l|d|	เ:ช|ส|เ:ต:อ|ร:์|ฟ:ิ|ล|ด:์|
c:h:e|s|t:e|r|f|i:e|l|d|	เ:ช|ส|เ:ต:อ|ร:์|ฟ|ี|ล|ด:์|
c:h:e|s|t:e|r|m|a|n|	เ:ช|ส|เ:ต:อ|ร:์|เ:ม|ิ:่|น|
c:h:e|s|t:e|r|s|	เ:ช|ส|เ:ต:ิ|ร:์|ส|
c:h:e|s|t:e|r|t:o:n|,:◊|g|.|◊:k|.|	เ:ช|ส|เ:ต:อ|ร:์|ต:ั|น:,:◊|จ|ี:.:เ|ค|.|
c:h:e|s|t|n|u|t|	เ:ช|ส|ต:์|น|ั|ต|
c:h:e|t|t|l:e|	เ:ช|ต|เ:ท:ิ|ล|
c:h:e|t|w|y|n:d|	เ:ช|ต|ว|ิ|น:ด:์|
c:h:e|v:e|s|	ช:ิ|ฟ|ส:์|
c:h|e:w|	ช|ู:ว:์|
c:h|e:w|i|n:g:◊|g|u|m|	ช|ู:ว:์|อ:ิ|ง|ก|ั|ม|
c:h:e|y:e:n|n:e|	ไ:ช|เ:อ|น|
c:h:e|y:e|n|n|e|	ไ:ช|แ|อ:น|น|์|
c:h:i|	ไ:ค|
c:h:i|a|n:g|◊|k:a:i|-:s:h|e:k|	เ:จ|ี:ย|ง|,:◊|ไ:ค|เ:ช|ก|
c:h:i|c|	ช:ิ|ก|
c:h:i|c|a:g|o|	ช:ิ|ค|า|โ:ก|
c:h:i|c:h:e|s|t:e|r|	ช:ิ|เ:ช|ส|เ:ต:อ|ร:์|
c:h:i|c:k|	ช:ิ|ก|
c:h:i|c|k|a|s|a:w|	ช:ิ|ก|ก|า|ซ|อ:ว:์|
c:h:i|c:k|e:n|◊:t:u|r|b|o|t|	ช:ิ|ก:เ:ก|น|เ:ท|อ:ร:์|บ|อ|ต|
c:h:i|c:k:e|r|i|n:g|	ช:ิ|เ:ค|อ:ร|ิ:่|ง|
c:h:i|c|o|r|y|	ช:ิ|ค|อ|ร|ี|
c:h|i|c:o|r:y|	ช|ิ:โ|ค|ร:ี:่|
c:h|i:e:f|	ช|ี:พ|
c:h|i:e|s:a|	ค|ี|ซ:่:า|
c:h:i|f:l|e:y|	ไ:ช|ฟ:์:ล|ี:ย:์|
c:h:i|l|d|	ไ:ช|ล|ด:์|
c:h:i|l|d|e|	ช:ิ|ล|ด|์|
c:h:i|l|d:e|r|s|	ช:ิ|ล|เ:ด:ิ|ร:์|ส|
c:h:i|l|d|r|e:s:s|	ช:ิ|ล|ด|ร|ิ:ส|
c:h:i|l|d|s|	ไ:ช|ล|ด:์|ส|
c:h:i|l|e|	ช:ิ|ล|ี|
c:h:i|l|e:s|	ไ:ช|ล:์|ส|
c:h:i|l|i|	ช:ิ|ล|ี|
c:h:i|l|l:e|r|	ช:ิ|ล|เ:ล:อ|ร:์|
c:h:i|l:l|i|n:g|w:o|r|t:h|	ช:ิ|ล|ิ|ง:ก:์|เ:ว:ิ|ร:์|ท|
c:h:i|l|l|y|	ช:ิ|ล|ล|ิ|
c:h:i|l|t|o:n|	ช:ิ|ล|เ:ต|ิ:้:น|
c:h:i|m|p|a:n|z|e:e|	ช:ิ|ม|แ:ป|น|ซ|ี|
c:h:i|n|a|	ไ:ช|น|า|
c:h:i|n:a:◊|c|l:a|y|	ไ:ช|น:า|เ:ค|ล|ย:์|
c:h:i|n:a:◊|s:t|o:n:e|	ไ:ช|น:า|ส:โ:ต|น|
c:h:i|n|e|	ไ:ช|น|์|
c:h|i:n:g|	ช|ิ:ง|
c:h:i|n:n|	ช:ิ|น|
c:h:i|n|n:e|r:y|	ช:ิ|น|เ:น:อ|ร:ี:่|
c:h:i|n|o:o:k|	ช:ิ|น|ุ:ก|
c:h:i|n|o:o:k|	ช:ี|น|ุ:ก|
c:h:i|n|o|y|	ช:ี|น|อ|ย|
c:h|i|o|s|	ค|ิ|อ:อ|ส|
c:h:i|p|	ช:ิ|ป|
c:h:i|p|b:o:a|r|d|	ช:ิ|ป|บ:อ|ร:์|ด|
c:h:i|p|m|a|n|	ช:ิ|ป|เ:ม|ิ:่|น|
c:h:i|p:p|	ช:ิ|ป:ป:์|
c:h:i|p|p|e:n|d|a:l:e|	ช:ิ|ป|เ:พ|น|เ:ด|ล|
c:h:i|p|p:e|n|d|a:l:e|	ช:ี|ป|เ:ป:ิ|้:น|เ:ด|ล|
c:h:i|p|p|e:n|d|a:l|e:,:◊|t:h|o|m|a|s|	ช:ิ|ป|เ:พ|น|เ:ด|ล|,:◊|ท|อ|ม|ั|ส|
c:h:i|r:a|l|i|t|y|	ไ:ค|แ:ร:ล|ล|ิ|ต|ี|
c:h:i|s|h:o:l|m|	ช:ิ|เ:ซ|ิ:่|ม|
c:h:i|s|m|	ช:ิ|เ:ซ|ิ:่:ม|
c:h:i|s|q:u:a|r|e|	ไ:ค|ส:แ|ค:ว|ร|์|
c:h:i|t|i|n|	ไ:ค|ต|ิ|น|
c:h:i|t|i|n|	ไ:ค|ท|ิ|น|
c:h:i|t|o|n|	ไ:ค|ต|ั|น|
c:h:i|t|o|n|a:c|t|i|s|	ซ:ี|ต|อ|น|แ:น:ค|ท|ิ|ส|
c:h:i|t|t:e|n|d|e:n|	ช:ิ|ต|เ:ท:ิ|น|เ:ด|ิ:่:น|
c:h:i|t|t:y|	ช:ิ|ต|ต:ี:้|
c:h:i|t|w:o:o|d|	ช:ิ|ต|ว:ู|๊:ด|
c:h:i|v:e|r|s|	ไ:ช|เ:ว:ิ|ร:์|ส|
c:h|i:v|i:n:g|t|o|n|	ช|ี:พ:ว|ิ:ง|ต|ั|น|
c:h|l|o|a|n|t:h:i|t|e|	ค|ล|อ|แ:อ|น|ไ:ท|ต|์|
c|h|l:o:e|	โ|ค|ล|
c:h|l|o|r|a|m|i|n:e:s|	ค|ล|อ|ร|า|ม|ี|น|
c|h:l|o:r:e|n|c:h|y|m|a|	ค:อ|ล|เ:ร|ง|ค|ิ|ม|า|
c:h|l:o|r:i|d|e|	ค|ล|อ:ไ:ร|ด|์|
c:h|l|o|r|i|n:a|t|e|d|◊:h:y|d|r:o|c|a|r|b|o:n:s|	ค|ล|อ|ร|ิ|เ:น:เ|ต|็|ด|ไ:ฮ|โ:ด|ร|ค|า|ร:์|บ|อ:น|
c:h|l|o|r|i|n:a|t|e|d|◊:i:s|o|c|y|a|n|u|r:a|t:e:s|	ค|ล|อ|ร|ิ|เ:น:เ|ต|็|ด|ไ:อ|โ:ซ|ไ:ช|ย|า|น|ู:เ|ร|ต|
c:h|l|o|r|i:n:e|	ค|ล|อ|ร|ี:น|
c:h|l:o|r:i|t|e|	ค|ล|อ:ไ:ร|ต|์|
c:h|l:o|r:o|f|l|u|o|r:o|c|a|r|b|o|n|	ค|ล|อ:โ:ร|ฟ|ล|ู|อ|อ:โ:ร|ค|า|ร:์|บ|อ|น|
c:h|l:o|r:o|f|l|u|o|r:o|c|a|r|b|o:n:s|	ค|ล|อ:โ:ร|ฟ|ล|ู|อ|อ:โ:ร|ค|า|ร:์|บ|อ:น|
c:h|l:o|r:o|f|o|r|m|	ค|ล|อ:โ:ร|ฟ|อ|ร:์|ม|
c:h|l:o|r:o|p:h:e|n|o|l|	ค|ล|อ:โ:ร|ฟ:ี|น|อ|ล|
c:h|l:o|r:o|p:h:y|l:l|	ค|ล|อ:โ:ร|ฟ:ิ|ล:ล:์|
c:h|l:o|r:o|p:h|y|l:l|	ค|ล|อ:โ:ร|ฟ|ี|ล:ล:์|
c:h|l:o|r:o|r:g:a|n|i|c|	ค|ล|อ:โ:ร|แ:ก|น|ิ|ก|
c:h|o|c:o|l|a:t:e|	ช|็:อ:ก|โ:ก:เ|ล|ต|
c:h|o|c:o|l|a:t:e|	ช|็:อ|ก:โ:ก|แ:ล|ต|
c:h|o|c|t|a:w|	ช|อ|ก|ท|อ:ว:์|
c:h:o|d|o:s|	โ:ช|โ:ด|ส|
c|h|o:i|r|	ไ|ค|ว|ร:์|
c:h|o:k:e|	โ:ช:้|ก|
c:h:o|k:e:◊|u|p|	โ:ช|้:ก|อ:ั|ป|
c:h:o|k|e|r|	โ:ช|้:ก|เ:ก|อ:ร:์|
c:h:o|k:e|s|	โ:ช|ก|ส:์|
c:h:o|l:o|r:i|d|e|	ค|ล|อ:ไ:ร|ด|์|
c:h:o|l:o|r:o|f|o|r|m|	ค|ล|อ:โ:ร|ฟ|อ|ร:์|ม|
c:h|o|m|s|k|y|	ช|อ|ม|ส|ก|ี|
c:h|o|m|s|k|y|,:◊|n:o|a:m|	ช|อ|ม|ส|ก|ี|,:◊:โ|น|ม|
c:h|o|m|s|k|y|a|n|	ช|อ|ม|ส:เ|ก|ี|ย|น|
c:h|o|n|d|r|i|o|s|o:m:e|	ค|อ|น|ด|ร|ิ|โ:อ|โ:ซ|ม|
c:h|o|n|d|r|i:t|e|	ค|อ|น|ไ:ด|ร|ต|์|
c:h|o|n|d|r:o|d|i:t|e|	ค|อ|น:โ|ด|ร|ไ:ด|ต|์|
c:h:o|p|i:n|,:◊|f|r|e:d:e|r|i|c|	โ:ช|แ:ป|ง|,:◊:เ|ฟ|ร|เ:ด|ร|ี|ก|
c:h|o|p|p:e|r|	ช|อ|ป|เ:ป:อ|ร:์|
c:h|o:p|p|i|n|	ช|็:อ:ป|ป|ิ|น|
c:h|o:p|s|t|i|c:k|s|	ช|็:อ:ป|ส|ต|ิ|ก|ส:์|
c:h|o|r|d|	ค|อ|ร:์|ด|
c:h|o|r|d|a|t|a|	ค|อ|ร:์|ด|า|ต|า|
c:h|o|r|d|a:t:e|	ค|อ|ร:์|เ:ด|ต|
c:h|o|r|i|o|n|	ค|อ|ร|ิ|อ:อ|น|
c:h:o|r:i|z:o|	โ:ช|ร|ิ:โ:ซ|
c:h|o|r|l:e|y|	ค|อ|ร:์|ล|ี:่|
c:h:o|r|o|g|r|a|p:h:i|c|	โ:ค|โ|ร|ก|ร|า|ฟ:ิ|ก|
c:h|o|r|o|i:d|	ค|อ|ร|อ|ย:ด:์|
c:h:o|r:o|p|l:e|t:h|	โ:ค|โ:ร:เ|พ|ล|ท|
c:h|o|r|u|s|	ค|อ|ร|ั|ส|
c:h:o|t:a|r|d|	โ:ช|เ:ท:ิ|ร:์|ด|
c:h:o|w:-:c|h:o:w|	เ:ช|า:เ|ช:า|
c:h:o|w:n|	โ:ช|น|
c:h|o|y|	ช|อ|ย|
c|h|p|	ซ:ี|เ:อ:ช|พ:ี|
c:h|r|i|s|	ค|ร|ิ|ส|
c:h|r|i|s|m:a|n|	ค|ร|ิ|ส|เ:ม:ิ|น|
c:h|r|i|s|s:i:e|	ค|ร|ิ|ส|ซ:ี|
c:h|r|i|s|t|	ค|ร|ิ|ส|ต:์|
c|h|r|i:s|t|	ไ|ค|ร|ส|ต:์|
c:h|r|i|s|t|a|b:e|l|	ค|ร|ิ|ส|ต|า|เ:บ:ิ|ล|
c:h|r|i|s:t:e|n|	ค|ร|ี|เ:ซ|ิ:น|
c:h|r|i|s:t|e:n|s|e:n|	ค|ร|ิ|ส:เ:ต|น|เ:ซ|ิ:่:น|
c:h|r|i|s|t:e:n|s|o|n|	ค|ร|ิ|ส|ต:ี|ส|ั|น|
c:h|r|i|s|t|e:s|e:n|	ค|ร|ิ|ส|ต|ี:เ:ซ|ิ:่:น|
c:h|r|i|s|t|g|a:u|	ค|ร|ี|ส|ต:์|เ:ก|า|
c:h|r|i|s:t|i|a:n|	ค|ร|ิ|ส:เ:ต|ี:ย|น|
c:h|r|i|s|t|i|a|n:a|	ค|ร|ิ|ส|ต|ิ|แ:อ|น:่:า|
c:h|r|i|s:t|i|a|n:o|	ค|ร|ิ|ส:เ:ต|ี:ย|โ|น|
c:h|r|i|s:t|i|a:n|s|e:n|	ค|ร|ิ|ส:เ:ต|ี:ย|น|เ:ซ|ิ:่:น|
c:h|r|i|s|t|i:e|	ค|ร|ิ|ส|ต|ี|
c:h|r|i|s|t|i|n|a|	ค|ร|ิ|ส|ต|ิ|น|า|
c:h|r|i|s|t|i:n:e|	ก|ร|ี|ส|ต|ี:น|
c:h|r|i|s|t|i:n:e|	ค|ร|ิ|ส|ต|ี:น|
c:h|r|i|s|t|i|n:e|	ค|ร|ิ|ส|ท|ี|เ:น:อ|
c:h|r|i|s|t|m:a|n|	ค|ร|ิ|ส|ต:์|เ:ม:ิ|น|
c:h|r|i|s|t|m|a|s|	ค|ร|ิ|ส|ต:์|ม|า|ส|
c:h|r|i|s|t|m|a|s|◊:p:u|d|d|i:n:g|	ค|ร|ิ|ส|ต:์|ม|า|ส|พ:ุ|ด|ด|ิ:ง|
c:h|r|i|s:t|o|	ค|ร|ิ|ส|โ:ต|
c:h|r|i|s|t:o|	ค|ร|ิ|ส|โ:ต:้|
c:h|r|i|s|t|o|f|f:e|l|	ค|ร|ิ|ส|ท|อ|ฟ|เ:ฟ:ิ|ล|
c:h|r|i|s|t:o|p:h|e:r|	ค|ร|ิ|ส|โ:ต:เ|ฟ|อ:ร:์|
c:h|r|i|s|t|o|p:h:e|r|s|o|n|	ค|ร|ิ|ส|ต|อ|เ:ฟ|อ:ร:์|ส|ั|น|
c:h|r|i|s:t|o|v|a|l|	ค|ร|ิ|ส|โ:ต|ว|ั|ล|
c:h|r|i|s|t:y|	ค|ร|ิ|ส|ต:ี:้|
c|h|r|o:m:a|f|f|i|n|	โ|ค|ร|แ:ม|ฟ|ฟ|ิ|น|
c|h|r:o|m|a|t|i|d|	โ|ค|ร|ม|า|ท|ิ|ด|
c|h|r:o|m:a|t:o|g|r|a:m|	โ|ค|ร|ม|า:โ:ท|แ:ก|ร|ม|
c|h|r:o|m:a|t:o|g|r|a|p:h|y|	โ|ค|ร|ม|า:โ:ท|ก|ร|า|ฟ|ี|
c|h|r:o|m:a|t:o|p|l|a|s:m|	โ|ค|ร|ม|า:โ:ท|พ|ล|า|ซ:ึ:ม|
c:h:r|o:m:e|	โ:ค|ร:ม|
c|h|r|o:m|i|u|m|	โ:ค|ร|เ|ม|ี|ย|ม|
c|h|r:o|m:o|c:e|n|t|r:e|	โ|ค|ร|โ:ม:เ|ซ|น|เ:ต|อ:ร:์|
c|h|r|o:m|o:m:e|r|e|	โ:ค|ร|โ|ม|เ:ม|ี:ย:ร|์|
c|h|r|o:m:o|p|l|a|s|t|	โ|ค|ร|โ:ม|พ|ล|า|ส|ต:์|
c|h|r|o:m|o|s|o:m:e|	โ:ค|ร|โ|ม|โ|ซ|ม|
c|h|r|o:m:o|s|p:h:e|r:e|	โ|ค|ร|โ:ม|ส:เ|ฟ:ี|ย:ร:์|
c|h|r|o:n|o:m:e|t:e|r|	โ:ค|ร|โ|น|ม:ิ|เ:ต:อ|ร:์|
c|h|r|y:s|l:e|r|	ไ|ค|ร|ส|เ:ล:อ|ร:์|
c:h|r|y:s:o|c|o|l|l|a|	ค|ร:ิ|โ:ซ|ค|อ|ล|ล|า|
c:h|r|y:s:o|l|i:t|e|	ค|ร:ิ|โ:ซ|ไ:ล|ต|์|
c:h|r|y:s:o|t|i:l|e|	ค|ร:ิ|โ:ซ|ไ:ท|ล|์|
c:h|r|y|s|t|i|e|	ค|ร|ิ|ส|ต|ี|้|
c:h|u:b:b|	ช|ั:บ|
c:h|u|b|b|u:c:k|	ช|า|เ|บ|ิ:ก|
c:h:u|c:k|	ช:ั|ก|
c:h|u|k|c:h|e:e|	ช|ุ|ก|ช|ี|
c:h:u|n|n|e:l|	ช:ั|น|เ:น|ล|
c:h:u|r|b:a|	เ:ช|อ:ร:์|บ:้:า|
c:h:u|r|c:h:e|r|	เ:ช|อ:ร:์|เ:ช|อ:ร:์|
c:h:u|r|c:h:i|l|l|,:◊|w|i|n|s|t|o|n|	เ:ช|อ:ร:์|ช:ิ|ล|ล|์:,:◊|ว|ิ|น|ส|ต|ั|น|
c:h:u|r|c:h|m|a|n|	เ:ช|ิ:ร:์|ช|เ:ม|ิ:่|น|
c:h:u|r|m|	เ:ช|ิ:ร:์|ม|
c:h:u|r|t|o:n|	เ:ช|อ|เ:ต|ิ:้:น|
c:h|u|t:e|r|	ช|ู|เ:ต:อ|ร:์|
c:h:u|t|n|e:y|	ช:ั|ต|น|ี:ย:์|
c|i|a|	ซ:ี|ไ:อ|เ:อ|
c|i|b|b|e|r|	ซ|ิ|บ|เ|บ|อ:ร:์|
c|i|c|e:r:o|	ซ|ิ|เ:ซ|โ:ร|
c|i:d:e|r|	ไ:ซ|เ:ด|อ:ร:์|
c|i|e:n|a|g|a|	เ:ซ|ี:ย|น|า|ก|า|
c|i|f|	ซ:ี|ไ:อ|เ:อ:ฟ|
c|i|g|a|r:e:t|t:e|	ซ|ิ|ก|า|แ:ร|ต|
c|i|l|i|a|t:e|	ซ|ิ|ล|ิ|เ:อ|ด|
c|i|m|	ซ:ี|ไ:อ:เ|อ:็:ม|
c|i|n|c:h:o|n|a|	ซ|ิ|ง|โ:ค|น|า|
c|i|n|c|i:n|n:a|t|u:s|	ซ|ิ|น|เ:ซ|ิ:่:น|แ:น:เ|ท|ิ:่:ส|
c|i|n|d|y|	ซ|ิ|น|ด|ี|
c:i|n:e|p|l|e|x|	ซ:ี:เ|น|เ:พ|ล|็|ก:ซ:์|
c|i|n|n|a|b|a|r|	ซ|ิ|น|น|า|บ|า|ร:์|
c|i|n|n|a|m|i|c|	ซ|ิ|น|น|า|ม|ิ|ก|
c|i|n|n:a|m:o|n|	ซ|ิ|น|น:่:า|เ:ม:ิ|น|
c|i|n|n|a:m|o|n|	ซ|ิ|น|เ:น|ม|อ|น|
c|i|n|q|u|i|n:a|	ซ|ิ|ง|ค|ว|ี|น:่:า|
c|i|o|	ซ:ี|ไ:อ|โ:อ|
c|i:o|f:f|i|	ช|ี:โ:อ|ฟ|ี:่|
c|i|p|o:l|l:e|t|t|i|	ซ|ิ:โ|พ|ล|เ:ล:็|ต|ต|ิ|
c:i|r|c|l:e|	เ:ซ:อ|ร:์|เ:ค:ิ|ล|
c:i|r|c:u|l|a|r|	เ:ซ:อ|ร:์|ค:ิ:ว|ล|า|ร:์|
c:i|r|c|u|m|p:o:l|a|r|	เ:ซ:อ|ร:์|ค|ั|ม|โ:พ|ล|า:ร:์|
c|i|r|i|l:l:o|	ซ|ี|ร|ี|โ:ล|
c|i:r:o|	ซ:ี|โ:ร|
c|i|r|q:u:e|	เ:ซ|ิ|ร:์|ก|
c|i|r|r:o|c:u|m|u|l|u|s|	ซ|ี|ร:์:โ|ร|ค:ิ:ว|ม|ู|ล|ั|ส|
c|i|r|r:o|s:t|r|a:t|u|s|	ซ|ี|ร:์:โ|ร|ส:เ:ต|ร|ต|ั|ส|
c|i|r|r|u|s|	ซ|ี|ร:์|ร|ั|ส|
c|i|s|a|l|p|i:n|e|	ซ|ิ|ซ|ั|ล|ไ:พ|น|์|
c|i|s:c|o|	ซ|ิ|ซ|โ:ก|
c|i|s|n|e:r:o|s|	ซ|ิ|ส|เ:น|โ:ร|ส|
c|i|s|t|r|o|n|	ซ|ิ|ส|ท|ร|อ|น|
c:i|t|r:o|n|	ซ:ี:เ|ท|ร|ิ:น|
c|i|t|t|a|d|i|n:o|	ช|ิ|ต|ต|า|ด|ี|โ:น:้|
c|i|t|y|	ซ|ิ|ต|ี|
c|i|v|i|l|i|z|e|	ซ|ิ|ว|ิ|ไ|ล|ซ|์|
c:i|z|e|k|	ช:ิ:เ|ซ|็|ก|
c|l|a|b|b:e|r|	แ:ค|ล|บ|เ|บ|อ:ร:์|
c|l|a|c:k|	แ:ค|ล|็|ก|
c|l:a:f|l|i|n|	แ:ค|ล:ฟ|ล|ิ|น|
c|l|a|g:u:e|	ค|ล|ั|ก|
c|l:a:i|b:o|r|n:e|	เ:ค|ล|เ:บ:ิ|ร:์|น|
c|l:a|i:m|	เ:ค|ล|ม|
c:l:a|i|r|	แ:ค|ล|ร:์|
c|l:a|i:r:e|	เ:ก|ล|ร:์|
c|l:a|i:r:e|	เ:ค|ล|ร:์|
c:l:a|i|r|e|	แ:ค|ล|ร|์|
c|l|a:m|	แ:ค|ล|ม|
c|l|a:n|	แ:ค|ล|น|
c|l|a:n|c|y|,|◊:t:o|m|	แ:ค|ล|น|ซ|ี|,:◊|ท:อ|ม|
c|l:a|n:t|o:n|	แ:ค|ล|ม:เ:ต|ิ:้:น|
c|l|a:n|w|i|l|l:i:a|m|	แ:ค|ล|น|ว|ิ|ล|เ:ย|ิ:่:ม|
c|l|a:p|h|a:m|	แ:ค|ล|ป|แ:ฮ|ม|
c|l:a|p:h:a|m|	แ:ค|ล|เ:ฟ|ิ:่:ม|
c|l:a|p:p|	แ:ค|ล|ป|
c|l|a|p|p:e|r|	ค|ล|ั|บ|เ:ป:อ|ร:์|
c|l|a:p|t:o:n|,:◊|e|r|i|c|	แ:ค|ล|ป|ต:ั|น:,:◊|เ:อ|ร|ิ|ก|
c|l|a|r|a|	ค|ล|า|ร|า|
c|l:a|r:a|	แ:ค|ล|ร:่:า|
c|l|a|r|d:y|	ค|ล|า|ร:์|ด:ี:้|
c:l:a|r|e|	แ:ค|ล|ร:์|
c:l:a|r|e|m|o|n|t|	แ:ค|ล|ร:์|ม|อ|น|ต:์|
c|l|a|r|e|n|c|e|	ก|ล|า|ร|อ|ง|ซ|์|
c:l:a|r|e|n|c|e|	แ:ค|ล|เ:ร|น|ซ|์|
c|l|a|r|e:n|d|o|n|	ค|ล|า|เ:ร|น|ด|อ|น|
c:l:a|r|e|y|	แ:ค|ล|ร|ี:ย:์|
c|l|a|r|i:b:e|l|	เ:ค|ล|เ:ร|อ|เ:บ|ล|
c|l|a:r:i|d:g:e|	เ:ค|ล|ร:ิ|จ|
c:l:a|r|i|f:i|e|r|	แ:ค|ร|ิ|ไ:ฟ:เ|อ|อ:ร:์|
c|l|a:r|i|n:a|	ค|ล|า|ร:ี|น:่:า|
c|l|a|r|i|n|d:a|	เ:ค|ล|อ|ร|ิ|น|ด:้:า|
c|l|a|r:i|n:e|t|	ค|ล|า|ร:ิ:เ|น|ต|
c|l|a:r|i|t|e|	ค|ล|า|ไ:ร|ต|์|
c:l:a|r|i|t:y|	แ:ค|ล|ร:ี|ต:ี:้|
c|l|a|r|k|	ค|ล|า|ร:์|ก|
c|l|a|r:k:e|	ค|ล|า|ก|
c|l|a|r|k:e|	ค|ล|า|ร:์|ก|
c|l|a|r|k:e|s|	ค|ล|า|ร:์|ก|ส|
c|l|a|r|k|s|o|n|	ค|ล|า|ร:์|ก|ส|ั|น|
c|l|a|r|o:d|u|r|i:t|e|	ค|ล|า|โ:ร|ด|ู|ไ:ร|ต|์|
c|l|a:r|y|	แ:ค|ล|ร|ี:่|
c|l|a:s|	แ:ค|ล|ส|
c|l|a:s|e:n|	เ:ค|ล:เ|ซ|ิ:่:น|
c|l|a:s|o|n|	แ:ค|ล|ส|ั|น|
c|l|a|s|s|i|c|	ค|ล|า|ส|ส|ิ|ก|
c|l:a|u:d|	ค|ล:็:อ|ด|
c|l:a:u|d:e|	ค|ล:อ|ด|
c|l:a|u:d:e|	โ:ก|ล|ด|
c|l:a:u|d:e|l|	ค|ล:อ|เ:ด:ิ|ล|
c|l|a:u|d:e|t:t:e|	โ:ค|ล|เ|ด|็:ต|
c|l:a:u|d|i:n:e|	ค|ล:อ|ด|ี:น|
c|l:a:u|d|i|u|s|	ค|ล:อ|ด|ิ|อ:ั|ส|
c|l:a:u|d:y|	ค|ล:อ|ด:ี:้|
c|l:a:u|g:h|t|o:n|	ค|ล:อ|เ|ต|ิ:้:น|
c|l:a:u|s|	ค|ล:อ|ส|
c|l|a|u:s:e|n|	เ:ค|ล|า|เ:ซ|ิ:่:น|
c|l|a|u:s:e|r|	ค|ล|อ|เ:ซ|อ:ร:์|
c|l:a|u:s:e|w|i|t:z|	ค:อ|ล|ส:์|ว|ิ|ต:ส:์|
c|l:a:u|s|s:e|n|	ค|ล:อ|ส|เ:ซ:ิ|น|
c|l|a:v:a|n|	เ:ค|ล|เ:ว|ิ:่:น|
c|l|a:v:e|	ค|ล:ี|ฟ|
c|l|a|v:e|l|	เ:ค|ล|อ|เ:ว:ิ|ล|
c|l|a:v:e|l:l|,|◊:j:a|m:e|s|	แ:ค|ล|เ:ว|ล:ล:์|,:◊|เ:จ|ม|ส:์|
c|l|a:v:e|r|	เ:ค|ล|เ:ว|อ:ร:์|
c|l|a:w|s|o|n|	ค|ล|อ|ส|ั|น|
c:l:a|x|t:o|n|	แ:ค|ล:็:ก|ส:เ:ต|ิ:้:น|
c|l:a|y|	เ:ค|ล|ย:์|
c|l:a|y|b|r|o|o:k:e|	เ:ค|ล|ย:์|บ|ร|ู|๊:ก|
c|l:a:y|m|a|n|	เ:ค|ล|เ:ม|ิ:่|น|
c|l:a:y|p:o:o|l|	เ:ค|ล|พ:ู|ล|
c|l:a|y|t|o|n|	เ:ค|ล|ย:์|ต|ั|น|
c|l:a|y|t|o:n|	เ:ค|ล|ย:์|เ:ต|ิ:้:น|
c|l:a:y|t|o|r|	เ:ค|ล|เ:ต|อ|ร:์|
c|l:e:a|n|	ค|ล:ี|น|
c|l:e|a:n|t|h|	เ:ค|ล|น|ท|์|
c|l:e|a|r|	เ:ค|ล|ี:ย|ร:์|
c|l:e|a|r:y|	เ:ค|ล|ี:ย|ร:ี:่|
c|l:e:a|v|a:g:e|	ค|ล:ี|เ:ว|จ|
c|l:e:a|v|e|l|a:n|d|i:t|e|	ค|ล:ี|ฟ|แ|ล|น|ไ:ด|ต|์|
c|l:e:a|v:e|r|	ค|ล:ี|เ:ว:อ|ร:์|
c|l:e:a|v:e|s|	ค|ล:ี|ฟ|ส:์|
c|l|e:e|	ค|ล|ี|
c|l|e:e|v:e|	ค|ล|ี|ฟ|
c|l:e|f|t|	เ:ค|ล|ฟ|ต:์|
c|l|e|f|t|	เ:ค|ล|็|ฟ|ต:์|
c|l|e|g:g|	แ:ค|ล|็|ก|
c|l:e|m:e|n|s|	ค|ล:ี:เ|ม|น|ส:์|
c|l:e|m:e|n|s|	เ:ค|ล|เ:ม:ิ|น|ส:์|
c|l:e|m|e:n:t|	เ:ก|ล|ม|อ:ง|
c|l:e|m|e:n|t|	เ:ค|ล|เ:ม|น|ต:์|
c|l:e|m|e:n|t|i|n|a|	เ:ค|ล|เ:ม|น|ต|ี|น|า|
c|l:e|m|e:n|t|i:n:e|	เ:ค|ล|ม|็:อ:ง|ต|ี:น|
c|l:e|m:e|n|t|s|	เ:ค|ล|ม:เ:ม|ิ:น|ท:์|ส|
c|l:e|m:m:e|r|	เ:ค|ล|เ:ม|อ:ร:์|
c|l:e|m|o:n|s|	เ:ค|ล|เ:ม|ิ:่:น|ส:์|
c|l:e|n|c|h|	เ:ค|ล|น|ช|์|
c|l:e|n|d|e:n|i|n|	เ:ค|ล|น|ด:ี|น|ี|น|
c|l|e:o|	ค|ล|ี:โ:อ|
c:l:e|r|g|y|m:e|n|	เ:ค|อ:ร:์|จ|ี|ม|ิ:น|
c|l:e|r|i|h|e|w|	เ:ค|ล|ร|ิ|ฮ|ิ|ว|
c|l:e|r|k|	ค|ล|า:ร:์|ก|
