a:'|m|a|r|i:e|	ಅ|ಮ|ಾ|ರ|ೀ|
d:h|a:r|u|n|	ಧ|ರ|ು|ಣ:್|
d:h|a:r|u|n|a|	ಧ|ರ|ು|ಣ|ಾ|
d:h|a|s|a|	ಧ|ಾ|ಸ|ಾ|
d:h|a|t|r|i|	ಧ|ಾ|ತ:್|ರ|ಿ|
d:h|a:u|l|p|u|r|	ಧ|ಾ|ಲ:್|ಪ|ು|ರ:್|
d:h|a:v|l|e|	ಢ|ವ|ಲ|ೆ|
d:h|a|w:a|n|	ಧ|ಾ|ವ|ನ:್|
d:h|e:e|n|a|	ಧ|ೀ|ನ|ಾ|
d:h|e:e|r|a|	ಧ|ೀ|ರ|ಾ|
d:h|e:e|r|e|n|d|r:a|	ಧ|ೀ|ರ|ೇ|ಂ|ದ:್|ರ|
d:h|e|k|i|a|j:i|l:i|	ಧ|ೆ|ಕ|ಿ|ಯ:ಾ|ಜ|ಿ|
d:h|i|l|l|o:n|	ಢ|ಿ|ಲ:್|ಲ|ೋ|
d:h|i|m:a|a|n|	ಧ|ೀ|ಮ|ಾ|ನ:್|
d:h|i|n|d|a|	ಧ|ಿ|ಂ|ಡ|ಾ|
d:h|i|n|d|s|a|	ಧ|ಿ|ಂ|ಡ:್|ಸ|ಾ|
d:h|i|r|e|n|	ಧ|ೀ|ರ|ೇ|ನ:್|
d:h|i|r|g:a|n|j|	ಧ|ೀ|ರ|ಗ|ಂ|ಜ:್|
d|h:o|b|l|e|	ದ|ೋ|ಬ:್|ಲ|ೆ|
d:h|o|d:h|a|r|	ಧ|ೋ|ಧ|ರ|್|
d:h|o|d|r|a|	ಧ|ೋ|ದ:್|ರ|ಾ|
m|o|h:a|r|	ಮ|ೊ|ಹ|ರ:್|
d:h|o|n|d|i|	ಧ|ೋ|ಂ|ಡ|ಿ|
d:h|o|r|a|j|i|	ಧ|ೋ|ರ|ಾ|ಜ|ಿ|
d:h|r|a|n|g|d:h|r|a|	ಧ|್|ರ|ಂ|ಗ|ಧ|ರ|ಾ|
d:h|r:i|t|i|	ಧ|ೃ|ತ|ಿ|
d:h|r:u|v|a|	ಧ|ೃ|ವ|ಾ|
d:h|u|l|	ದ|ು|ಲ:್|
n|u|n|	ನ|ು|ನ:್|
m|i|s|r|i|	ಮ|ಿ|ಸ:್|ರ|ಿ|
d:h|u|l|k|o|t|	ಧ|ೂ|ಲ|ಕ|ೋ|ಟ:್|
d:h|u|m|r|a|v:a|r|n|	ಧ|ು|ಮ:್|‌:ರ|ಾ|ವ|ರ:್|ನ:್|
d:h|u|r|i|	ಧ|ು|ರ|ೀ|
d|h|v|a|n|i|	ಧ|್|ವ|ಾ|ನ|ಿ|
d|h|w|a|n|i|	ಧ|್|ವ|ಾ|ನ|ೀ|
d|i|a|b|l|o|	ಡ|ಯ|ಾ|ಬ:್|ಲ|ೋ|
d|i|a|n|a|	ಡ|ಯ|ಾ|ನ|ಾ|
d|i|a|n|n|e|	ಡ|ಿ|ಯ:ಾ|ನ:್|ನ|ೆ|
d|i|b|a|n|g|	ದ|ಿ|ಬ|ಾ|ಂ|ಗ:್|
v|a|l:l|e:y|	ವ:್|ಯ:ಾ|ಲ|ಿ|
d|i|c:h|p:a|l|l|i|	ದ|ಿ|ಚ|ಪ|ಲ:್|ಲ|ಿ|
d|i:c|k|	ಡ|ಿ|ಕ:್|
c:h|a|n|e:y|	ಚ|ೆ|ನ|ೀ|
g|r|e|g|o|r|y|	ಗ:್|ರ|ೆ|ಗ|ೋ|ರ|ಿ|
d|i|c|k|i|n|	ಡ|ಿ|ಕ:್|ಕ|ಿ|ನ:್|
d|i|d:j|e|r|i|d|u|	ಡ|ಿ|ಜ|ೆ|ರ|ಿ|ದ|ು|
d|i|g:h|w|a|r|a|	ದ|ಿ|ಗ|ವ|ಾ|ರ|ಾ|
d|i|g|o|d|	ದ|ಿ|ಗ|ೋ|ಡ:್|
d|i|k|s:h|a|	ದ|ೀ|ಕ:್|ಷ|ಾ|
d|i|w|a|n|a|	ದ|ೀ|ವ|ಾ|ನ|ಾ|
l|i|y|a|	ಲ|ಿ|ಯ|ಾ|
h|e:e|r|a|	ಹ|ೀ|ರ|ಾ|
t|e|r|a|	ತ|ೆ|ರ|ಾ|
t|u|j|h|	ತ|ು|ಝ|್|
d|i|l|a|w:a|r|n:a|g:a|r|	ದ|ಿ|ಲ|ಾ|ವ|ರ|ನ|ಗ|ರ:್|
d|i|l|b|a|r|	ದ|ಿ|ಲ:್|‌:ಬ|ರ|್|
d|i|l|e|r|	ದ|ಿ|ಲ|ೇ|ರ:್|
d|i|l|i|p|	ದ|ಿ|ಲ|ಿ|ಪ:ಿ|
d|o|s:h|i|	ದ|ೋ|ಶ|ಿ|
d|i|l|l|o|n|	ಡ|ಿ|ಲ:್|ಲ|ೊ|ನ:್|
d|i|l|r|u|b|a|	ದ|ಿ|ಲ|ರ|ು|ಬ|ಾ|
t|a|n|g|e|w|a|l|i|	ಟ|ಾ|ಂ|ಗ|ೆ|ವ|ಾ|ಲ|ೀ|
d|i|l|w|a|l|e|	ದ|ಿ|ಲ:್|ವ|ಾ|ಲ|ೆ|
d|u|l|h:a|n|i|a|	ದ|ು|ಲ:್|ಹ|ನ|ಿ|ಯ:ಾ|
l|e|	ಲ|ೇ|
j:a|a|y|e|n|g|e|	ಜ|ಾ|ಯ|ೆ|ಂ|ಗ|ೆ|
d|i|l|w|a|r|a|	ದ|ಿ|ಲ:್|ವ|ಾ|ರ|್|
t|e|m|p|l|e|	ಟ|ೆ|ಂ|ಪ|ಲ|್|
d|i|m|a|i|a|	ಡ|ಿ|ಮ|ಾ|ಯ|್|
d|i|m|a|p|u|r|	ದ|ಿ|ಮ|ಾ|ಪ|ು|ರ:್|
d|i|m|o|w|	ದ|ಿ|ಮ|ೋ|ವ:್|
d:a|h|a|d|e|	ದ|ಹ|ಾ|ಡ|ೆ|
d|i|n|a|	ದ|ಿ|ನ|ಾ|
d|i|n:a|n|a|t:h|	ದ|ೀ|ನ|ನ|ಾ|ಥ|
d|i|n|d|a:y|a|l|	ದ|ೀ|ನ:್|‌:ದ|ಯ|ಾ|ಳ:್|
d|i|n|d|i|g:u|l|	ದ|ಿ|ಂ|ಡ|ಿ|ಗ|ಲ:್|
m:a|n|n|a|r|	ಮ|ನ:್|ನ|ಾ|ರ:್|
t:h|i|r|u|m:a|l:a|i|	ತ|ಿ|ರ|ು|ಮ|ಲ|ೈ|
d|i|n|d|o|r|i|	ದ|ಿ|ಂ|ಡ|ೋ|ರ|ಿ|
d|i|n|e|s|h|	ದ|ಿ|ನ|ೇ|ಶ|್|
d|i|n|g|a|n|k:a|r|	ದ|ಿ|ಂ|ಗ|ಂ|ನ:್|ಕ|ರ:್|
d|i|n|k:a|r|	ದ|ಿ|ನ|ಕ|ರ:್|
d|i|n|o|	ಡ|ಿ|ನ|ೊ|
d|i|n|o|s|	ಡ|ಿ|ನ|ೋ|ಸ:್|
d|i|n|u|s:h|a|	ದ|ಿ|ನ|ು|ಶ|ಾ|
f|e|r|n|a|n|d|o|	ಫ|ೆ|ರ:್|ನ|ಾ|ಂ|ಡ|ೊ|
d:i|o|n|	ಡ|ಯ|ನ:್|
n|a|s|h|	ನ:್|ಯ:ಾ|ಷ|್|
d|i|o|n|n|e|	ಡ|ಿ|ಯ:ೊ|ನ:್|ನ|ೆ|
d|i|o|n:y|s|i:u|s|	ಡ|ಿ|ಯ|ೊ|ಸ|ಿ|ಸ:್|
d|i|o|n:y|s:u|s|	ಡ|ಿ|ಯ|ೊ|ಸ|ಸ:್|
d|i|q|r|a:h|	ಡ|ಿ|ಕ:್|ಕ|ಾ|
d|i|r|a|c|	ಡ|ಿ|ರ|ಾ|ಕ:್|
d|i|r|g:h|	ದ|ೀ|ರ:್|ಘ|
d|i|r|k|	ಡ|ಿ|ರ:್|ಕ:್|
v|i|l|j|o|e|n|	ವ|ಿ|ಲ:ಿ|ಜ|ಿ:ಯ|ೊ|ನ:್|
w|e|l:l|h:a|m|	ವ|ೆ|ಲ|ಹ|ಮ:್|
d:i|r|t|	ಡ|ರ:್|ಟ:್|
b|i|k|e|	ಬ|ೈ|ಕ|್|
r|a|c|i|n|g|	ರ|ೇ|ಸ|ಿ|ಂ|ಗ:್|
b|i|k|i|n|g|	ಬ|ೈ|ಕ|ಿ|ಂ|ಗ:್|
d|i|s|a|	ದ|ಿ|ಸ|ಾ|
d|i|s|c|o|	ಡ|ಿ|ಸ:್|ಕ|ೊ|
d|a|n|c:e|r|	ಡ:್|ಯ:ಾ|ನ:್|ಸ|ರ:್|
d|i|s|c:u|s|	ಡ|ಿ|ಸ:್|ಕ|ಸ:್|
d|i|s|p|u|r|	ದ|ೀ|ಸ:್|ಪ|ು|ರ:್|
d|i|v|j|o|t|	ದ|ಿ|ವ|ಜ|ೋ|ತ:್|
d|i|v:o|r|c|e|	ಡ|ೈ|ವ|ರ:್|ಸ|್|
d|i|v|y:a|	ದ|ಿ|ವ:್|ಯ|
d|i|v|y|e|n|d|u|	ದ|ಿ|ವ:್|ಯ|ೇ|ಂ|ದ|ು|
d|i|v|y|e|s|h|	ದ|ಿ|ವ:್|ಯ|ೇ|ಶ|್|
d|i|w|a|n|k:h|a|v:a|t|i|	ದ|ಿ|ವ|ಾ|ನ|ಖ|ಾ|ವ|ತ|ಿ|
d|i|w|e|k:a|r|	ದ|ಿ|ವ|ೇ|ಕ|ರ:್|
d|i|x|i|t|	ದ|ೀ|ಕ:್|ಷ:ಿ|ತ:್|
d|i|x|m|u|d|e|	ಡ:ಿ|ಕ:್|ಸ:್|‌:ಮ|ು|ಡ|ೆ|
d:j|e|m|b|e|	ಜ|ೆ|ಂ|ಬ|ೆ|
d|n|i:e|p:e|r|	ಡ:ೆ|ನ|ೀ|ಪ|ರ:್|
b:e|h|n|e:n|	ಬ|ಹ|ನ|ೇ|
b|i|g:h|a|	ಬ|ೀ|ಘ|ಾ|
z:a|m|e:e|n|	ಜ|ಮ|ೀ|ನ:್|
d|o|s|t|	ದ|ೋ|ಸ:್|ತ:್|
d|u|l|h|e|	ದ|ೂ|ಲ:್|ಹ|ೆ|
g:a|z|	ಗ|ಜ:್|
n|e:e|c:h|e|	ನ|ೀ|ಚ|ೆ|
g|u|l|a|b|	ಗ|ು|ಲ|ಾ|ಬ:್|
k:h|i|l|a|d|i|	ಖ|ಿ|ಲ|ಾ|ಡ|ಿ|
m:a|t|w|a|l|e|	ಮ|ತ|ವ|ಾ|ಲ|ೆ|
m|u|s|a|f|i|r|	ಮ|ು|ಸ|ಾ|ಫ|ಿ|ರ:್|
p|r|e|m|e:e|	ಪ:್|ರ|ೇ|ಮ|ೀ|
q:a|i|d|i|	ಕ|ೈ|ದ|ಿ|
r:a|a|s|t|e|	ರ|ಾ|ಸ:್|ತ|ೆ|
r:a|h|a|	ರ|ಹ|ಾ|
d|o|b:b|e|l:a|a|r|	ಡ|ೊ|ಬ|ೆ|ಲ|ಾ|ರ:್|
d|o|b:h|	ದ|ೋ|ಭ|
b:a|h|a|l|i|	ಬ|ಹ|ಾ|ಲ|ಿ|
d|o|b|r|o|	ಡ|ೋ|ಬ:್|ರ|ೊ|
d|o|b|r|y|	ಡ|ಾ|ಬ:್|ರ|ೆ|
d|o|d|a|	ದ|ೋ|ಡ|ಾ|
d|o|d|d:a|	ದ|ೊ|ಡ:್|ಡ|
g:a|n|e|s|h|	ಗ|ಣ|ೇ|ಶ|್|
d|o|h|r|i|g:h|a|t|	ದ|ೋ|ಹ:್|ರ|ಿ|ಘ|ಾ|ಟ:್|
d|o|l:a|n|	ಡ|ೊ|ಲ|ನ:್|
d:o|l|l:a|r|	ಡ|ಾ|ಲ|ರ:್|
d|o|l:l|y|	ಡ|ಾ|ಲ|ಿ|
p|a|r|t:o|n|	ಪ|ಾ|ರ:್|ಟ|ನ:್|
d|o|l|o|r|e|s|	ಡ|ೊ|ಲ|ೊ|ರ|ಿ|ಸ:್|
d|o|l|t|i|	ಡ|ೋ|ಲ|ತ|ೀ|
n:a|i|y|a|	ನ|ೈ|ಯ|ಾ|
d|o|m|	ಡ|ಾ|ಮ:್|
d|o|m|b|i|v|i|l|i|	ದ|ೊ|ಂ|ಬ|ಿ|ವ|ಿ|ಲ|ಿ|
d|o|m|i|n|i|c|	ಡ|ಾ|ಮ|ಿ|ನ|ಿ|ಕ:್|
c|o|r|k|	ಕ|ೋ|ರ:್|ಕ:್|
d|o|m|i|n|i|c:a|n|	ಡ|ೊ|ಮ|ಿ|ನ|ಿ|ಕ|ನ:್|
d|o|m|i|n|i:c|k|	ಡ|ೊ|ಮ|ಿ|ನ|ಿ|ಕ:್|
d|o|n|	ಡ|ಾ|ನ:್|
j:o|h|n|s:o|n|	ಜ|ಾ|ನ:್|ಸ|ನ:್|
d|o|n:a|k|o|n|d:a|	ದ|ೊ|ನ|ಕ|ೊ|ಂ|ಡ|
d|o|n:a|l|	ಡ|ೋ|ನ|ಲ:್|
d|o|n|a|l|d|	ಡ|ೊ|ನ|ಾ|ಲ:್|ಡ:್|
t|r:u|m|p|	ಟ:್|ರ|ಂ|ಪ:್|
d|o|n|g:a|r|g:a|o|n|	ದ|ೊ|ಂ|ಗ|ರ:್|ಗ|ಾ|ವ:್|
d|o|n|i|g:a|l|	ದ|ೊ|ನ|ಿ|ಗ|ಲ:್|
d|o|n|n|a|	ಡ|ೊ|ನ:್|ನ|ಾ|
d|o|n:n|e|l|	ಡ|ೊ|ನ|ೆ|ಲ:್|
d|o|n:n|e|l|l|y|	ಡ|ಾ|ನ|ೆ|ಲ:್|ಲ|ಿ|
d|o|n:n|y|	ಡ|ಾ|ನ|ಿ|
d|o|n:o|v:a|n|	ಡ|ೊ|ನ|ವ|ನ:್|
d|o:o|d|h|	ದ|ೂ|ಧ|್|
k:a|r|z|	ಕ|ರ:್|ಜ:ಾ|
d|o:o|j|	ದ|ೂ|ಜ:್|
d|o:o|l:e|y|	ಡ|ೂ|ಲ|ೇ|
p:a|a|s|	ಪ|ಾ|ಸ:್|
g:a|g:a|n|	ಗ|ಗ|ನ:್|
c:h|h:a|o:n|	ಛ|ಾ|ವ|
r:a|a|h|i|	ರ|ಾ|ಹ|ೀ|
w|a|d|i|y|o:n|	ವ|ಾ|ದ|ಿ|ಯ|ೋ|
k:a|h|i:n|	ಕ|ಹ|ೀ|
d|o:o|s|r|i|	ದ|ೂ|ಸ|ರ|ೀ|
s|i|t|a|	ಸ|ೀ|ತ|ಾ|
d|o|r|a|h|a|	ದ|ೊ|ರ|ಾ|ಹ|ಾ|
d|o|r|e|	ಡ|ೊ|ರ|ಿ|
d|o|r|i|s|	ಡ|ೊ|ರ|ಿ|ಸ:್|
d|o|r|n|a|k:a|l|	ದ|ೊ|ರ|ನ|ಾ|ಕ|ಲ:್|
d|o|r|o|t:h|e|a|	ಡ|ೊ|ರ|ೋ|ಥ|ಿ|ಯ:ಾ|
d|o|r|o|t:h|y|	ಡ|ೊ|ರ|ೋ|ಥ|ಿ|
d|o|r|p|v|e|l|d|	ಡ|ಾ|ರ:್|ಪ:್|‌:ವ|ೆ|ಲ:್|ಡ:್|
d|o|r|y|	ಡ|ೋ|ರ|ಿ|
d|o|s|t|i|	ದ|ೋ|ಸ:್|ತ|ೀ|
d|o|t|	ಡ|ಾ|ಟ:್|
d|o|t:t|y|	ಡ|ಾ|ಟ|ಿ|
d:o|u:g|	ಡ|ೋ|
w|a|l|t:e|r|s|	ವ|ಾ|ಲ:್|ಟ|ರ:್|ಸ:್|
d|o:u|g:a|l|	ಡ|ೌ|ಗ|ಲ:್|
d|o:u|s|t|	ಡ|ೌ|ಸ:್|ಟ:್|
d|o|v:e|r|	ಡ|ೋ|ವ|ರ:್|
t|u|r:r|e|t|	ಟ|ು|ರ|ೆ|ಟ:್|
d|o|y:e|n|	ಡ|ೊ|ಯ|ನ:್|
d|r|a|c|o|	ಡ:್|ರ:್|ಯ:ಾ|ಕ|ೊ|
d|r|a|m|a|	ಡ:್|ರ|ಾ|ಮ|ಾ|
d|e|s|k|	ಡ|ೆ|ಸ:್|ಕ:್|
d|r:a|u|p:a|d|i|	ದ:್|ರ|ೌ|ಪ|ದ|ಿ|
v:a|s|t|r:a|	ವ|ಸ:್|ತ:್|ರ|
h:a|r:a|n|	ಹ|ರ|ಣ:್|
d|r|e|a|	ಡ:್|ರ|ಿ|ಯ:ಾ|
d|r|e:a|m|a|	ಡ:್|ರ|ೀ|ಮ|ಾ|
d:r|i:d|h:p|a|d|	ದ|ೃ|ಪ|ದ|್|
d|r:i|s|t|i|	ದ|ೃ|ಷ:್|ಟ|ಿ|
d|r|u|h|i|n|	ದ:್|ರ|ು|ಹ|ಿ|ಣ:್|
d|r:u|m|m:o|n|d|	ಡ:್|ರ|ಮ:್|ಮ|ಂ|ಡ:್|
d|r|u|p:a|d|	ದ:್|ರ|ು|ಪ|ದ:್|
d|u|a|b|a|	ದ|ು|ವ:ಾ|ಬ|ಾ|
d|u|b|a|h|a|	ದ|ು|ಬ|ಾ|ಹ|ಾ|
d|u|b|n|i|u|m|	ಡ|ು|ಬ:್|ನ|ಿ|ಯ|ಂ|
d|u|d|d:h|i|n:a|g:a|r|	ದ|ು|ದ:್|ಧ|ಿ|ನ|ಗ|ರ:್|
d|u|d|h|	ದ|ೂ|ಧ|್|
d|u|d|l|e:y|	ಡ|ು|ಡ:್|ಲ|ೆ|
d|u|d|u|k|	ಡ|ು|ಡ|ು|ಕ:್|
d|u|d|w|i|n|d|i|	ದ|ು|ದ:್|ವ|ಿ|ಂ|ಡ|ಿ|
d|u|e|r|	ಡ|ು|ವ|ರ:್|
d:u|f|	ಡ|ಫ:್|
d|u|g:a|n|	ಡ:್|ಯ:ು|ಗ|ನ:್|
d|u|g|d|o|l|	ದ|ು|ಗ|ಡ|ೊ|ಲ:್|
d|u|g|g:a|r|i|	ದ|ು|ಗ:್|ಗ|ರ|ಿ|
d|u|g|u|i|d|	ಡ|ು|ಗ:್|ಯ|ೂ|ಡ:್|
d|u|h|a|	ದ|ು|ಹ|ಾ|
d|u|i|l|i|o|	ಡ:್|ಯ|ು|ಲ|ಿ|ಯ:ೊ|
d|u|j|a|n:a|h|	ದ|ು|ಜ|ಾ|ನ|ಾ|
d|u|l|a|r|i|	ದ|ು|ಲ|ಾ|ರ|ಿ|
d|u|l|e:e|p|	ದ|ು|ಲ|ೀ|ಪ:್|
d|u|l|h|a|	ದ|ು|ಲ:್|ಹ|ಾ|
b|i|k|t|a|	ಬ|ಿ|ಕ|ತ|ಾ|
d|u|l|h:a|n|	ದ|ು|ಲ|ಹ|ನ:್|
d|u|l|i|p|	ದ|ು|ಲ|ಿ|ಪ:್|
l|i|y:a|n:a|g|e|	ಲ|ಿ|ಯ|ನ|ಗ|ೆ|
d|u|l|l|e|w|a|l|	ದ|ು|ಲ:್|ಲ|ೆ|ವ|ಾ|ಲ:್|
d|u|l|r|a|s:a|r|	ದ|ು|ಲ|ರ|ಾ|ಸ|ರ:್|
d:u|m|	ಡ|ಂ|
d|u|m|a|r|i|y|a|	ದ|ು|ಮ|ಾ|ರ|ಿ|ಯ|ಾ|
d:u|m|b:a|r|t:o|n|	ಡ|ಂ|ಬ|ರ:್|ಟ|ನ:್|
d|u|m|b|r|a|	ಡ|ು|ಂ|ಬ:್|ರ|ಾ|
d|u|m|o|g|a|	ಡ|ು|ಮ|ೋ|ಗ|ಾ|
b|o|n|e|	ಬ|ೋ|ನ|್|
d:u|n|c:a|n|	ಡ|ಂ|ಕ|ನ:್|
f|l|e:t|c:h|e|r|	ಫ:್|ಲ|ೆ|ಚ|ರ|್|
d|u|n|d|a|r|a|	ದ|ು|ಂ|ಡ|ಾ|ರ|ಾ|
d|u|n|d|l|o|d|	ದ|ು|ಂ|ದ|ಲ|ೋ|ದ:್|
d|u|n|g:a|r|	ದ|ು|ಂ|ಗ|ರ:್|
m|e|r|i|	ಮ|ೇ|ರ|ೀ|
j|e|b|	ಜ|ೇ|ಬ:್|
n|a|c:h|e|g|i|	ನ|ಾ|ಚ|ೇ|ಗ|ೀ|
d|u|p|o|n|t|	ಡ:್|ಯ:ು|ಪ|ಾ|ಂ|ಟ:್|
d|u|r|a|f|e|	ದ|ು|ರ|ಾ|ಫ|ೆ|
d|u|r|g|	ದ|ು|ರ:್|ಗ|
d|u|r|g|a|	ದ|ು|ರ:್|ಗ|ಾ|
d|u|r|g:a|a|p|r:a|s:a|a|d|	ದ|ು|ರ:್|ಗ|ಾ|ಪ:್|ರ|ಸ|ಾ|ದ:್|
d|u|r|g|a|p|u|r|	ದ|ು|ರ:್|ಗ|ಾ|ಪ|ು|ರ|
d|u|r:r|a|h|	ದ|ು|ರ|ಾ|ಹ:್|
d|u|r|v|i|s|h|	ದ|ು|ರ:್|ವ|ಿ|ಶ|್|
l|a|k|h|	ಲ|ಾ|ಖ|್|
d|u|s|a|n:j|h|	ದ|ು|ಸ|ಾ|ಝ|್|
d|u|s:h|m|a:n|i|	ದ|ು|ಶ|್:ಮ|ನ|ಿ|
d|u|s|k:h|e|d|a|	ದ|ು|ಸ:್|ಕ|ೇ|ಡ|ಾ|
d:u|s|t|i|n|	ಡ|ಸ:್|ಟ|ಿ|ನ:್|
d:u|t:c|h|	ಡ|ಚ|್|
c|i|v|i|l|	ಸ|ಿ|ವ|ಿ|ಲ:್|
d:u|t:c|h:e|s|s|	ಡ|ಚ|ೆ|ಸ|್|
d|u|t|y|	ಡ:್|ಯ:ೂ|ಟ|ಿ|
d|u|v|i|d:h|a|	ದ:ು|ರ:್|ವ|ಿ|ಧ|ಾ|
d|w|a|r:i|k|e|s|h|	ದ:್|ವ|ಾ|ರ|ಕ|ೀ|ಶ|್|
d|w:i|g:h|t|	ಡ:್|ವ|ೈ|ಟ:್|
d|w|i|j|e|n|d|r:a|	ದ:್|ವ|ಿ|ಜ|ೇ|ಂ|ದ:್|ರ|
d|y|a|n|	ಡ|ೈ|ನ|ಾ|
d|y|m|c|h|u|r|c|h|	ಡ|ಿ|ಮ|್:‌|ಚ|ರ|್|ಚ|್|
r|e|d:o|u:b|t|	ರ|ಿ|ಡ|ೌ|ಟ:್|
d|y:m|p|n|a|	ಡ|ಿ|ಪ:್|ನ|ಾ|
d|y|s|p|r|o|s|i|u|m|	ಡ|ಿ|ಸ:್|ಪ:್|ರ|ೋ|ಸ|ಿ|ಯ|ಂ|
e:'|j:a|a|z|	ಎ|ಜ|ಾ|ಜ:್|
e:a|d|s|	ಈ|ಡ:್|ಸ:್|
e|a:g|l|e|	ಈ|ಗ|ಲ|್|
b:u|l|k|	ಬ|ಲ:್|ಕ:್|
s:h|i|p|p|i|n|g|	ಶ|ಿ|ಪ:್|ಪ|ಿ|ಂ|ಗ:್|
e:a|m:o|n|	ಈ|ಮ|ನ:್|
e|a:r|a|	ಈ|ರ|ಾ|
e:a|r|l|	ಅ|ರ:್|ಲ:್|
e:a|r|n|e|s|t|	ಅ|ರ:್|ನ|ೆ|ಸ:್|ಟ:್|
e:a|s|t|	ಈ|ಸ:್|ಟ:್|
a|n|g|l|i|a|	ಆ|ಂ|ಗ:್|ಲ|ಿ|ಯ:ಾ|
h:u|m|b|o|l|d|t|	ಹ|ಂ|ಬ|ೋ|ಲ:್|ಡ|್|
e|a:v|a|n|	ಈ|ವ|ಾ|ನ:್|
e|b:e|n|	ಎ|ಬ|ನ:್|
e|m:a|e|l|	ಎ|ಮ|ಿ|ಲ:್|
e|c|r|i|n|s|	ಎ|ಕ:್|ರ|ಿ|ನ:್|ಸ:್|
e|d:a|k|k|a|d|	ಇ|ದ|ಕ:್|ಕ|ಾ|ಡ:್|
e|d:a|l|e|n|e|	ಎ|ಡ|ಲ|ೀ|ನ|್|
e|d:a|l|i|n|e|	ಎ|ಡ|ಲ|ಿ|ನ|್|
e|d|d|a|	ಎ|ಡ:್|ಡ|ಾ|
e|d|d|i:e|	ಎ|ಡ:್|ಡ|ೀ|
e|d|e|	ಎ|ಡ|ಿ|
e|d|g:a|r|	ಎ|ಡ:್|ಗ|ರ:್|
e|d|g:e|r|	ಎ|ಡ:್|ಗ|ರ:್|
p|o|e|	ಪ|ೋ|ಯ:್|
e|d|i|n|b:u|r|g|h|	ಎ|ಡ|ಿ:ನ|್:‌|ಬ|ರ:್|ಗ|್|
e|d|r|i|c|	ಎ|ಡ:್|ರ|ಿ|ಕ:್|
e|d|w:a|r|d|s|	ಎ|ಡ:್|ವ|ರ:್|ಡ:್|ಸ:್|
e|d|w|i|n|	ಎ|ಡ:್|ವ|ಿ|ನ:್|
e|d|w|i|n|a|	ಎ|ಡ:್|ವ|ಿ|ನ|ಾ|
e:e|c:k|e:r|e|n|	ಎ|ಚ|ರ|ೆ|ನ:್|
e:e|n|a|d|u|	ಈ|ನ|ಾ|ಡ|ು|
e|g|y|p|t|	ಈ|ಜ|ಿ|ಪ:್|ಟ:್|
e|g|y|p|t|i|a|n|	ಇ|ಜ|ಿ|ಪ:್|ಟ|ಿ|ಯ|ನ:್|
e|h|s|a|n|u|l|	ಎ|ಹ|ಸ|ಾ|ನ|ು|ಲ:್|
h:a|q:u|e|	ಹ|ಕ|್|
e:i|f|e|l|	ಎ|ಫ|ೆ|ಲ:್|
e:i|l|e:e|n|	ಈ|ಲ|ೀ|ನ:್|
e:i|l|i|s|	ಈ|ಲ|ಿ|ಸ:್|
e:i|t|h|n|e|	ಈ|ಥ|್|ನ|ಿ|
a|d:h|u|r|i|	ಅ|ಧ|ೂ|ರ|ೀ|
k:a|h|a|n|i|	ಕ|ಹ|ಾ|ನ|ಿ|
b|e|c:h|a|r|a|	ಬ|ೆ|ಚ|ಾ|ರ|ಾ|
c:h|a|d:a|r|	ಚ|ಾ|ದ|ರ:್|
m:a|i|l|i|	ಮ|ೈ|ಲ|ೀ|
c:h|i|t|t:h|i|	ಚ|ಿ|ಟ:್|ಠ|ಿ|
b:h|a:r|i|	ಭ|ರ|ೀ|
s:a|u|	ಸ|ೌ|
a|f|s|a|n|e|	ಅ|ಫ|ಸ|ಾ|ನ|ೆ|
a|c:h|a|n:a|k|	ಅ|ಚ|ಾ|ನ|ಕ:್|
r:a|a|s|t|a|	ರ|ಾ|ಸ:್|ತ|ಾ|
j:h|a:l|a|k|	ಝ|ಲ|ಕ|್|
m|u|s|k|a|i|	ಮ|ು|ಸ:್|ಕ|ಾ|ಯ:ಿ|
k:h|i|l|a|r|i|	ಖ|ಿ|ಲ|ಾ|ಡ|ಿ|
b|a|w:a|n|	ಬ|ಾ|ವ|ನ:್|
p:a|t|t|e:y|	ಪ|ತ:್|ತ|ೆ|
k|u|n|w|a|r|i|	ಕ|ು|ನ:್|ವ|ಾ|ರ|ಿ|
k|u|n|w|a|r|a|	ಕ|ು|ನ:್|ವ|ಾ|ರ|ಾ|
m|a|s|o:o|m|	ಮ|ಾ|ಸ|ೂ|ಮ:್|
m|i|s:a|a|l|	ಮ|ಿ|ಸ|ಾ|ಲ:್|
h:a|s|i|n|a|	ಹ|ಸ|ೀ|ನ|ಾ|
n:a|a|v|	ನ|ಾ|ವ:್|
k|i|n|a|r|e|	ಕ|ಿ|ನ|ಾ|ರ|ೆ|
n:a|y|a|	ನ|ಹ|ಾ|
i|t|i|h:a|a|s|	ಇ|ತ|ಿ|ಹ|ಾ|ಸ:್|
r|i|s|h|t|a|	ರ|ಿ|ಶ|್|ತ|ಾ|
k|a|n|t|e|	ಕ|ಾ|ಂ|ಟ|ೆ|
b:h|o:o|l|	ಭ|ೂ|ಲ:್|
r:a|a|z|	ರ|ಾ|ಜ:್|
s:a|a|l|	ಸ|ಾ|ಲ:್|
s:a|p|e|r|a|	ಸ|ಪ|ೇ|ರ|ಾ|
b:a|d:h|k:a|r|	ಬ|ಢ|ಕ|ರ:್|
