a:a|	ஆ|
k|i|r:a|y|e|	க|ி|ர|ய|ே|
b|l|a|c:k|	ப:ி|ள:ா|க|்|
b|l|a|i|r|	ப:ி|ள|ெ|ய:்|ர:்|
h|a|r|t|l|a|n|d|	ஹ|ா|ர:்|ட:்|ல|ா|ண:்|ட:்|
b|l|a|n|d|	ப:ி|ள|ா|ண:்|ட:்|
b|l|e|a|c:h|	ப:ி|ள|ீ|ச|்|
b|l|o|c:k|	ப:ி|ள:ா|க|்|
i:s|l|a|n|d|	ஐ|ல|ா|ண:்|ட:்|
b|o|b|	ப|ா|ப:்|
h|o|p|e|	ஹ|ோ|ப|்|
m|a|s|s|i:e|	ம|ா|ஸ:்|ஸ|ி|
p|a|c|k|w|o:o|d|	ப|ே|க|்|வ|ு|ட:்|
s|i|m|p|s:o|n|	ஸ|ி|ம:்|ப:்|ச|ன:்|
w|o:o|l|m|e|r|	வ|ு|ல:்|ம|ெ|ர:்|
b|o|c|a|	ப|ோ|க|ா|
r:a|t|o|n|	ர|ட|ோ|ன:்|
c:o|m|m|u|n|i|t|y|	க|ம|்|ய:ு|ன|ி|ட:்|ட:ி|
b|o|d|a|s|	ப|ோ|த|ா|ஸ:்|
b|o|d|e|l|i|	ப|ோ|ட|ே|ல|ி|
b|o|d|h|g:a|y|a|	ப|ோ|த|்|க|ய|ா|
b|o|d|h|r|a|n|	ப|ோ|த|்|ர|ா|ன:்|
b|o|d|w|a|d|	ப|ோ|ட:்|வ|ா|ட:்|
b|o|d|y|	ப|ா|ட|ி|
b:u|l|i|d:i|n|g|	ப|ி|ல:்|ட|ி|ங:்|
b|o|g|o|t|a|	ப|ொ|க|ோ|த|ோ|
b|o|k:a|d|e|	ப|ோ|க|த|ே|
b|o|l|a|n|g|i|r|	ப|ொ|ல|ா|ன:்|க|ி|ர:்|
b|o|l|a|r:u|m|	ப|ொ|ல|ா|ர|ம:்|
b|o|l|e|r|o|	ப|ோ|ல|ெ|ர|ோ|
b|o|l|i|v|i|a|n|o|	ப|ோ|ல|ி|வ|ி|ய:ா|ன|ோ|
b|o|l:l|i|n|g:e|r|	ப|ொ|ல|ி|ங:்|க|ர:்|
b|o|m|b:a|y|	ப|ா|ம:்|ப|ே|
d:y|e|i|n|g|	ட|ை|ய|ி|ங:்|
m:a|s|j|i|d|	ம|ஸ:்|ஜ|ி|த:்|
b:a|h|o|n|	ப|ஹ|ோ|ன:்|
t:o|w|n|	ட|வ:ு|ன:்|
b|o|m|m|i|d|i|	ப|ொ|ம:்|ம|ி|ட|ி|
b|o|n|c|e|l|l|e|s|	ப|ா|ன:்|ச|ெ|ல:்|ல|ெ|ஸ:்|
b|o|n|c:h|u|n|e|	ப|ா|ன:்|ச|ு|ன|ெ|
b|o|n|e|s|t|e|l|l|	ப|ோ|ன|்|ஸ:்|ட|ெ|ல|்|
b|o|n|g:a|i|g:a|o|n|	ப|ொ|ங:்|க|ை|க|ா|ன:்|
b|o|n:n|e|t|	ப|ோ|ன|ட|்|
p|l:u|m|e|	ப:ி|ள|ம|்|
b|o|n|s|o|	ப|ா|ன:்|ஸ:்|க:ோ|
e|l:e|c|t|r|o|n|i|c|s|	எ|ல|க:்|ட:ி|ர|ா|ன|ி|க:்|ஸ:்|
b|o|n|y|	ப|ோ|ன|ி|
b|o:o|g|i:e|	ப|ூ|க|ி|
w|o:o|g|i:e|	வ|ூ|க|ி|
b|o:o|m|p|s|	ப|ூ|ம:்|ப:்|ஸ:்|
a|	ஆ|
d|a|i|s|y|	ட|ெ|ய:்|ஸ|ி|
b|o:o|n|d|	ப|ூ|ண:்|ட:்|
j|o|	ஜ|ோ|
g:a|y|e:e|	க|ய|ீ|
b|o:o|r|d:h|i|	ப|ூ|ர:்|த|ி|
z|a|f|f|e|r|	ஸ|ா|ஃ:ப|்|ப|ர:்|
b|o:o|t|	ப|ூ|ட:்|
p|o|l|i|s|h|	ப|ா|ல|ி|ஷ|்|
b|o|p|a|r:a|i|	ப|ோ|ப|ா|ர|ை|
b|o|r|g|a|o|n|k:a|r|	ப|ோ|ர:்|க|ா|வ:ூ|ன:்|க|ர:்|
b|o|r|i|s|	ப|ோ|ர|ி|ஸ:்|
y:e|l|t|s|i|n|	எ|ல|்|ச|ி|ன:்|
b|o|r|i|v|a|l|i|	ப|ோ|ர|ி|வ|ா|ல|ி|
b|o|r|k:a|r|	ப|ோ|ர:்|க|ர:்|
b|o|r|n|e|o|	ப|ா|ர:்|ன|ி|ய:ோ|
b|o|r|n|h|e|m|	ப|ா|ர:்|ன:்|ஹ|ெ|ம:்|
b|o|r|o|n|	ப|ோ|ர|ா|ன:்|
b|o|s:c|h|	ப|ோ|ஷ|்|
c:h|a|s:s|i|s|	ச|ே|ச|ி|ஸ:்|
b|o|s:c|h|b|e:e|k|	ப|ோ|ஷ|்|ப|ீ|க:்|
b|o|s|p|o|r:u|s|	ப|ோ|ஸ:்|ப|ோ|ர|ஸ:்|
b|o|s|t:o|n|	ப|ா|ஸ:்|ட|ன:்|
b:o|u|r|d:i|e|u|	ப|ெ:ள|ட|ி|ய|ூ|
o|k|z|	ஓ|க:்|ஸ:்|
b|o:u|y|g|u|e|s|	ப|ோ|ய:்|க|ா|ஸ|்|
b:o|u|z|o:u|k|i|	ப|ொ|ச|ௌ|க:்|க:ி|
b:o|w|d|e|n|	ப|ெ:ள|ட|ெ|ன:்|
b|o|y|	ப|ா|ய:்|
f|r|i|e|n|d|	ஃ|ப|ி|ர|ண:்|ட:்|
b|r|a|d|	ப:ி|ர|ா|ட:்|
h|a|d|d|i|n|	ஹ|ா|ட:்|ட|ி|ன:்|
b|r:a|h:a|m|d|e|v|	ப:்|ர|ஹ|ம:்|த|ே|வ:்|
b|r:a|h|m|	ப:்|ர|ஹ|ம:்|
b|r:a|h|m|a|	ப:்|ர|ம:்|ம|ா|
b|r:a|h|m:a|b|r:a|t|a|	ப:்|ர|ம:்|ம|ப:்|ர|த|ா|
b|r:a|h|m|a|c:h|a|r|i|	ப:ி|ர|ஹ:்|ம|ச:்|ச|ா|ர|ி|
b|r:a|h|m:a|d:u|t|t|	ப:்|ர|ம:்|ம|த|த|்|
b|r:a|h|m:a|n|y:a|	ப:ி|ர|ம:்|ம|ன:்|ய|
d|e|v|	த|ே|வ:்|
b|r|a|n|d:e|i|s|	ப:்|ர|ா|ண:்|ட|ீ|ஸ:்|
b|r|a|n|d|e|n|b:u|r|g|	ப:ி|ர|ா|ன:்|ட|ெ|ன:்|ப|ர:்|க:்|
b|r:a|n|t|	ப:ி|ர|ன:்|ட:்|
b|r:a|s|i|l|i|a|	ப:ி|ர|ச|ி|ல|ி|ய:ா|
b|r:a|t|i|n|d|r|a|	ப:்|ர|த|ீ|ந:்|த:்|ர|ா|
b|r:a|t|s|k|	ப:ி|ர|த:்|ஸ:்|க:்|
b|r|a|y|l|a|	ப:்|ர|ா|ய:்|ல|ா|
c:h|a:u|r|a|s|i|	ச|ௌ|ர|ா|ஸ|ி|
b|r|a|z|o|s|p|o|r|t|	ப:ி|ர|ா|ஸ|ோ|ஸ:்|ப|ோ|ர:்|ட:்|
c|e|n|t:e|r|	ச|ெ|ன:்|ட|ர:்|
b|r|e|c|o|n|	ப:்|ர|ே|க:்|க|ன:்|
b|e:a|c|o|n|s|	ப|ீ|க:்|க|ன:்|ஸ:்|
b|r|e|n|d:o|n|	ப:ி|ர|ெ|ண:்|ட|ன:்|
b|r|a|c|e|w|e|l|l|	ப:ி|ர|ே|ஸ|்|வ|ெ|ல|்|
j|u|l|i|a|n|	ஜ|ூ|ல|ி|ய|ன:்|
k|u|r|u|p|p|u|	க|ு|ர|ு|ப:்|ப|ு|
b|r|e|s|t|	ப:ி|ர|ெ|ஸ:்|ட:்|
f|o|r|t|r|e:s|s|	ஃ:ப|்:ப|ோ:ர|்:ட|்:ர|ெ|ஸ:்|
b|r|e|t:a|g|n|e|	ப:ி|ர|ே|ட|க:்|ன|ெ|
b|r|e:t|t|	ப:ி|ர|ெ|ட:்|
d|o|r|e:y|	ட|ோ|ர|ே|
l|e:e|	ல|ீ|
b|r|i:a|n|	ப:்|ர|ய|ன:்|
l|a|r|a|	ல|ா|ர|ா|
l:u|c:k|h|u:r|s|t|	ல|க|்|ஹ|ஸ:்|ட:்|
b|r|i|c|k|	ப:ி|ர|ி|க|்|
s|c:h|o:o|l|h:o|u|s|e|	ஸ:்|க|ூ|ல:்|ஹ|வ:ு|ஸ|்|
b|r|i|d|g:e|p|o|r|t|	ப:ி|ர|ி|ட:்|ஜ|்:ப|ோ|ர:்|ட:்|
b|r|i|j|a|l|	ப:ி|ர|ி|ஜ|ா|ல:்|
p:a|t|e|l|	ப|ட:்|ட:ே|ல:்|
b|r|i|j|e|s|h|	ப:்|ர|ி|ஜ|ே|ஷ|்|
b|r|i|j|m|o|h:a|n|	ப:்|ர|ி|ஜ:்|ம|ோ|க|ன:்|
b|r|i|s|b:o|n|	ப:ி|ர|ி|ஸ:்|ப|ன:்|
b|r|i|s|c|o:e|	ப:ி|ர|ி|ஸ|்:க|ோ|
b|r|i|t|i|s|h|	ப:்|ர|ி|ட:்|ட:ி|ஷ|்|
t|e|l|e|v|i|s:i|o|n|	ட|ெ|ல|ி|வ|ி|ஷ|ன|்|
a|w|a|r|d|s|	அ|வ|ா|ர:்|ட:்|ஸ:்|
b|o:o|k|	ப|ு|க:்|
p|e|t|r|o|l|e|u|m|	ப|ெ|ட:்|ர|ோ|ல|ி|ய|ம:்|
b|r|i|t|t:a|n|y|	ப:ி|ர|ி|ட:்|ட|ன|ி|
b|r|o:e|c:h|e|m|	ப:ி|ர|ோ|ச|ெ|ம:்|
b|r|o|m|o|	ப:்|ர|ோ|ம|ோ|
t|e:n|g|g:e|r|	ட|ெ|ங:்|க|ர:்|
b|r|o:o|k|e|	ப:ு|ர|ூ|க|்|
w|a|l|k:e|r|	வ|ா|க:்|க|ர:்|
b|r|o:o|k|i:n|g|s|	ப:ு|ர|ூ|க|ி|ங:்|ஸ:்|
w|e|s|l|e|y:a|n|	வ|ெ|ச|்:ல|ே|ய|ன:்|
b|r|o:o|k|l|y|n|	ப:ு|ர|ூ|க:்|ல|ி|ன:்|
b|r|o:o|k|s|	ப:ு|ர|ூ|க:்|ஸ:்|
b|r:o|w|n|	ப:ு|ர|வ:ு|ன:்|
b|r|u|c|e|	ப:ு|ர|ூ|ஸ|்|
s|p|r|i|n:g|s|t|e:e|n|	ஸ:்|ப:்|ர|ி|ங|்:ஸ|்:ட|ீ|ன:்|
w|i|l|l|i|s|	வ|ி|ல:்|ல|ி|ஸ:்|
y|a|r|d|l|e:y|	ய|ா|ர:்|ட:்|ல|ீ|
b|r|u|c:k|l:a|y|	ப:ி|ர|க|்|ல|ே|
b|r|u|l|e|	ப:ு|ர|ூ|ல|்|
b|r|u|n:e|l|	ப:்|ர|ூ|ன|ல:்|
b|r|y|a|n|	ப:்|ர|ை|ய|ன:்|
s|t|r|a|n:g|	ஸ:்|ட:்|ர:ா|ங|்|
b|u|	ப|ு|
q|a|l|a|n|d:a|r|	க|ா|ல|ா|ந:்|த|ர:்|
b|u|c:h|a:r|e|s|t|	ப|ு|க|ர|ெ|ஸ:்|ட:்|
b|u|c:k|l|e:y|	ப|க|்|ள|ி|
b|u|d|a|l|u|r|	ப|ு|ட|ா|ல:்|ப:ூ|ர:்|
b|u|d|a|p|e|s|t|	ப|ு|ட|ா|ப|ெ|ஸ:்|ட:்|
f|e:r|i|h|e|g|y|	ப:ெ|ர|ி|ஹ|ெ|க|ி|
b|u|d|d:h|i|s|m|	ப|ு|த:்|த|ி|ஸ|ம:்|
b:u|d|d|y|	ப|ட:்|ட|ி|
h|o|l:l|y|	ஹ|ோ|ல|ி|
b|u|d|g|a|m|	ப|ா|த:்|க|ா|ம:்|
b|u|h|a|y|y:a|h|	ப|ு|ஹ|ா|ய:்|ய|ா|
b|u|k|i|t|	ப|ு|க|ி|த:்|
t|i|g|a|	ட|ீ|க|ா|
p|u|l|u:h|	ப|ு|ல|ு|
b|u|l|d:h|a|n|a|	ப|ு|ல:்|த|ா|ன|ா|
b|u|l|e|r|i|a|s|	ப|ு|ல|ே|ர|ி|ய:ா|ஸ:்|
b|u|l|l|	ப|ு|ல|்|
r|i|d:i|n|g|	ர|ை|ட|ி|ங:்|
b|u|l|l:e|t|	ப|ு|ல:்|ல|ட:்|
b|u|n|a|k|e|n|	ப|ு|ன|ா|க|ெ|ன:்|
b|u|n|a|n:a|h|	ப|ு|ன|ா|ன|ா|
b|u|n|d:e|s|v|e|r|d|i:e|n|s|t|k|r:e|u|z|	ப|ு|ண:்|ட|ஸ:்|வ|ெ|ர:்|ட|ீ|ன:்|ஸ:்|ட:்|க:்|ர|ூ|ஸ:்|
b|u|n|d|i|	ப|ு|ண:்|ட|ி|
b|u|q|a|y|r:a|h|	ப|ு|க|ா|ய:்|ர|ா|
b|u|r|a|j|	ப|ு|ர|ா|ஜ:்|
b|u|r|d:a|h|	ப|ு|ர:்|த|ா|
b|u|r|h:a|n|p|u|r|	ப|ு|ர:்|ஹ|ன:்|ப|ூ|ர:்|
b|u|r|h|a|r|	ப|ு|ர:்|ஹ|ா|ர:்|
b:u|r|l|i|n:g|t|o|n|	ப|ர:்|ல|ி|ங|்|ட|ன:்|
b:u|r|m:a|h|	ப|ர:்|ம|ா|
b:u|r|r|o:w|s|	ப|ர:்|ர|ோ|ஸ:்|
b|u|s:h|r|a|	ப|ு|ஷ|்:ர|ா|
b|u|x|a|r|	ப|ு|க:்|ஸ:ா|ர:்|
c|a:b|o|	க:ா|ப|ோ|
o|r:a|n|g|e|	ஆ|ர|ஞ:்|ச|்|
c|a|c|t|o|c|t|i|n|	க|ா|க:்|ட|ோ|க:்|ட|ி|ன:்|
c|a|d|b:u|r|y:'|s|	க|ே|ட:்|ப|ர|ி|ஸ:்|
c|a|e|l|	க:ா|ய|ே|ல:்|
c:a|h|o|r|a|	க|ஹ|ோ|ர|ா|
b:a|s|s|a|	ப|ஸ:்|ஸ|ா|
c:a|i|l|e:a|n|	க|ை|ல|ீ|ன:்|
c:a|i|r|b|r|e|	க|ை|ர:்|ப:்|ர|்|
c:a|i|r|o|	க|ை|ர|ோ|
c:a|i|t|l|i|n|	க|ை|ட:்|ல|ி|ன:்|
c|a:j|a|	க:ா|ஜ|ா|
c|a|j:o|n|	க|ா|ஜ|ன:்|
c|a:l|c|i|u|m|	க:ா|ல|்:ஷ|ி|ய|ம:்|
c|a:l|i|a|n|a|	க:ா|ல|ி|ய:ா|ன|ா|
c|a|l|i|c:u|t|	க|ே|ல|ி|க|ட:்|
c|a|l|i|x|	க|ா|ல:ி|க:்|ஸ:்|
c|a|l:l|i:e|	க|ா|ல|ீ|
c|a:l|l|i|o|p|e|	க:ா|ல|ி|ய|ோ|ப|்|
c|a|l:l|i|s|t|a|	க|ா|ல|ி|ஸ:்|ட|ா|
c|a|l:l|u|m|	க|ா|ல|ு|ம:்|
c|a:l|u|p|s|o|	க:ா|ல|ு|ப:்|ச|ோ|
c|a|l|v|i|n|	க|ா|ல:்|வ|ி|ன:்|
c|a|l|v|i|n|e|	க|ா|ல:்|வ|ி|ன|்|
c|a|m|b|r|e:e|	க|ே|ம:்|ப:்|ர|ீ|
c|a|m|b|r|i|a|	க|ா|ம:்|ப:்|ர|ி|ய:ா|
c|a|m|b|r|i|d|g|e|	க|ே|ம:்|ப:ி|ர|ி|ட:்|ஜ|்|
i|n|d|i|r|a|p|u|r:a|m|	இ|ந:்|த|ி|ர|ா|ப|ு|ர|ம:்|
c|a|m|d|e|n|	க|ா|ன:்|ட|ெ|ன:்|
c|a|m:e|r|o:o|n|	க|ே|ம|ர|ூ|ன:்|
c|a:m|i|l|l|a|	க:ா|ம|ி|ல:்|ல|ா|
c:a|m|p|a|n|a|	க|ம:்|ப|ா|ன|ா|
c|a|m|p:e|r|d:o|w|n|	க|ா|ம:்|ப|ர:்|ட|வ:ு|ன:்|
c|a|m|p|i|n|a|s|	க|ா|ம:்|ப|ி|ன|ா|ஸ:்|
c|a|m|p|i|o|n|	க|ே|ம:்|ப|ி|ய:ா|ன:்|
m|u|m|b:a|i|	ம|ு|ம:்|ப|ை|
c|a:m|t|e|k|	க:ா|ம|்:ட|ெ|க:்|
c|a|n:a|d|i|a|n|	க|ே|ன|ட|ி|ய|ன:்|
i|m|p|e|r|i|a|l|	இ|ம:்|ப|ீ|ர|ி|ய|ல:்|
c|o|m:m|e:r|c|e|	க|ா|ம|ர|்|ஸ:்|
p|o|e|t|s|	ப|ொ|ய|ட:்|ஸ:்|
c:a|n:a|r|a|	க|ன|ர|ா|
c|a|n|c:e|r|	க|ே|ன:்|ச|ர:்|
g|u|p|t|	க|ு|ப:்|த:்|
r|o|g|	ர|ோ|க:்|
c|a|n|d|a|c|e|	க|ே|ன:்|ட|ா|ஸ|்|
c|a|n|d|i|c|e|	க|ே|ன:்|ட|ி|ஸ|்|
c|a|n|d|r|a|	க|ே|ன:்|த:்|ர|ா|
c:a|n|n:a|n|o|r|e|	க|ன:்|ன|ன|ூ|ர|்|
c|a|n|t|a|r|a|	ச|ா|ன:்|த|ா|ர|ா|
c|a:p|a|r|a|o|	க:ா|ப|ா|ர|ா|வ:்|
c|a|p|e|	க|ே|ப|்|
b|r|e|t:o|n|	ப:்|ர|ே|ட|ன:்|
c|o|d|	க|ா|ட:்|
f|l|a|t|t:e|r|y|	ப:ி|ல|ா|ட:்|ட|ர|ி|
f|r|o|n|t|i|e|r|	ஃ:ப|்:ப|ி:ர|ா:ன|்:ட|ி|ய|ர:்|
y|o|r|k|	ய|ோ|ர:்|க:்|
c|a:p|e|l|l:e|n|	க:ா|ப|ெ|ல:்|ல|ன:்|
c|a:p|u|c|i|n|e|	க:ா|ப|ூ|ச|ி|ன|்|
c:a|r|a|d|o|c|	க|ா|ர|ட|ா|க:்|
c|a:r|a|f|	க:ா|ர|ா:ஃ|ப:்|
c|a|r:a|v:a|n|	க|ே|ர|வ|ன:்|
c|a|r|d|i|f|f|	க:ா|ர|்|ட|ி|ஃ:ப|்|
c|a|r|g|i|l|l|	க:ா|ர|்|க|ி|ல|்|
c|a:r|i|o|c|a|	க:ா|ர|ி|ய:ோ|க|ா|
c|a:r|i|s:s|a|	க:ா|ர|ி|ஸ|ா|
c|a|r|l|	க:ா|ர|்|ல:்|
b:u|l|f|i|n|	ப|ல:ஃ|ப:்|ப:ி|ன:்|
c|a|c:h|o|p|a|	க:ா|ச:்|ச|ோ|ப|ா|
t:u|c|k|e:t|t|	ட|க:்|க|ெ|ட:்|
c|a|r|l|a|	க:ா|ர|்|ல|ா|
c|a|r|l|i|	க:ா|ர|்|ல|ி|
s|i|m:o|n|	ச|ை|ம|ன:்|
c|a|r|l|i|s|l|e|	க:ா|ர|்|ல|ி|ஸ:்|ல|ெ|
c|a|r|l|o|s|	க:ா|ர|்|ல|ோ|ஸ:்|
c|a|s|t:a|n|e|d|a|	க|ா|ஸ:்|ட|ன|ே|ட|ா|
c|a|r|l|o:w|	க:ா|ர|்|ல|ோ|
c|a|r|m|e|l|	க:ா|ர|்|ம|ெ|ல:்|
c|o|n|v|e|n|t|	க|ா|ன:்|வ|ெ|ண:்|ட:்|
c:h|a:n|d|i|g:a|r|h|	ச|ண|்|ட:ி|க|ர|்|
c|a|r|m|e|n|	க:ா|ர|்|ம|ெ|ன:்|
c|a|r|m|i|n|e|	க|ே|ர:்|ம|ை|ன|்|
c|a|r|n:e|g|i:e|	க:ா|ர|்|ன|ீ:ஜ|ீ|
c|a:r|o|l|e|n|a|	க:ா|ர|ோ|ல|ீ|ன|ா|
c|a:r|o|l|i|n|e|	க:ா|ர|ோ|ல|ி|ன|்|
c|a|r|p|a|t:h|i|a|n|	க:ா|ர|்|ப|ா|த|ி|ய|ன:்|
c:a|r|r|i:e|	க|ா|ர|ீ|
c:a|r|r|i:e|a:n|n|	க|ே|ர|ி|ய|ன:்|
c:a|r|r|i|e|r|	க|ே|ர|ி|ய|ர:்|
a:i|r|c|o|n|	ஏ|ர|்:க|ா|ன:்|
c:a|r|r|y|	க|ே|ர|ி|
g|r|a|n|t|	க:ி|ர|ா|ண:்|ட:்|
c|a|r|s|y|n|	க:ா|ர|்|ஸ|ி|ன:்|
c|a|r|t|o:o|n|	க:ா|ர|்|ட|ூ|ன:்|
c|a|r|v|e|r|	க:ா|ர|்|வ|ெ|ர:்|
c|a|r|y|	க|ே|ர|ி|
c|a|s|p:e|r|	க|ா|ஸ:்|ப|ர:்|
c:a|s|s|a|r|a|	க|ஸ:்|ஸ|ா|ர|ா|
c|a|s:s|i:e|	க|ா|ஸ|ி|
c|a|s|t|e|l|f|i|d|a|r|d|o|	க|ா|ஸ:்|ட|ல:்|ப:ஃ|ப:்|ப:ி|ட|ா|ர:்|ட|ோ|
c|a|s|t|l|e|	க|ே|ஸ:்|ட:ி|ல|்|
r|o|c:k|	ர:ா|க|்|
c|a|t|e|r|p|i|l|l:a|r|	க|ே|ட:்|ட|ர:்|ப|ி|ல:்|ல|ர:்|
c|a|t:h|e|d|r:a|l|	க|த:்|த|ீ|ட:்|ர|ல:்|
j:o|h|n|	ஜ|ா|ன:்|
c:o|n:n|o|n|	க|ன|ா|ன:்|
c|a|t|h:e|r|i|n|e|	க|ே|த:்|த|ர|ி|ன|்|
t:u|r|n:e|r|	ட|ர:்|ன|ர:்|
z|e|t|a|	ஜ|ே|ட:்|ட:ா|
c|a|t|h|y|	க|ே|த|்|த:ி|
b|e:t|t|s|	ப|ெ|ட:்|ஸ:்|
c|a|t|r|i|n|	க|ே|ட:்|ர|ி|ன:்|
c|a|t|r|i|o|n|a|	க|ே|ட|்|ட:ி|ய:ோ|ன|ா|
c:a|u|l|f|i:e|l|d|	க|ா|ல:்|ஃ:ப|ீ|ல:்|ட:்|
c:u|p|	க|ப:்|
c|a:w|s|a|n|d|	க|ா|ச|ா|ண:்|ட:்|
c|e|a|l:l|a|c:h|	ச|ி|ய|ல|ச|்|
c|e|c|e|	ச|ெ|ச|ி|
c|e|c|e|l|i|a|	ச|ெ|ச|ி|ல|ி|ய:ா|
c|e|c|i|l|e|	ச|ெ|ச|ி|ல|ி|
c|e|c|i|l|y|	ச|ெ|ச|ி|ல|ி|
c|e|d|i|	ச|ி|ட|ி|
c|e|d|r|i|c|	ச|ெ|ட:்|ர|ி|க:்|
c|e|l|e|b|r|a|t:i|o|n|	ச|ெ|ல|ி|ப:ி|ர|ே|ஷ|ன|்|
c|e|l|l:e|b|e|s|	ச|ெ|ல:்|ல|ப|ெ|ஸ:்|
c|e|n|d:a|n|t|	ச|ெ|ன:்|ட|ன:்|ட:்|
c|e|n|t|e|x|	ச|ெ|ன:்|ட:ெ|க:்|ஸ:்|
c|e|n|t|i|m|o|s|	ச|ெ|ன:்|ட|ி|ம|ோ|ஸ:்|
c|e|n|t|r:a|l|	ச|ெ|ன:்|ட:்|ர|ல:்|
m|a|y|a|	ம|ா|ய|ா|
c|h:r|o|n|i|c|l|e|	க:ி|ர|ா|ன|ி|க:்|க:ல|்|
e|u|r|o|p|e|a|n|	ய|ூ|ர|ோ|ப:்|ப:ி|ய|ன:்|
m|e|d|i|a|	ம|ீ|ட|ி|ய:ா|
e|n|t:e|r|p|r|i|s:e|s|	எ|ன:்|ட|ர:்|ப:ி|ர|ை|ச|ஸ:்|
m|i|c|h|i|g:a|n|	ம|ி|ச|்|ச:ி|க|ன:்|
c|e|n|t|u|r|i|o|n|	ச|ெ|ன|்|ச:ு|ர|ி|ய|ன:்|
c|e|r:a|m|	ச|ெ|ர|ம:்|
c|e|r|e|l|i|a|	ச|ெ|ர|ி|ல|ி|ய:ா|
c|e|r|i|	ச|ெ|ர|ி|
c|e|r|i|s|e|	ச|ெ|ர|ை|ஸ|்|
c|e|r|r|o|	க|ெ|ர:்|ர|ோ|
g|a|r|n|i|c|a|	க|ா|ர:்|ன|ி|க|ா|
c|e|s:a|r|	ச|ீ|ச|ர:்|
c:h|a|	ச|ா|
c:h|a|a|n|i|	ச|்:ச|ா|ன|ி|
c|h|a|c|h|a|	ச|்|ச:ா|ச|்|ச:ா|
z|i|n|d|a|b|a|d|	ஜ|ி|ந:்|த|ா|ப|ா|த:்|
c:h|a|d|	ச|ா|ட:்|
c:h|a:d|o|t|a|r|	ச|ட|ோ|த:்|த:ா|ர:்|
c:h|a|g|g:a|n|	ச|ா|க:்|க|ன:்|
c:h|a|h:a|t|	ச|ா|ஹ|த:்|
c:h|a:i|t|a|l|i|	ச|ை|த:்|த:ா|ல|ி|
c:h|a:j|l|i|	ச|ஜ|்:ல|ி|
c:h|a|k|a|r|	ச|ா|க|ா|ர:்|
c:h|a|k|d:a|y|a|l|a|	ச|க|்|த|ய|ா|ள|ா|
c:h|a|k|i|a|	ச|க:்|க|ி|ய:ா|
c:h|a|k|k|	ச|ா|க|்|
c:h|a|k|k|a|r|	ச|க|்|க|ா|ர:்|
p|e|	ப|ே|
c:h|a|k|o|r|i|	ச|க:்|க|ோ|ர|ி|
c:h|a|k|r:a|d:h|a|r|i|	ச|க|்|ர|த|ா|ர|ி|
c:h|a|k|r|a|j|	ச|க|்|ர|ா|ஜ:்|
m|a|l|	ம|ா|ல:்|
c:h|a|k|r:a|v|y|u|h|	ச|க|்|ர|வ:ு|ய|ு|க:்|
c:h|a|k|r|i|	ச|க|்|ர|ி|
n|a|r|e|u|b|e|t|	ந|ா|ர|ே|ய|்:ப|ெ|ட:்|
c:h|a|k|s:h|u|	ச|க|்|ஷ|ூ|
c:h|a|l|	ச|ல|்|
r|e|	ர|ே|
n:a|u|j:a|w|a|n|	ந|ௌ|ஜ|வ|ா|ன:்|
c:h|a|l:a|a|k|	ச|ா|ல|ா|க:்|
c:h|a|l|a|k|u|d|i|	ச|ா|ல|க:்|க|ு|ட|ி|
c:h|a|l|b:a|a|z|	ச|ா|ல:்|ப|ா|ஸ:்|
c:h|a|l|i|s|	ச|ா|ல|ி|ஸ:்|
c:h|a:l|t|e|	ச|ல|்:த|ே|
c:h|a:l|t|h:a|n|	ச|ல|்:த|ா|ன:்|
c:h|a:l|t|i|	ச|ல|்:த|ி|
n:a|a|m|	ந|ா|ம:்|
g:a|a|d|i|	க|ா|ட|ி|
c:h|a:l|u|	ச|ல|ு|
c:h|a|m|a|n|	ச|ா|ம|ா|ன:்|
c:h|a|m|a|n|l|a|l|	ச|ா|ம|ா|ன:்|ல|ா|ல:்|
c:h|a:m|a:r|a|	ச|ம|ர|ா|
c:h|a:m|b|a|l|	ச|ம|்|ப|ல:்|
c:h|a:m|e|l|i|	ச|ம|ே|ல|ி|
s:h|a|d|i|	ஷ|ா|த|ி|
m|e|m|s:a|a|b|	ம|ே|ம:்|ச|ா|ப:்|
c:h|a:m|i|l|a|	ச|ம|ி|ல|ா|
g:a|m:a|g|e|	க|ம|க|ே|
c:h|a:m|i|n|d|a|	ச|ம|ி|ந:்|த|ா|
m|e|n|d|i|s|	ம|ெ|ண:்|ட|ி|ஸ:்|
c:h|a:m|k|e|e|	ச|ம|்|க|ீ|
c:h|a|m|o|l|i|	ச|ா|ம|ோ|ள|ி|
c:h|a:m|p|a|	ச|ம|்:ப|ா|
c:h|a:m|p|a|b|a|t|i|	ச|ம|்:ப|ா|ப|ா|த|ி|
c:h|a:m|p|a:n|e|r|	ச|ம|்:ப|ன|ே|ர:்|
c:h|a:m|p|a|r:a|n|	ச|ம|்:ப|ா|ர|ம:்|
c:h|a:m|r|a|u|r|a|	ச|ம|்|ர|ௌ|ர|ா|
c:h|a|n|a|	ச|ா|ன|ா|
c:h|a|n|c|e|l|l:o|r|	ச|ா|ன:்|ச|ெ|ல:்|ல|ர:்|
c|h|a:n|d|	ச|ந|்|த:்|
s|u|r:a|j|	ச|ு|ர|ஜ:்|
