a|	এ|
b:a|t|i|l|a|	ব|ত|ি|ল|া|
b|a|t|r|a|	ব|া|ট:্|র|া|
b|a|t:t:e|r|y|	ব:্|য:া|ট:া|র|ি|
b|a|t:t|i|c|e|	ব:্|য:া|ট|ি|স|ি|
b|a|t|t:l:e|f|o|r|d|	ব:্|য:া|ট|ে:ল|ফ|ো|র:্|ড|
b:a|t|t|y|	ব|ট:্|ট|ি|
b|a|t|u|l:a|n|	ব|া|ত|ু|ল|ন|
b|a|t|u|q|u|e|	ব|া|ত|ু|ক|ু|ই|
b|a|u|d|d|i|n|	ব|া|উ|দ:্|দ|ি|ন|
b|a|u|d|i|n|	ব|া|ঊ|দ|ি|ন|
b:a|u:g:h|	ব|া:ফ|
b|a|u|m|g|a|r|t|e|n|	ব|া|উ|ম|গ|া|র:্|ট|ে|ন|
b|a|u|r|i|a|	ব|া|উ|র|ি|য়:া|
b|a|u|r|i|d|a|s|	ব|া|উ|র|ী|দ|া|স|
b|a|v|l|a|	ব|া|ভ|ল|া|
b|a|w|a|	ব|া|ও|য়:া|
b|a|w|a|l|	ব|া|য়|া|ল|
b|a|w|a|n|i|	ব|া|য়|া|ন|ি|
b|a|w:o:o|	ব|া|ও|
b:a|x|u|r|	ব|ক:্|স:া|র|
b|a|y|a|n|	ব|া|য়|া|ন|
b|a:y|a|n|a|	ব|ে|য়:া|ন|া|
b|a:y|a|r|d|	ব|ে|য়:া|র:্|ড|
b|a|y|a|z|i|d|	ব|া|য়|া|জ|ি|দ|
b|a|y|e|r|	ব|া|য়|ে|র|
b|a:y|e|r|n|	ব|ে|য়:া|র:্|ন|
b|a:y|f:i:e|l|d|	ব|ে|ফ:ি|ল|্:ড|
b|a:y|o|n|n|e|	ব|ে|ও|ন:্|ন|ে|
b|a|y|t|u|	ব|ে|ই|ট|ু|
b|a|z|i|d|	ব|া|জ|ি|দ|
b:e:a|c:o|n|	ব:ে|ক|ন|
b|e|a|r|	ব|ি:য়|া|র|
b:e:a|r|d|	ব:া|র:্|ড|
b:e:a|r|n|	ব:া|র:্|ন|
b|e|a|s|	ব|ি:য়|া|স|
b|e:a:u|f|o|r|t|	ব|ি:উ|ফ|ো|র:্|ট|
b|e|a:v:e|r|t|o|n|	ব|ে|ভ:া|র:্|ট|ো|ন|
b|e|a:w:a|r|	ব|ি|য়:া|র|
b|e|b|a|n|j:a|n|	দ|ে|ব|া|ঞ:্|জ|ন|
b|e|b:h:a|d|a|b|e|	ব|ি|ভ:া|দ|ে|ব|ী|
b|e|b|i|n|a|	ব|ে|ব|ি|ন|া|
b|e|c:h:a|b|a|l|a|	ব|ে|চ:া|ব|া|ল|া|
b|e|c:h:a|r|a|n|i|	ব|ে|চ:া|র|া|ন|ী|
b|e|c:h:i|r|a|n|i|	ব|ে|চ:ী|র|া|ন|ী|
b|e|c:h:u|b|a|l|a|	ব|ে|চ:ু|ব|া|ল|া|
b|e|c:h:u|r|a|m|	ব|ে|চ:ু|র|া|ম|
b|e|c:k:e|r|	ব|ে|ক:া|র|
b|e|c:k|h|a|m|	ব|ে|ক|হ|া|ম|
b|e|c:k|s|	ব|ে|ক|স|
b|e|d|a|d|e|	ব|ে|দ|া|দ|ে|
b|e|d|a|n|i|	ব|ে|দ|া|ন|ী|
b|e|d|a|r|u|l|	ব|ে|দ|া|র|ু|ল|
b|e|d|b|a:t:i|	ব|ে|দ|ব|ত:ী|
b|e|d|e|t|t|i|	ব|ে|ড|ি|ট:্|ট|ি|
b|e|d|f|o|r|d|	ব|ে|ড|ফ|ো|র:্|ড|
b|e|d|i|	ব|ে|দ|ি|
b|e|d|n|i|	ব|ে|দ|ন|ি|
b|e|d|r|e|d|d|i|n|	ব|ে|ড:্|র|ে|দ:্|দ|ি|ন|
b|e|e|r|	ব|ি|য়:া|র|
b|e:e|t|h:o:v|e|n|	ব|ে|ট|ো:ফ|ে|ন|
b|e|g:a|m|	ব|ে|গ|ম|
b|e|g:a|m|p|e|t|	ব|ে|গ|ম|প|ে|ট|
b|e|g|i|n:n:i|n:g|s|	ব|ি|গ|ি|ন:ি|ং|স|
b|e|g|u|	ব|ে|গ|ু|
b|e|g|u|s:a|r|a|i|	ব|ে|গ|ু|স|র|া|ই|
b|e|h|a|r|	ব|ি|হ|া|র|
b|e|h:a:r|i|	ব|ে|হ:া|র:ী|
b:e:j|u:n:c|t:i:o|n|a|l|	ব:ি|জ:ং|শ|ন|া|ল|
b:e:k|t|a:s:h|	ব:ক|ট|ে:স|
b|e|l|	ব|ে|ল|
b|e|l|a|j|a|n|	ব|ে|ল|া|জ|া|ন|
b|e|l|a|m|p|a|l|l|i|	ব|ে|ল|া|ম|প|া|ল:্|ল|ি|
b|e|l|a|n|	ব|ে|ল|া|ন|
b|e|l|a|r|a|n|i|	ব|ে|ল|া|র|া|ণ|ী|
b|e|l|b:a|t|y|	ব|ে|ল|ব|ত|ী|
b|e|l|e|j|a|n|	ব|ে|ল|ে|জ|া|ন|
b|e|l|e:s:h|u|n|	ব|ে|ল|ে:শ|ু|ন|
b|e|l|f:a|s|t|	ব|ে|ল|ফ|স:্|ট|
b|e|l|g|i|u|m|	ব|ে|ল|জ|ি|য়:া|ম|
b|e|l|g|r|a:d:e|	ব|ে|ল|গ:্|র|ে:ড|
b|e|l|i|e:v:e|r|s|	ব|ি|ল|ি|ভ:া|র:্|স|
b|e|l|i|s|a|r|i|o|	ব|ে|ল|ি|স|া|র|ি|ও|
b|e|l|k|e:s:h|	ব|ে|ল|ক|ে:শ|
b|e:l:l|	ব|ে:ল|
b|e:l:l|e|r|o|p:h|o|n|	ব|ে:ল|ে|র|ো|ফ|ো|ন|
b|e:l:l|e|v:u:e|	ব|ে:ল|ভ|ি:উ|
b|e:l:l|s|o|u|t:h|	ব|ে:ল|স|া|উ|থ|
b|e|l|m|u|n|i|	ব|ে|ল|ম|ু|ন|ি|
b|e|l|p:a|t|i|	ব|ে|ল|প|ত|ি|
b|e|l|p:r:e|	ব|ে|ল:্|প:ে|
b|e|l|r|a|y|a|n|	ব|ে|ল|র|া|য়|া|ন|
b|e|l|s|i|r|i|	ব|ে|ল|স|ি|র|ি|
b|e|l|t|r:o|n|	ব|ে|ল|ট:্|র|ন|
b|e|l|u|b|a|l|a|	ব|ে|ল|ু|ব|া|ল|া|
b|e|l|u|r|	ব|ে|ল|ু|ড়|
b|e|l|v|a|n|d|i|	ব|ে|ল|ভ|া|ন|দ|ি|
b|e|l|w|a|l|k|a|r|	ব|ে|ল|ও|য়:া|ল|ক|া|র|
b|e|n:a|z|i|r|	ব|ে|ন|জ|ি|র|
b|e|n|b:o:w|	ব|ে|ন|ব:ো|
b|e|n|e|d|e|t|t|o|	ব|ে|ন|ে|ড|ে|ট:্|ট|ো|
b|e|n|e|f|i|c|e|n|c:e|	ব|ে|ন|ে|ফ|ি|স|ে|ন:্|স|
b|e|n|g:a|	ব|ে|ঙ:্|গ|
b|e|n|g:a|l|i|	ব|ে|ঙ:্|গ|ল|ি|
b|e|n|g:h|i|s|a|	ব|ে|ন|ঘ|ি|স|া|
b|e|n|i|m|a|d:h:a|b|	ব|ে|ণ|ী|ম|া|ধ|ব|
b|e|n|i|n|	ব|ে|ন|ি|ন|
b|e|n|i|t|o|	ব|ে|ন|ি|ট|ো|
b|e|n|j|a|m|i|n|	ব|ে|ঞ:্|জ|া|ম|ি|ন|
b|e|n|j|i|r|	ব|ে|ন|জ|ি|র|
b|e|n|k|e|n|s:t:e|i:n|	ব|ে|ঙ:্|ক|ি|ন|্:ট|ন|
b|e|n:n:e|t:t|	ব|ে|ন:ে|ট|
b:e:n|n|i:n:g|t|o|n|	ব:ে|ন|ি:ং|ট|ো|ন|
b|e|n|o|i|s|t|	ব|ে|ন|ো|ই|স:্|ট|
b|e|n|s|o|n|v|a|l:e|	ব|ে|ন|স|ো|ন|ভ|া|ল|
b|e|n|t|	ব|ে|ন:্|ট|
b|e|n|u|b|a|l|a|	ব|ে|ন|ু|ব|া|ল|া|
b|e|n|u|c:h:a|r:a|n|	ব|ে|ন|ু|চ|র|ণ|
b|e|n|u|d:h:a|r|	ব|ে|ন|ু|ধ|র|
b|e|n|u|l|a|l|	ব|ে|ন|ু|ল|া|ল|
b|e|n|u|m|a|d:h:a|b|	ব|ে|ন|ু|ম|া|ধ|ব|
b|e|o|h|a|r|i|	ব|ি|ও|হ|া|র|ি|
b:e|r|b|a|k|	ব|া:র|ব|া|ক|
b|e|r|c:h:h|a|	ব|ি|র|ছ|া|
b|e|r|c:h|t|e|s|g|a|d|e|n|	ব|া|র:্|চ|ট|ে|স|গ|া|দ|ে|ন|
b|e|r|e|n|d|r|e|c:h|t|	ব:্|য:া|র|ে|ন|ড:্|র|ে|চ|ট|
b|e|r|g|e|n|	ব|া|র:্|জ|ে|ন|
b|e|r|g:e|r|	ব|া|র:্|জ|া:র|
b|e|r|h:a|m|p|u|r|	ব|ে|র|হ|ম|প|ু|র|
b|e|r|i|	ব|ে|র|ি|
b|e|r|i|s|	ব|ি|র|ি|স|
b|e|r|k|e|l|i|u|m|	ব|া|র:্|ক|ে|ল|ি|য়:া|ম|
b|e|r|l|e|	ব|া|র:্|ল|ে|
b|e|r|l|i|n|	ব|া|র:্|ল|ি|ন|
b|e|r|n|a:r:d|	ব|া|র:্|ন|া:ড|
b|e|s|i|r:a|n|	ব|ে|স|ি|র|ন|
b|e|s|r|o|l|i|	ব|ে|স|র|ো|ল|ি|
b|e|s|t|	ব|ে|স:্|ট|
b|e|t:e|	ব|ে|ট|
b|e|t:h|e|l|	ব|ে|থ|ে|ল|
b|e|t:h|l|e|h|e|m|	ব|ে|থ|ল|ে|হ|ে|ম|
b|e|t|i|r|i|	ব|ে|ট|ি|র|ি|
b|e:t:t|e|	ব|ে:ট|ি|
b|e|t:t:e|r|	ব|ে|ট:া|র|
b:e:t|t:i:e|	ব:ে|ট:ি|
b|e|t|u|l|	ব|ে|ট|ু|ল|
b|e|t|w|a|	ব|ে|ত|ো:য়|া|
b|e|t|w:e:e|n|	ব|ি|ট|ু:ই|ন|
b|e|v|	ব|ে|ভ|
b|e:v:e|r|l|y|	ব:ে|ভ:া|র:্|ল|ি|
b|e:y|	ব|ে|
b:h:a|a|t|v|a|d|e|k|a|r|	ভ|া|ত|ভ|া|দ|ে|ক|া|র|
b:h:a|b:a|	ভ|ব|
b:h:a|b:a|d|e|b|	ভ|ব|দ|ে|ব|
b:h:a|b|a|n:a|n|d:a|	ভ|ব|া|ন|ন:্|দ|
b:h:a|b|a|n|i|	ভ|ব|া|ন|ী|
b:h:a|b|a|n|i|b|a|l|a|	ভ|ব|া|ন|ী|ব|া|ল|া|
b:h:a|b|a|n|i|p|r:a|s|a|d|	ভ|ব|া|ন|ী|প:্|র|স|া|দ|
b:h:a|b|a|n|i|r|a|n|i|	ভ|ব|া|ন|ী|র|া|ন|ী|
b:h:a|b|a|n|i|s:h:a|n|k:a|r|	ভ|ব|া|ন|ী|শ|ঙ:্|ক|র|
b:h:a|b:a|r:a|n|j:a|n|	ভ|ব|র|ঞ:্|জ|ন|
b:h:a|b:a|s:a|n|k:a|r|	ভ|ব|শ|ং|ক|র|
b:h:a|b:a|s:h:a|n|k:a|r|	ভ|ব|শ|ঙ:্|ক|র|
b:h:a|b:a|s|i|n|d:h:u|	ভ|ব|স|ি|ন:্|ধ:ু|
b:h:a|b:a|t|o|s:h|	ভ|ব|ত|ো|ষ|
b:h:a|b|e:s:h|	ভ|ব|ে:শ|
b:h:a|b:h|a|r|	ভ:া|ব|া|র|
b:h:a|b|r|i|	ভ:া|ব|র|ী|
b:h:a|c:c:h|	ভ:া|ছ|
b:h:a|c:h:a|u|	ভ:া|ছ:া|উ|
b:h:a|d|a|n|	ভ:া|দ|া|ন|
b:h:a|d|a|u|r|a|	ভ:া|দ|া|উ|র|া|
b:h:a|d|b:h:a|d|a|g:h:a|t|	ভ|দ|ভ:া|দ|া|ঘ:া|ট|
b:h:a|d|b:h:a|d|e|	ভ:া|দ|ভ:া|দ|ে|
b:h:a|d|b:h:o|k|e|	ভ:া|দ|ভ:ো|ক|ে|
b:h:a|d|k|a|m|k|a|r|	ভ:া|দ|ক|া|ম|ক|া|র|
b:h:a|d|l|i|	ভ:া|দ|ল|ি|
b:h:a|d|o|h|i|	ভ:া|দ|ো|হ|ি|
b:h:a|d|r|a|b|a:t:i|	ভ|দ:্|র|া|ব|ত:ী|
b:h:a|d|r:a|k:h|	ভ|দ:্|র|ক|
b:h:a|d|r:a|l|o|c:h:a|n|	ভ|দ:্|র|ল|ো|চ|ন|
b:h:a|d|r|a|n|	ভ:া|দ|র|া|ন|
b:h:a|d|r:a|v|a|t|i|	ভ|দ:্|র|ভ|া|ট|ি|
b:h:a|d|r|e|s|w:a:r|	ভ|দ:্|র|ে|শ:্|ব:র|
b:h:a|d|u|	ভ|দ|ু|
b:h:a|g|a|	ভ:া|গ|া|
b:h:a|g:a|b|a|n|d|a|s|	ভ|গ|ব|া|ন|দ|া|স|
b:h:a|g:a|b:a|t|i|	ভ|গ|ব|ত|ি|
b:h:a|g:a|b|a:t:i|d|e|v|i|	ভ|গ|ব|ত:ী|দ|ে|ব|ী|
b:h:a|g:a|l|p|u|r|	ভ:া|গ|ল|প|ু|র|
b:h:a|g|a|t|	ভ:া|ঘ|া|ট|
b:h:a|g|d:a|t|t:a|	ভ|গ|দ|ত:্|ত|
b:h:a|g|e|g|a|	ভ:া|গ|ি|গ|া|
b:h:a|g|e|s|w:a:r|	ভ|গ|ে|স:্|ব:র|
b:h:a|g|i|r:a|t:h|	ভ|গ|ি|র|থ|
b:h:a|g|i|r:a|t:h:i|	ভ:া|গ|ী|র|থ:ী|
b:h:a|g|i:t:a|t:h:i|	ভ:া|গ|ী:র|থ:ী|
b:h:a|g|m:a|n|i|	ভ:া|গ|ম|ন|ি|
b:h:a|g|t|a|	ভ:া|গ|ত|া|
b:h:a|g|t|a|n|w|a|l|a|	ভ|গ|ত|া|ন|ও|য়:া|ল|া|
b:h:a|g|w:a|n|p|u|r|	ভ|গ|ব|া:ন|প|ু|র|
b:h:a|g|w:a|t|	ভ|ক|ব|ত|
b:h:a|g|w|a:t:i|	ভ|গ|ব|ত:ী|
b:h:a|i|n|i|	ভ|ৈ|ন|ি|
b:h:a|i|r:a|b|n|a|t:h|	ভ|ৈ|র|ব|ন|া|থ|
b:h:a|j|	ভ|জ|
b:h:a|j:a|h:a|r|i|	ভ|জ|হ|র|ী|
b:h:a|j:a|n|k|u|m|a|r|	ভ|জ|ন|ক|ু|ম|া|র|
b:h:a|j|u|	ভ|জ|ু|
b:h:a|k:a|r|u|	ভ:া|ক|ড়|ু|
b:h:a|k|t:a|b|a|l|a|	ভ|ক:্|ত|ব|া|ল|া|
b:h:a|k|t:a|d|a|s|	ভ|ক:্|ত|দ|া|স|
b:h:a|k|t:a|h:a|r|i|	ভ|ক:্|ত|হ|র|ি|
b:h:a|k|t:a|p:a|d:a|	ভ|ক:্|ত|প|দ|
b:h:a|k|t:a|r|a|m|	ভ|ক:্|ত|র|া|ম|
b:h:a|k|t:a|r:a|n|g:a|n|	ভ|ক:্|ত|র|ঞ:্|জ|ন|
b:h:a|k|t:a|r|a|n|i|	ভ|ক:্|ত|র|া|ন|ী|
b:h:a|k|t|i|	ভ|ক:্|ত|ি|
b:h:a|k|t|i|b|a|l|a|	ভ|ক:্|ত|ি|ব|া|ল|া|
b:h:a|k|t|i|p:a|d|	ভ|ক:্|ত|ি|প|দ|
b:h:a|k|u|c:h:a|r:a|n|	ভ:া|ক|ু|চ|র|ণ|
b:h:a|l|e|	ভ:া|ল|ে|
b:h:a|l|e|r|a|o|	ভ:া|ল|ে|র|া|ও|
b:h:a|l|l|a|	ভ:া|ল:্|ল|া|
b:h:a|l|u|k|	ভ:া|ল|ু|ক|
b:h:a|l|w|a|n|	ভ:া|ল|্:ব|য়:া|ন|
b:h:a|m|b|h:r|a|	ভ:া|ম|ব:্|র|া|
b:h:a|m|r|a|	ভ:া|ম|র|া|
b:h:a|n|d|a|k|	ভ:া|ন|ড|া|ক|
b:h:a|n|d|a|p|e|	ভ:া|ন:্|ড|া|প|ে|
b:h:a|n|d:a|r|d:a|r|a|	ভ|ন:্|দ|র|দ|র|া|
b:h:a|n|d|a|r|i|	ভ:া|ন|ড|া|র|ি|
b:h:a|n|d|i|	ভ|ে:ঁ|দ|ি|
b:h:a|n|d|u|	ভ|ঁ|দ|ু|
b:h:a|n|g|e|	ভ:া|ঙ:্|গ|ে|
b|h|a|n:g|u|	ভ|া|গ|ন|ু|
b:h:a|n|j:a|n|	ভ|ঞ:্|জ|ণ|
b:h:a|n|j:a|n|	ভ|ঞ:্|জ|ন|
b:h:a|n|k|o|d|a|	ভ:া|ন|ক|ো|ড|া|
b:h:a|n|t|u|	ভ:া|ঁ|ট|ু|
b:h:a|n|u|	ভ:া|ন|ু|
b:h:a|n|u|m|a:t:i|	ভ:া|ন|ু|ম|ত:ী|
b:h:a|n|u|p:a|d:a|	ভ:া|ন|ু|প|দ|
b:h:a|n|u|p|r:a|k|a|s:h|	ভ:া|ন|ু|প:্|র|ক|া|শ|
b:h:a|n|u|p|r:a|t|a|p|	ভ:া|ন|ু|প:্|র|ত|া|প|
b:h:a|p|a|	ভ:া|প|া|
b:h:a|r|a:d:w|a|j|	ভ|র|ত:দ|া|জ|
b:h:a|r:a|t|	ভ:া|র|ত|
b:h:a|r:a|t|c:h:a|n|d|r:a|	ভ|র|ত|চ|ন:্|দ:্|র|
b:h:a|r:a|t|i|	ভ:া|র|ত|ি|
b:h:a|r|a:t:i|b|a|l|a|	ভ:া|র|ত:ী|ব|া|ল|া|
b:h:a|r|a:t:i|r|a|n|i|	ভ:া|র|ত:ী|র|া|ণ|ী|
b:h:a|r:a|t|k|i|s:h|o|r|	ভ|র|ত|ক|ি|শ|ো|র|
b:h:a|r:a|t|k|u|m|a|r|	ভ|র|ত|ক|ু|ম|া|র|
b:h:a|r:a|t|k|u|n|d|	ভ:া|র|ত|ক|ু|ন:্|দ|
b:h:a|r:a|t|m|u|n|i|	ভ|র|ত|ম|ু|ন|ি|
b:h:a|r:a|t|n|a|t|y:a|m|	ভ:া|র|ত|ন|া|ট:্|য|ম|
b:h:a|r:a|t|p|u|r|	ভ:া|র|ত|প|ু|র|
b:h:a|r:a|t|w|a|d|a|	ভ:া|র|ত|ও|য়:া|দ|া|
b:h:a|r|d|w|a|j|	ভ:া|র|দ|্:ব|া|জ|
b:h:a|r|t|i|	ভ:া|র|ত|ী|
b:h:a|r|w|a|	ভ:া|র|য়|া|
b:h:a|s|i|n|	ভ:া|স|ি|ন|
b:h:a|s|k:a|r|	ভ:া|ষ:্|ক|র|
b:h:a|s|k:a|r|	ভ:া|স:্|ক|র|
b:h:a|s|w|a:t:i|	ভ:া|স|্:ব|ত:ী|
b:h:a|t|	ভ:া|ট|
b:h:a|t|e|l|	ভ:া|ট|ে|ল|
b:h:a|t|g:a|o|n|	ভ:া|ট|গ|া|ঁ:ও|
b:h:a|t|i|a|	ভ:া|ট|ি|য়:া|
b:h:a|t|i|n|d|a|	ভ:া|ত|ি|ন:্|দ|া|
b:h:a|t|i|y|a|	ভ:া|ত|ি|য়|া|
b:h:a|t|k:h:e|d|e|	ভ:া|ট|খ:ে|দ|ে|
b:h:a|t|n:a|g:a|r|	ভ:া|ট|ন|গ|র|
b:h:a|t:o:n|	ভ:া|ত:ন|
b:h:a|t|p|a|r|	ভ:া|ত|প|া|র|
b:h:a|t|s|a|	ভ:া|ট|স|া|
b:h:a|t|t|a|	ভ:া|ত:্|ত|া|
b:h:a|t|t|a|c:h:a|r|y:a|	ভ|ট:্|ট|া|চ:া|র:্|য|
b:h:a|t|t|i|	ভ:া|ট:্|ট|ি|
b:h:a|t|t|u|	ভ:া|ট:্|ট|ু|
b:h:a|u|	ভ:া|উ|
b:h:a|v|a|n|i|	ভ|ব|া|ন|ী|
b:h:a|v|a|n|i|s|a|g:a|r|	ভ|ব|া|ন|ি|স|া|গ|র|
b:h:a|v|n:a|g:a|r|	ভ:া|ব|ন|গ|র|
b:h:a|w:a|b:h|o:o:t|i|	ভ|ব|ভ|ূ:ত|ি|
b:h:a|y|a|v|a|d:a|r|	ভ:া|ই|য়:া|ভ|া|দ|র|
b:h|e:e|d|e|	ভ|ি|দ|ে|
b:h|e:e:m|a|	ভ|ী:ম|া|
b:h|e:e:m|p|u|r|a|	ভ|ী:ম|প|ু|র|া|
b:h|e:e:r|p|u|r|	ভ|ী:র|প|ু|র|
b:h:e|n|d|e|	ভ:ে|ন:্|দ|ে|
b:h:e|n|i|w|a|l|	ভ:ি|ন|ি|ও|য়:া|ল|
b:h:i|k:h:a|r|i|	ভ:ি|খ:া|র|ী|
b:h:i|l|a|d|	ভ:ি|ল|া|দ|
b:h:i|l|a|i|	ভ:ি|ল|া|ই|
b:h:i|l|w|a|r|a|	ভ:ি|ল|ও|য়:া|র|া|
b:h:i|m|	ভ:ী|ম|
b:h:i|m|a|	ভ:ী|ম|া|
b:h:i|m|a|c:h:a|r:a|n|	ভ:ী|ম|া|চ|র|ণ|
b:h:i|m:a|l|	ভ:ি|ম|ল|
b:h:i|m|a|n|a|	ভ:ি|ম|া|ন|া|
b:h:i|m|a|r|l|a|i|	ভ:ি|ম|া|র|ল|া|ই|
b:h:i|m|a|s|a|r|	ভ:ি|ম|া|স|া|র|
b:h:i|m:a|s:h:a|n|k:a|r|	ভ:ী|ম|শ|ঙ:্|ক|র|
b:h:i|m|a|v:a|r|a|m|	ভ:ি|ম|া|ভ|র|া|ন|
b:h:i|m|a|v:a|r|a|m|	ভ:ি|ম|া|ভ|র|া|ম|
b:h:i|m|c:h:a|n|d|r:a|	ভ:ী|ম|চ|ন:্|দ:্|র|
b:h:i|m|c:h:a|r:a|n|	ভ:ী|ম|চ|র|ণ|
b:h:i|m|l|a|	ভ:ি|ম|ল|া|
b:h:i|m|p:a|d:a|	ভ:ী|ম|প|দ|
b:h:i|m|s|a|	ভ:ী|ম|স|া|
b:h:i|n|d|	ভ:ি|ন:্|দ|
b:h:i|n|d|a|	ভ:ী|ন:্|দ|া|
b:h:i|n|d|a|r|	ভ:ী|ন:্|দ|া|র|
b:h:i|n|d|a|r|a|n|w|a|l|e|	ভ:ী|ন:্|দ|া|র|া|ন|ও|য়:া|ল|ি|
b:h:i|n|w|a|l|i|y|a|	ভ:ি|ন|ও|য়:া|ল|ি|য়|া|
b:h:i|p:a|t|i|	ভ:ি|প|ত|ি|
b:h|i|r:a|b|c:h:a|n|d|r:a|	ভ|ৈ|র|ব|চ|ন:্|দ:্|র|
b:h:i|s|h|m:a|	ভ:ী|ষ|্|ম|
b:h:i|v|a|n|i|	ভ:ি|ভ|া|ন|ি|
b:h:i|w|a|n|d|i|	ভ:ি|ও|য়:া|ন:্|দ|ি|
b:h:o|d|w|a|l|	ভ:ো|দ|ও|য়:া|ল|
b:h:o|g|a|l|	ভ:ো|গ|া|ল|
b:h:o|g|e|n|d|r:a|	ভ:ো|গ|ে|ন:্|দ:্|র|
b:h:o|g|p|u|r|	ভ:ো|গ|প|ু|র|
b:h:o|j|i|p|u|r|a|	ভ:ো|জ|ি|প|ু|র|া|
b:h:o|j|o|	ভ:ো|জ|ো|
b:h:o|j|p|u|r|	ভ:ো|জ|প|ু|র|
b:h:o|j|u|d:i:h|	ভ:ো|জ|ু|দ:ি|
b:h:o|k:e|	ভ:ো|ক|
b:h:o|l|a|	ভ:ো|ল|া|
b:h:o|l|a|d|a|s|i|	ভ:ো|ল|া|দ|া|স|ী|
b:h:o|l|a|n|a|t:h|	ভ:ো|ল|া|ন|া|থ|
b:h:o|l|a|r|a|n|i|	ভ:ো|ল|া|র|া|ন|ী|
b:h:o|m|b:a|l|	ভ:ো|ম:্|ব|ল|
b:h:o|n|d|a|	ভ:ো|ঁ|দ|া|
b:h:o|n|g|i|r|	ভ:ো|ন|গ|ি|র|
b:h:o|n|r|a|	ভ:ো|ন|র|া|
b:h:o|n|s|l|e|	ভ:ো|ঁ|স|ল|ে|
b:h:o|p|a|t|k|a|r|	ভ:ো|প|া|ট|ক|া|র|
b:h:o|r|a|s|k|a|r|	ভ:ো|র|া|স|ক|া|র|
b:h:o|r|e|	ভ:ো|র|ি|
b:h:o|r|t|e|x|	ভ:ো|র|ট|ে:ক|্:স|
b:h:o|u|n|	ভ:ো|উ|ন|
b:h|r:a:d|r|i|	ভ|দ:্|র|ী|
b:h|r|a:m|r|i|	ভ|্:র|ম|র|ী|
b:h:r|i:g:u|	ভ:ৃ|গ:ু|
b:h:r|i:g:u|n|a|t:h|	ভ:ৃ|গ:ু|ন|া|থ|
b:h:r|i:g:u|r|a|m|	ভ:ৃ|গ:ু|র|া|ম|
b:h:u|b:a|n|b|a|l|a|	ভ:ু|ব|ন|ব|া|ল|া|
b:h:u|b:a|n|c:h:a|n|d|r:a|	ভ:ু|ব|ন|চ|ন:্|দ:্|র|
b:h:u|b:a|n|e|s|w:a:r|i|	ভ:ূ|ব|ন|ে|শ:্|ব:র|ী|
b:h:u|b:a|n|i|	ভ:ু|ব|ন|ী|
b:h:u|b:a|n|m|o|h:a|n|	ভ:ু|ব|ন|ম|ো|হ|ন|
b:h:u|c:h|c:h:u|	ভ:ূ|চ|চ:ু|
b:h:u|d|e|b|	ভ:ু|দ|ে|ব|
b:h:u|d:h:a|r|	ভ:ূ|ধ|র|
b:h:u|d|u|r|	ভ:ু|দ|ু|র|
b:h:u|j|	ভ:ূ|জ|
b:h:u|j|u|	ভ:ু|জ|ু|
b:h:u|k:h|l|i|	ভ:ু|খ|ল|ী|
b:h:u|k:h|l|i|	ভ:ূ|খ|ল|ী|
b:h:u|l|a|n|p|u|r|	ভ:ূ|ল|া|ন|প|ু|র|
b:h:u|l|i|	ভ:ূ|ল|ি|
b:h:u|l|l|a|r|	ভ:ু|ল:্|ল|া|র|
b:h:u|l|o|n|	ভ:ূ|ল|ো|ন|
b:h:u|n|c:h|	ভ:ূ|ন:্|ছ|
b:h:u|p|a|l|	ভ:ূ|প|া|ল|
b:h:u|p|a|n|d|r:a|	ভ:ু|প|ে|ন:্|দ:্|র|
b:h:u|p:a|t|i|	ভ:ু|প|ত|ি|
b:h:u|p:a|t|i|c:h:a|r:a|n|	ভ:ূ|প|ত|ি|চ|র|ন|
b:h:u|p|e|n|	ভ:ূ|প|ে|ন|
b:h:u|p|i|a|	ভ:ূ|প|ি|য়:া|
b:h:u|r|k|i|	ভ:ু|ড়|ক|ি|
b:h:u|s|a|r|i|	ভ:ু|স|া|র|ি|
b:h:u|s|a|v|a|l|	ভ:ূ|স|া|ভ|া|ল|
b:h:u|s:h:a|n|	ভ:ু|ষ|ণ|
b:h:u|s:h:a|n|	ভ:ূ|ষ|ণ|
b:h:u|s:h:a|n|c:h:a|n|d|r:a|	ভ:ূ|ষ|ণ|চ|ন:্|দ:্|র|
b:h:u|t|a|k|i|a|	ভ:ূ|ট|া|ক|ি|য়:া|
b:h:u|t|e|n|	ভ:ু|ট|ে|ন|
b:h:u|t|n|a|t:h|	ভ:ু|ত|ন|া|থ|
b:h:u|t|t|i|	ভ:ূ|ট:্|ট|ি|
b:h:u|t|t|o|	ভ:ূ|ট:্|ট|ো|
b:h:u|t|u|n|a|t:h|	ভ:ু|ত|ু|ন|া|থ|
b:h:u|v:a|n|e|s|w:a:r|i|	ভ:ু|ব|ন|ে|শ:্|ব:র|ী|
b|i|a|l|e|g|o|	ব|ি|য়:া|ল|ে|গ|ো|
b|i|a|l|i|k|	ব|ি|য়:া|ল|ি|ক|
b|i|a:t:h|l:o|n|	ব|া:ই|থ|ল|ন|
b|i|b|e|k|a|n:a|n|d:a|	ব|ি|ব|ে|ক|া|ন|ন:্|দ|
