h|e|t|f|i|e:l|d|	ה|י|ט|פ|י|ל|ד|
d|w|i|g:h|t|	ד|ו|א|י|ט|
s:u|l:a|y|m|a|n|	ס|ל|י|מ|א|ן|
k|a|n|e|t|o|	ק|א|נ|י|ט|ו|
f|r|i|z|	פ|ר|י|ז|
m|i|t|c:h|	מ|י|ט|ש|
g|u|s|t|a|v:e|	ג|ו|ס|ט|א|ב|
z:a|k|a|t|	ז|ק|א|ת|
d|e|v|e|n|d|r|a|	ד|י|ב|י|נ|ד|ר|א|
s|u|l|a|i:m|a:n|	ס|ו|ל|י:י|מ|ן|
o|d:e|n|s|e|	א:ו|ד|נ|ס|י|
p|e|e:l|	פ|י|ל|
c|a|m|d:e|n|	ק|א|מ|ד|ן|
d|z|o|d|z|u|a|s:h|v|i|l|i|	ד|ז|ו|ד|ז|ו|א|ש|ב|י|ל|י|
v|a|l|k:e|	ו|א|ל|ק|
p|e|r|u|z:z|i|	פ|י|ר|ו|צ|י|
b|a|s:h|i|	ב|א|ש|י|
d|i|o|n|y|s|i|u|s|	ד|י|ו|נ|י|ס|י|ו|ס|
l|u|p|o|l|i|a|n|s|k|i|	ל|ו|פ|ו|ל|י|א|נ|ס|ק|י|
o|s|l|o|	א:ו|ס|ל|ו|
t|a|y|l|o|r|	ט|י|י|ל|ו|ר|
k|o|k|i|	ק|ו|ק|י|
s:h|e|p:h|e|r|d|	ש|י|פ|א|ר|ד|
b|l|a|z|e|j|	ב|ל|א|ז|י|י|
a|b|a|n:e|	ע|ב|א|ן|
m|i|y:a|k|e|	מ|י|א|ק|י|
n|a|m|i:e|	נ|א|מ|י|
b|o:u|r|b|a|k|i|	ב|ו|ר|ב|א|ק|י|
s|t|e|f|a|n|	ס|ט|י|פ|א|ן|
j|i|h|a|i|	ג:'|י|ה|א|י|
e|i|t:a|n|	א|י|ת|ן|
s|b|a|r:r|o|	ס|ב|א|ר|ו|
m|c|d|o|r|m|a|n|d|	מ|ק|ד|ו|ר|מ|א|נ|ד|
s|e|a:n|	ש|ו|ן|
h|a|p:p|e:l|	ה|א|פ|ל|
p|a:g|n|o|l|	פ|א|נ:י|ו|ל|
s|o|r|i|n|	ס|ו|ר|י|ן|
h:a|n|a|n|	ח|נ|א|ן|
q|u|a|r|e|s|m|a|	ק|ו|א|ר|י|ס|מ|א|
a|s:h|l:e|y|	א|ש|ל|י|
j|e|a:n|	ג:'|י|ן|
c|o|l|u|m|b|u|s|	ק|ו|ל|ו|מ|ב|ו|ס|
l|e|a:n|	ל|י|ן|
z:e|e|z:e|e|	ז|י|ז|י|
d|u|f:f|y|	ד|א|פ|י|
y|o|s:h|i|m|o|t|o|	י|ו|ש|י|מ|ו|ט|ו|
w|y|n|a|l|d|a|	ו|י|נ|א|ל|ד|א|
b|o|d|a|r|t|	ב|ו|ד|א|ר|ט|
v|a|s|y|l|	ו|א|ס|י|ל|
j|a|r|d:e|l|	ג:'|א|ר|ד|ל|
w|i|l:l|i|a|m|	ו|י|ל|י|א|ם|
s|u|c|h:o|p|a|r|e|k|	ס|ו|צ:'|ו|פ|א|ר|י|ק|
a|z|i|z|o:u|	ע|ז|י|ז|ו|
k|a|r|a|m:a|n|l|i|s|	ק|א|ר|א|מ|נ|ל|י|ס|
z|o|r|i|n|	ז|ו|ר|י|ן|
p|a:r|r:e|i|r|a|	פ|א|ר|י|ר|א|
k|u|k|a|	ק|ו|ק|א|
l|u|k|a|	ל|ו|ק|א|
g|e|l|s|e:n|k|i|r|c:h|e:n|	ג|י|ל|ס|נ|ק|י|ר|ש|ן|
b|o|i|s|	ב|ו|ו|א|
n|a|t:h|a|n|i|e|l|	נ|א|ת|א|נ|י|א|ל|
c|a|u|s|i|o|	ק|א|ו|ז|י|ו|
m|a|k|s|i|m|	מ|א|ק|ס|י|ם|
g|r:a|e|m:e|	ג|ר|א|ם|
m|i|t|c:h|e:l|	מ|י|ט|ש|ל|
p|i|o|n|t|e|k|	פ|י|ו|נ|ט|י|ק|
b|i|l:l|i:e|	ב|י|ל|י|
s|o|y|u|z|	ס|ו|י|ו|ז|
k|a|t:e|	ק|י:י|ט|
m|a|t|e|	מ|א|ט|י|
s|l|o|b|o|d|a|n|	ס|ל|ו|ב|ו|ד|א|ן|
s|e|v|i:l|l:e|	ס|י|ב|י|ל|
n|i|h|a|t|	נ|י|ה|א|ט|
d|a:w|s|o:n|	ד|ו|ס|ן|
c|a|t|e|	ק|א|ט|י|
m|o|m|c|i|l|o|	מ|ו|מ|ס|י|ל|ו|
k|j|e:l|d|	ק|י|ל|ד|
b|i|n|e:t|	ב|י|נ|ה|
k|a|h|n:e|m|a|n|	ק|א|ה|נ|מ|א|ן|
s|t|a|n|k|o|v|i|c|	ס|ט|א|נ|ק|ו|ב|י|ט:ש|
y|o|i|c|h:i|r|o|	י|ו|י|צ:'|י|ר|ו|
k|l|a|i|p|e|d|a|	ק|ל|א|י|פ|י|ד|א|
b|a|r|b|e|r|a|	ב|א|ר|ב|י|ר|א|
t|a|k|a|n|o|	ט|א|ק|א|נ|ו|
t|a:d|m|o|r|	ט|ד|מ|ו|ר|
b|a|r|b:a|r|a|	ב|א|ר|ב|ר|א|
l|u|a|n|d|a|	ל|ו|א|נ|ד|א|
d|a|i|k|i|	ד|א|י|ק|י|
l:e|i|b|	ל|י|ב|
b:a|k:a|r|	ב|ק|ר|
t|o|r|e|l:l|i|	ט|ו|ר|י|ל|י|
e|m:e|k|	ע|מ|ק|
s|t|a|n|	ס|ט|א|ן|
s|a|m|b|o|r|a|	ס|א|מ|ב|ו|ר|א|
s|a|l|a|n|d|r|a|	ס|א|ל|א|נ|ד|ר|א|
h:a|m:o|u:c|h:e|	ח|מ|ו|ש|
z|o:u|a|g|i|	ז|ו|א|ג|י|
z|u|s:e|	ז|ו|ס|
i|n|s|u|l|i|n|	א:י|נ|ס|ו|ל|י|ן|
l|e|p|i|l:l|e|r|	ל|י|פ|י|ל|י|ר|
m|a|r|e|s|c|a|	מ|א|ר|י|ס|ק|א|
b|a|m|i|r|	ב|א|מ|י|ר|
t|o|g|a|s:h|i|	ט|ו|ג|א|ש|י|
p|a|r|o|	פ|א|ר|ו|
s:h|a|u|k|a|t|	ש|א|ו|ק|א|ט|
c|r|o|n:e|n|b|e:r|g|	ק|ר|ו|נ|נ|ב|ר|ג|
z|a|c:k|	ז|א|ק|
m|e|n|t|a|l|	מ|י|נ|ט|א|ל|
o|r|w|e|l:l|	א:ו|ר|ו|י|ל|
b|a|l|m|o|n|t|	ב|א|ל|מ|ו|נ|ט|
d|j|v|u|	ד|ג:'|ב|ו|
k|o|n|s|t|a|n|t|i|n|o:u|	ק|ו|נ|ס|ט|א|נ|ט|י|נ|ו|
p|o|r|t|m|a|n|	פ|ו|ר|ט|מ|א|ן|
r|a|g:e|h|	ר|א|ג|ח|
g|o|n:n|o|h|y|o:e|	ג|ו|נ|ו|ה|י|ו|
a|a|m|i|r|	ע|א|מ|י|ר|
s|a:m|b|u|s:a|c|	ס|מ|ב|ו|ס|ק|
c:o|u|n|t|y|	ק|א:ו|נ|ט|י|
i|o|f|a|n|	א:י|ו|פ|א|ן|
m|a|l|k|o|	מ|א|ל|ק|ו|
g|l|e|n:n|	ג|ל|י|ן|
m|a|m|o|r|u|	מ|א|מ|ו|ר|ו|
a|b:a|d|a|n|	ע|ב|ד|א|ן|
n|a|d|e:r|	נ|י:י|ד|ר|
a|u|g|u|s|t|a|	א|ו|ג|ו|ס|ט|א|
p|r|a|t|i|	פ|ר|א|ט|י|
m|a|l|a|y|s|i|a|	מ|א|ל|י|י|ז|'|א|
g|a|s:s|i|d|	ג|א|ס|י|ד|
h:a|m|o:u|d|	ח|מ|ו|ד|
m|o|n|t|e|r:r|e|y|	מ|ו|נ|ט|י|ר|י|י|
v|i|e|n:n|a|	ו|י|י|נ|א|
s|o|n|g|	ס|ו|נ|ג|
t|o|n|g|	ט|ו|נ|ג|
w|o|n|g|	ו|ו|נ|ג|
h|o|n|g|	ה|ו|נ|ג|
l|o|n|g|	ל|ו|נ|ג|
g|e:r|t|y|	ג|ר|ט|י|
y|o|s:s|i|	י|ו|ס|י|
m:a|h|m|u|d|i|	מ|ח|מ|ו|ד|י|
g|a:m|i|l|	ג|מ|י|ל|
h|a|g|e:n|	ה|א|ג|ן|
b|l|a|t:t|e:r|	ב|ל|א|ט|ר|
b|i|h|a|r|	ב|י|ח|א|ר|
p|e|z:z|e|y|	פ|י|ז|י|י|
a|f|g:h|a|n|i|	א|פ|ג|א|נ|י|
m|a|r|s:h|a|l:l|	מ|א|ר|ש|א|ל|
s|a:m|a|h|a|	ס|מ|א|ח|ה|
a|n|d|r:e|s|e:n|	א|נ|ד|ר|ס|ן|
m|o|r|a|d|i|	מ|ו|ר|א|ד|י|
l|i|n|z|	ל|י|נ|ז|
w:a|l:e|e|d|	ו|ל|י|ד|
r|o|t:h|s:c|h:i|l|d|	ר|ו|ת|ש|י|ל|ד|
n|e|i|r|a|	נ|י|י|ר|א|
r|u|b|i|n|s|t:e|i|n|	ר|ו|ב|י|נ|ס|ט|י|ן|
b|a|s|t|e:n|	ב|א|ס|ט|ן|
m|c:c|a|n:n|	מ|ק|א|ן|
m|a|r|m|a|d|u|k:e|	מ|א|ר|מ|א|ד|ו|ק|
r|e|n|z|o|	ר|י|נ|ז|ו|
g|a|v|r|a|s|	ג|א|ב|ר|א|ס|
t|i|m|b:u|k|t|u|	ט|י|מ|ב|ק|ט|ו|
r|a|v|o:u|s|i|s|	ר|א|ב|ו|ס|י|ס|
g|a|a:r|d|e:r|	ג|א|ר|ד|ר|
m|u|r|i|e|l|	מ|ו|ר|י|א|ל|
o|l|s:s|o:n|	א:ו|ל|ס|ן|
s|a|b|a|	ס|א|ב|א|
m|o|n|t|e|s:s|o|r|i|	מ|ו|נ|ט|י|ס|ו|ר|י|
d|i|c:k|o|v|	ד|י|ק|ו|ב|
l|o|l|a|	ל|ו|ל|א|
n|o|r|d|i|s|k|	נ|ו|ר|ד|י|ס|ק|
c|e:m|a|l|	ג:'|מ|א|ל|
e|u|t|e|r|p|e|	י|ו|ט|י|ר|פ|י|
p|i|s|t|o|n|e|	פ|י|ס|ט|ו|נ|י|
r|o|n|i|	ר|ו|נ|י|
j|o:h|n:n|y|	ג:'|ו|נ|י|
t|o|n|i|	ט|ו|נ|י|
g|l:e|n|	ג|ל|ן|
g|o|l|d|	ג|ו|ל|ד|
w|o|l:e|	ו|ו|ל|
h|a|t:h|a|i|r|a|t:t|a|n|a|k|o:o|l|	ה|א|ת|א|י|ר|א|ט|א|נ|א|ק|ו|ל|
o|d|a|y|	ע:ו|ד|א|י|
z|e|n|g|i:n|	ז|י|נ|ג|ן|
r|i|b|o:t|	ר|י|ב|ו|
a|c|u|t|i|f|o|l|i|a|	א|ק|י:ו|ט|י|פ|ו|ל|י|א|
t|i:m|b:a|l:a|n|d|	ט|מ|ב|ל|נ|ד|
m|e|n|a|s:s|e|	מ|י|נ|א|ס|ה|
b|a|d|e:r|	ב|א|ד|ר|
h|i|d:e|n|	ה|י|ד|ן|
h|i|d|e|o|	ה|י|ד|י|ו|
h|e|n|z:e|	ה|י|נ|ז|
h:a|m:m|a|d|i|	ח|מ|א|ד|י|
b|o|r|o|b|u|d|u|r|	ב|ו|ר|ו|ב|ו|ד|ו|ר|
c|h:i|s|l:e|n|k|o|	צ:'|י|ס|ל|נ|ק|ו|
p|a|l|e:r|m|o|	פ|א|ל|ר|מ|ו|
o|k|a|m|o|t|o|	א:ו|ק|א|מ|ו|ט|ו|
a|r|i|s|t|i|z|a|b|a|l|	א|ר|י|ס|ט|י|ז|א|ב|א|ל|
s|p|a|m|	ס|פ|א|ם|
h|u|l|u|s|i|	ח|ו|ל|ו|ס|י|
c|i|n|d|e:r|e|l:l|a|	ס|י|נ|ד|ר|י|ל|א|
b|a|l|a|b|a|n|	ב|א|ל|א|ב|א|ן|
g|a|l|i|m|z|y|a|n|	ג|א|ל|י|מ|ז|י|א|ן|
s|t|u|a|r|t|	ס|ט|י:ו|א|ר|ט|
m:e|n|s:h|e:v|i|k|	מ|נ|ש|ב|י|ק|
w:h|i|t:e|	ו|א:י|ט|
c|a|b|o|t|	ק|א|ב|ו|ט|
a|k:h|m|e|t|e|l|i|	א|כ|מ|י|ט|י|ל|י|
s|i|n|a|n|	ס|י|נ|א|ן|
s|i|n|a|i|	ס|א:י|נ|א|י|
k|l|a|s|n|i|c|	ק|ל|א|ס|נ|י|ט:ש|
r|i|n|a:t|	ר|י|נ|ת|
t|o|r|i|u|m|i|	ט|ו|ר|י|ו|מ|י|
m|a|t:t|i|a|s|	מ|א|ט|י|א|ס|
n|y|q:u|i:s|t|	נ|א:י|ק|ס|ט|
p|i|a|f|	פ|י|א|ף|
s|i|m|o|e:s|	ס|י|מ|ו|ז|
c|o|s|t|a|n|z|o|	ק|ו|ס|ט|א|נ|ז|ו|
l|i|p|s|t:a|d|t|	ל|י|פ|ס|ט|ד:א|ט|
a|l|e|g|r|e|	א|ל|י|ג|ר|י|
b|o|r|g|e|s|	ב|ו|ר|כ|י|ס|
d:e|m|p|s|e:y|	ד|מ|פ|ס|י|
m|a|r|i|c|	מ|א|ר|י|ק|
o|z|i|l|	א:ו|ז|י|ל|
s|o:u|l:e|y|m|a|n:e|	ס|ו|ל|י|מ|א|ן|
m|i|n|g|y:i|	מ|י|נ|ג|י|
r|o:u|a|n|i|	ר|ו|א|נ|י|
h|r|a|n|t|	ה|ר|א|נ|ט|
b|i|l:l|e:l|	ב|י|ל|ל|
c|a|m|p|o|s|	ק|א|מ|פ|ו|ס|
k|a|l:l|o|n|	ק|א|ל|ו|ן|
t|i|m|o|s:h|e|n|k|o|	ט|י|מ|ו|ש|י|נ|ק|ו|
m|a|n|u|e|l|a|	מ|א|נ|ו|א|ל|א|
u|m:m|	א:ו|ם|
k|i|w|u|s|	ק|י|ו|ו|ס|
r|a|d|u:c|i:o|i|u|	ר|א|ד|ו|ס|י|ו|
c|h:a|v|e|z|	צ:'|א|ב|י|ז|
l|a|r|y:e|a|	ל|א|ר|י|א|
t|a|i|m|	ט|א|י|ם|
h:a|i|m|	ח|י:י|ם|
d|a|r|d|e:n|n:e|	ד|א|ר|ד|י|ן|
l:e|z|i|o|n|	ל|ז|י|ו|ן|
đ|o|r|đ|e:v|i|c|	ד|ו|ר|ד:י|ב|י|ט:ש|
n|a|p|o:l|e|o|n|	נ|א|פ|ל|י|ו|ן|
b|e|e:r|n|a|e:r|t|	ב|י|ר|נ|א|ר|ט|
h:a|a|s|e|	ה|א|ס|י|
h:u|l|k|	ה|ל|ק|
n|o|h:a|i|r|	נ|ו|ה|י:י|ר|
r|o|t|s|o|n|	ר|ו|ט|ס|ו|ן|
m|i|t|n|i|c:k|	מ|י|ט|נ|י|ק|
t|a|k|a|n|o|r|i|	ט|א|ק|א|נ|ו|ר|י|
k|a|k|u|	ק|א|ק|ו|
t|a|k|a|m|o|r|i|	ט|א|ק|א|מ|ו|ר|י|
b|e|n|e|d|i|c|t|i|n:e|	ב|י|נ|י|ד|י|ק|ט|י|ן|
b|a|k|u|	ב|א|ק|ו|
r|i|p|l:e|y|	ר|י|פ|ל|י|
p|i|t|u|r|a|t|	פ|י|ט|ו|ר|א|ט|
r|i|	ר|י|
s|i|	ס|א:י|
b|a|b|a|	ב|א|ב|א|
y|a|k:o|v|	י|ע|ק|ב|
p|a|l|i|n|	פ|א|ל|י|ן|
a|n|t|o|n|i|n|o|	א|נ|ט|ו|נ|י|נ|ו|
g|u|i|d|o|	ג|ו|י|ד|ו|
m|o|r|i|n|	מ|ו|ר|י|ן|
h|i|e:l|e|	ה|י|ל|י|
k|l|a|u|s|	ק|ל|א|ו|ס|
f|e:l|d|m|a|n|	פ|ל|ד|מ|א|ן|
g|a|b|o|r|	ג|א|ב|ו|ר|
k|a|r:r|o:u|b|i|	ק|א|ר|ו|ב|י|
r|i|v|o|l|i|	ר|י|ב|ו|ל|י|
o|r|e|g|o|n|	א:ו|ר|י|ג|ו|ן|
y|o|r|k|	י|ו|ר|ק|
j|o|r|g|e|	ג:'|ו|ר|ג|'|
v|a|s|i|l|y|	ו|א|ס|י|ל|י|
s:a|d|r|a|	ס|ד|ר|א|
p|e|r|c|y|	פ|י|ר|ס|י|
n|a|v|a:r|r:e|	נ|א|ב|א|ר|
r|o|n|	ר|ו|ן|
c|o|t|y|	ק|ו|ט|י|
c|o|r|n|e|l|i|a|	ק|ו|ר|נ|י|ל|י|א|
c|i:e|s|l|a|	ס|י|ס|ל|א|
c|a|s|t|a|n|o|	ק|א|ס|ט|א|נ|ו|
b|u|d|y|a|n|s|k|i:y|	ב|ו|ד|י|א|נ|י:ס|ק|י|
c|o|r|n|e|l:l|	ק|ו|ר|נ|י|ל|
h|e|l|t|	ה|י|ל|ט|
h|a|l:l|d|o|r|	ה|א|ל|ד|ו|ר|
l|a|m|p|a|r|d|	ל|א|מ|פ|א|ר|ד|
p|u|s|k|a|s|	פ|ו|ס|ק|א|ס|
a|m|o|s|	ע|מ|ו|ס|
m|i|n|a|r|	מ|י|נ|א|ר|
z|o|c|o|	ז|ו|ק|ו|
d|o|n|a|d|o|n|i|	ד|ו|נ|א|ד|ו|נ|י|
c:h|i|d|i|a|c|	ש|י|ד|י|א|ק|
m|i|z|u|n|o|	מ|י|ז|ו|נ|ו|
b:a|r|g:h|o:u|t|i|	ב|ר|ג|ו|ת|י|
d:a|u:g|h:t|r|y|	ד|ו|ט|ר|י|
t:h|e|o|d|o|s|i|u|s|	ת|י|ו|ד|ו|ס|י|ו|ס|
m|a|n|d|r|i|v|a|	מ|א|נ|ד|ר|י|ב|א|
m|a|s|i|	מ|א|ס|י|
c|a|l|e|x|i|c|o|	ק|א|ל|י|ק:ס|י|ק|ו|
a|l|v|i|n|	א|ל|ו:ו|י|ן|
n:e|z|a|m|i|	נ|ז|א|מ|י|
l|o|c|o|	ל|ו|ק|ו|
d|a|v|i|s|	ד|י:י|ו|י|ס|
k:i|r|y|a:t|	ק|ר|י|ת|
d|j:a|l|m|a|	ג:'|א|ל|מ|א|
b|o|c|o|	ב|ו|ק|ו|
c|o|c|o|	ק|ו|ק|ו|
v|i|s:h|n|u|	ו|י|ש|נ|ו|
g|u|s|t|a|v|	ג|ו|ס|ט|א|ב|
s|t|a|c|y|	ס|ט|י:י|ס|י|
s:h|a|t:s|k|i|k:h|	ש|א|צ|ק|י|ך|
s|a|m|p|s|o|n|	ס|א|מ|פ|ס|ו|ן|
d|i|a|z|	ד|י|א|ז|
k|r|i|s:h|n|a|	ק|ר|י|ש|נ|א|
n|a|k|a|o|	נ|א|ק|א|ו|
j|o|r|i|s|	י|ו|ר|י|ס|
s|i:e|g|f|r|i:e|d|	ס|י|ג|פ|ר|י|ד|
c|h:i|b|a|	צ:'|י|ב|א|
g:h|u|l|a|m|	ג|ו|ל|א|ם|
b|u|c:h|h|o|l|z|	ב|ו|כ|ה|ו|ל|ץ|
a|r|s|	א|ר|ס|
m:a|h|d|o:u|f|i|	מ|ח|ת|ו|פ|י|
q|a|s:s|e:m|	ק|א|ס|ם|
k|i:n|a|n|	ק|נ|א|ן|
t:h|o|r|	ת|ו|ר|
s|u|b:a|i|t|	ס|ו|ב|י|ט|
f|o|d:e|	פ|ו|ד|
c|o|r|e|l:l|i|	ק|ו|ר|י|ל|י|
r|e|g|e:n|s|b:u|r|g|	ר|י|ג|נ|ס|ב|ר|ג|
b|e|a:d|l:e|	ב|י|ד|ל|
m|i|l|k|a|	מ|י|ל|ק|א|
s|t|r|e|i|s|a|n|d|	ס|ט|ר|א|י|ס|א|נ|ד|
k:h|a|s:h|o|g:g|i|	ח|א|ש|ו|ג|י|
c:h|r|i|s|t|i|a|n|	ק|ר|י|ס|ט|י|א|ן|
h|a|ß|l|e:r|	ה|א|ס|ל|ר|
s|c|a|n|d|i|n|a|v|i|a|	ס|ק|א|נ|ד|י|נ|א|ב|י|א|
v|o|l|t|e|r:r|a|	ב|ו|ל|ט|י|ר|א|
c|a|m|i|l|o|	ק|א|מ|י|ל|ו|
j|o|v|i|a|n|	ג:'|ו|ב|י|א|ן|
m|a|r|c|e|l:l|	מ|א|ר|ס|י|ל|
g|o|r|a|n|i|	ג|ו|ר|א|נ|י|
m|a|t|s:u|k|a|z|e|	מ|א|ט|ס|ק|א|ז|י|
z|a|p|a|t|e|r|o|	ז|א|פ|א|ט|י|ר|ו|
s|a|d|i|	ס|ע|ד|י|
c|r|u|z|	ק|ר|ו|ז|
r|e|v|a|z|	ר|י|ב|א|ז|
n|o|b|u|y|u|k|i|	נ|ו|ב|ו|י|ו|ק|י|
k|o|z|m|a|	ק|ו|ז|מ|א|
b:e|n|y|a:m|i|n|	ב|נ|י|מ|י|ן|
m|a|t|s|u|z|a|w|a|	מ|א|ט|ס|ו|ז|א|ו|א|
f|a|d|i|	פ|א|ד|י|
j|o|e:y|	ג:'|ו|י|
a|r|t|a|	א|ר|ט|א|
h|a|m|p|t|o|n|	ה|א|מ|פ|ט|ו|ן|
n|o|r|i|o|	נ|ו|ר|י|ו|
m|e:r|k:a|z|	מ|ר|כ|ז|
g|r|i|m|a|l|d|i|	ג|ר|י|מ|א|ל|ד|י|
f|i:s|c:h|l|e:r|	פ|י|ש|ל|ר|
r|i|f:a|a|t|	ר|י|פ|ע|ט|
q|u|m|r|a|n|	ק|ו|מ|ר|א|ן|
e|l|v|i|s|	א|ל|ב|י|ס|
a|s:h|r|a|w|i|	ע|ש|ר|א|ו|י|
b|r:e|s|l|i|n|	ב|ר|ס|ל|י|ן|
p|a|s|a|n|s|k|i|	פ|א|ס|א|נ|ס|ק|י|
t|r|o|c:h|o|w|s|k|i|	ט|ר|ו|ק|ו|ו|ס|ק|י|
m|o|s:h|a:v|	מ|ו|ש|ב|
r|o|b|r|e|d|o|	ר|ו|ב|ר|י|ד|ו|
b|r|e|t|o|n|	ב|ר|י|ט|ו|ן|
e|u|r|o|p:e|	י|ו|ר|ו|פ|
s|e|k|u|l|a|r|a|c|	ס|י|ק|ו|ל|א|ר|א|ק|
b|e|r|l|i|o|z|	ב|י|ר|ל|י|ו|ז|
k:h|i|d|i|y:a|t|u|l:l|i|n|	ח|י|ד|י|א|ט|ו|ל|י|ן|
k|u|r|t|z|	ק|ו|ר|ט|ז|
i|s|r:a|e|l|s|	א:י|ז|ר|י|ל|ז|
h|a|n|o|v|e:r|	ה|א|נ|ו|ב|ר|
k|i|t|a|n|o|	ק|י|ט|א|נ|ו|
i|s|t|v|a|n|	א:י|ס|ט|ב|א|ן|
g|a|z:z|a|n|i|g|a|	ג|א|ז|א|נ|י|ג|א|
c|l|a|u|s|	ק|ל|א|ו|ס|
s|o|f|i|a|	ס|ו|פ|י|א|
r|o|s:s|i|	ר|ו|ס|י|
r|i|c|i|n|	ר|י|ס|י|ן|
d|o:w|n|i|n|g|	ד:א|ו|נ|י|נ|ג|
b|a|n:n|a|t|y|n:e|	ב|א|נ|א|ט|י|ן|
l|o|v:e|	ל|ו|ב|
b|o|c|a|	ב|ו|ק|א|
c|o|r:r|e|a|	ק|ו|ר|י|א|
d|o|r|i|n|	ד|ו|ר|י|ן|
h:a|l|i|l|	ה|ל|י|ל|
m|a|t|s|u|k|a|t|a|	מ|א|ט|ס|ו|ק|א|ט|א|
c|u|r|z|o|n|	ק|ו|ר|ז|ו|ן|
s|a|n|d|o|r|	ס|א|נ|ד|ו|ר|
k|e|m|p|f:f|	ק|י|מ|פ|ף|
d|o|r|i|s|	ד|ו|ר|י|ס|
t|i|r|a|s|p|o|l|	ט|י|ר|א|ס|פ|ו|ל|
l|e|b|e:r|t|	ל|י|ב|ר|ט|
p|e|r|u|s|i|c|	פ|י|ר|ו|ס|י|ט:ש|
a|t|e:f|	ע:א|ט|ף|
b|e|r|o|s:s|u|s|	ב|י|ר|ו|ס|ו|ס|
l|a|n|s|a|n|a|	ל|א|נ|ס|א|נ|א|
k:h|a:l|d|u|n|	ח|ל|ד|ו|ן|
s|t|e|p:h|a|n|o|p|o:u|l|o|s|	ס|ט|י|פ|א|נ|ו|פ|ו|ל|ו|ס|
h|a|m|i|l|t|o|n|	ה|א|מ|י|ל|ט|ו|ן|
c|o|r|i|a|	ק|ו|ר|י|א|
s:a|n|u|	ס|נ|ו:ע|
f|l|a|m|i|o|n|	פ|ל|א|מ|י|ו|ן|
c|o|r|i|n|	ק|ו|ר|י|ן|
d|o|m|e|n|i|c|o|	ד|ו|מ|י|נ|י|ק|ו|
k|r|i|s|t|i|n|	ק|ר|י|ס|ט|י|ן|
m|a|n|u|	מ|א|נ|ו|
j|a|c|i|n|t|o|	ג:'|א|ס|י|נ|ט|ו|
i|r|a|n|	א:י|ר|א|ן|
b:a|t|r|o:u|n|	ב|ט|ר|ו|ן|
t:h|u|c|y|d|i|d|e|s|	ת|ו|ק|י|ד|י|ד|י|ז|
l|e|s|l|i:e|	ל|י|ס|ל|י|
g|o:e|t:h|a|l|s|	ג|ו|ת|א|ל|ס|
c:h|y|n:n|a|	ש|י|נ|א|
f|r|a|n|	פ|ר|א|ן|
m|o|s|a|b|	מ|ו|ס|ע|ב|
d|i|m|o|s:c|h:a|k|i|	ד|י|מ|ו|ש|א|ק|י|
l|y|o:n|n:a|i:s|	ל|י|ו|נ|ה|
m|o|b|l:e|y|	מ|ו|ב|ל|י|
e|h|u|d|	א|ה|ו|ד|
n|a|g|a|l|a|n|d|	נ|א|ג|א|ל|א|נ|ד|
b|l|a|z|e|k|	ב|ל|א|ז|י|ק|
b|o|r|i|s|	ב|ו|ר|י|ס|
p|o|r|t|l|a|n|d|	פ|ו|ר|ט|ל|א|נ|ד|
n:i|g:h|y|	נ|א|י|
m|u|r|a|y|a|m|a|	מ|ו|ר|א|י|א|מ|א|
n|i|k|o|l|a|i|	נ|י|ק|ו|ל|א|י|
t|i|t|a|n|o|	ט|י|ט|א|נ|ו|
k|a|b|i|l|a|	ק|א|ב|י|ל|א|
e|r|i|t|r|e|a|	א|ר|י|ט|ר|י|א|
l|o:u|i|s|	ל|ו|י|ס|
l|a|z|a|r|u|s|	ל|א|ז|א|ר|ו|ס|
p:e|t|r|u|s|	פ|ט|ר|ו|ס|
s|a|n|t|a|m|a|r|i|n|a|	ס|א|נ|ט|א|מ|א|ר|י|נ|א|
a|r|a|n|a|	א|ר|א|נ|א|
s:h|e:r|l|o|c:k|	ש|ר|ל|ו|ק|
b|o|l:l|e|t:t|i|e|r|i|	ב|ו|ל|י|ט|י|י|ר|י|
t|a|u|n|o|	ט|א|ו|נ|ו|
n|e|o|t|	נ|י|ו|ת|
m|a|r|l|e|n:e|	מ|א|ר|ל|י|ן|
y|u|n|l|o|n|g|	י|ו|נ|ל|ו|נ|ג|
h|e|r|u|t|	ח|י|ר|ו|ת|
y|o|‘:l|d|o|s:h|	י|ו|ל|ד|ו|ש|
f|i|d:e|l|	פ|י|ד|ל|
p:e|t|r|o|s|	פ|ט|ר|ו|ס|
t:h|o|n|g|l|a|o|	ת|ו|נ|ג|ל|א|ו|
z|a|m|f|i|r|	ז|א|מ|פ|י|ר|
k|o:u|i|s|	ק|ו|י|ס|
l:a|v|i|	ל|ב:י|א|
b|o|s:s|i|s|	ב|ו|ס|י|ס|
j|e|n|a|s|	ג:'|י|נ|א|ס|
p|a|i:n|t:s|i|l|	פ|י:י|נ|צ|י|ל|
i|g|a|r|a|s:h|i|	א:י|ג|א|ר|א|ש|י|
b|a|b|a|y|a|r|o|	ב|א|ב|א|י|א|ר|ו|
m|o|r|a|n|d|i|	מ|ו|ר|א|נ|ד|י|
c|r|o|a|t:i|a|	ק|ר|ו|י:י|ש|ה|
m:a|u|r|i|a|c|	מ|ו|ר|י|א|ק|
p|o|l:a|n|d|	פ|ו|ל|נ|ד|
