G|i|b|r|a|l|t|á|r:i|	G|i|b|r|a|l|t|a|r|
k|o|r|o|n|a|v|í|r|u|s|	c|o|r|o|n|a|v|i|r|u|s|
L|e:i|g|h|	L|e|g|h|
M|ú|z|e|u|m|	M|u|s|e|u|m|
A|n|d|r|o|s|z:t|h|e|n|é|s:z|	A|n|d|r|o|s|t|h|e|n|e|s|
N|o|r|k|a|r|á|n|	N|o|r|c|a|r|a|n:e|
D|ű|n|e|	D|u|n|e|
P|e|n|t|o|x|i|f|i|l|l|i|n|	P|e|n|t|o|x|i|f|y|l|l|i|n:e|
B|r|ă|i|l|a:i|	B|r|ă|i|l|a|
I|r|u|k|a|n|d|z:s|i|	I|r|u|k|a|n|d|j|i|
K|o|t|i|k|	K|o|t|y|k|
l|o|n|g|i|t|u|d|i|n|a:l|i:s|	l|o|n|g|i|t|u|d|i|n|a|l|
B|a|k|ó|	B|a|k|o|
V|u|k|o|v|á|r:i|	V|u|k|o|v|a|r|
A|m|é|l|	A|m|e|l|
T|r|i|n|i|t|r|o|t|o|l|u|o|l|	T|r|i|n|i|t|r|o|t|o|l|u|e|n:e|
H|i|l|l|é|l|	H|i|l|l|e|l|
E|p|i|d|o|t|	E|p|i|d|o|t:e|
A|e|r|o|n|a|u|t|i|c|a|	A|e|r|o|n|á|u|t|i|c|a|
C|h|r|i|s|t|i|e|	C|h|r|i|s|t|i:e|':s|
l|a|t|i|n|	L|a|t|i|n:o|
P|e|d|o|f|í|l|i|a|	P|e|d|o|p:h|i|l|i|a|
S|i|k|l|ó|s:i|	S|i|k|l|ó|s|
V|i|t|a|l|	V|i|t|a|l:e|
V|i|t|a|l|	V|i|t|a|l:i|
A|b|e|r|y|s|t|w|y|t|h:i|	A|b|e|r|y|s|t|w|y|t|h|
U|n|i|ó|	U|n|i|o|
E|n|n|a|f:f|a|t|i|	E|n|n|a|f|a|t:t|i|
M|a|l|a|b|á|r|	M|a|l|a|b|a|r|
Ó|e|n|d|a|n|	O:u|e|n|d|a|n|
K|a|t|h|a|r|é|v|u|s:z|a|	K|a|t|h|a|r|e|v|o:u|s|a|
S|z|é|k|e|l|y|e:k|	S|z|é|k|e|l|y|s|
F|r|e|s|k|ó|	F|r|e|s|c|o|
A|t|l|a|n|t|i|s:z|	A|t|l|a|n|t|i|s|
L|o|ï|e|	L|o|i|e|
K|a|t|a|r|i|	Q|a|t|a|r|i|
K|e|n|g|	K:a|e|n|g|
H|é|n|a|o|	H|e|n|a|o|
B|o|h|u|n|i|c|e:i|	B|o|h|u|n|i|c|e|
E|r|z|u|r|u|m:i|	E|r|z|u|r|u|m|
K|a|r|l|i|s|	K|ā|r|l|i|s|
M|a|r|i|a|n|n|a|	M|a|r|i|a|n|n|e|
D|a|i|d|o|	D|a|i|d|ō|
T|à|i|	T|a|i|
T|î|r|g|u|	T|â|r|g|u|
H|ř|i|m|ě|ž|d|i|c|e|	H|ř|í|m|ě|ž|d|i|c|e|
J|a|y|a|w|a|r|d|e|n|a|p|u|r|a|	J|a|y|a|w|a|r|d|e|n|e|p|u|r|a|
P|r|o|m|é|t|h|e|u|s:z|	P|r|o|m|e|t|h|e|u|s|
B|u|s|i|n|e|s|s:…|	B|u|s|i|n|e|s|s|
F|e|l|d|m|a|n:n|	F|e|l|d|m|a|n|
K|a|n|a|k|	K|o|n|a|k|
L|i|n|e:a|	l|i|n|e|
U|g|a|n|d:a|i|	U|g|a|n|d|a:n|
F|e|e|l|i|n|g|	F|e|e|l|i|n|g:?|
N|o|n|á|n|	N|o|n|a|n:e|
V|o|l|g|o|g|r|á|d|	V|o|l|g|o|g|r|a|d|
R|o|m|a|n|i|z|á|c|i|ó|	R|o|m|a|n|i|z|a|t|i|o:n|
K|i|l|i|m|a|n:d|z:s|á|r|ó|	K|i|l|i|m|a|n|j|a|r|o|
b|e|l|s|e|n:i|	B|e|l|s|e|n|
N|o|r|e|i|a:i|	N|o|r|e|i|a|
B|a|b|y|r|o:u|s|a|	b|a|b|i|r|u|s|a|
P|a|r|a|n:y|g|a|	P|a|r|a|n|g|a|
B|l|a|s|i|u|s|	B|l|a|s|i|u:s|':s|
T|r|i|k|l|o|z|á|n|	T|r|i|c|l|o|s|a|n|
H|a:e|m|a|g|g|l|u|t|i|n|i|n|	H|e|m|a|g|g|l|u|t|i|n|i|n|
T|r|a|u|m|a|t|o|l|ó|g|i:a|	T|r|a|u|m|a|t|o|l|o|g|y|
K|a|u|n|d|i|n|j|a|	K|a|u|n|d|i|n|y|a|
s|p|á|n|i|e|l|	S|p|a|n|i|e|l|
M|o|r|a|v|e|c|	M|o|r|a|v|e:c|':s|
i|n|t|e|r|p|o|l|á|c|i|ó|	i|n|t|e|r|p|o|l|a|t|i|o:n|
W|e|s|t|m|i|n|s|t|e|r:i|	W|e|s|t|m|i|n|s|t|e|r|
A|l|u|m|í|n|i|u|m|	A|l|u|m|i|n|i|u|m|
t|h|y|r|o|h|y|o:i|d:e|u:s|	t|h|y|r|o|h|y|o|i|d|
I|m|m|u|n|i|t|á:s|	I|m|m|u|n|i|t|y|
I|n|t|e|r|l|i|n|g|v|i|s|z:t|i|k|a|	I|n|t|e|r|l|i|n|g|u|i|s|t|i|c|s|
M|u|m|p|s:z|	M|u|m|p|s|
D|e|p|r|e|s|s:z|i|ó|	D|e|p|r|e|s|s|i|o:n|
G|e|r|t|r|ú|d|	G|e|r|t|r|u|d|
R|h|y|n|c|h|o|s|a|u:r|i:a|	R|h|y|n|c|h|o|s|a|u|r|
J|o|r|d|á|n|i|a|	J|o|r|d|a|n|i|a:n|
G|e|l|d|e|r|l|a|n|d:i|	G|e|l|d|e|r|l|a|n|d|
P|e|t|r|o|l|á:t|u|m|	P|e|t|r|o|l|e|u|m|
K|ó|b|e:i|	K|o|b|e|
K|á|r|u|m|	K|a|r|u|m|
f|o|o|t|b|a|l|l|e:u|r|s|	F|o|o|t|b|a|l|l|e|r|s|
p|a|l|l|i|d:a|	P|a|l|l|i|d|
N|':K|o|u|l|o|u|	N|k|o|u|l|o|u|
M|a|k|e|d|o|n|s|z:k|a|	M|a|k|e|d|o|n|s|k|a|
S|c|h|o|m|b|u|r|g|k|	S|c|h|o|m|b|u|r|g:k|':s|
R|e|g|i|ó|n|	R|e|g|i|o|n|
D|e|z|m|o|p|r|e|s|s:z|i|n|	D|e|s|m|o|p|r|e|s|s|i|n|
H|a|l|l|s|t|a|t|t:i|	H|a|l|l|s|t|a|t|t|
B|o|r|s|a|	B|o|r|ș|a|
K|í|t|h|i|r|a|	K|y|t|h|i|r|a|
P|e|r|l|i|t|	P|e|r|l|i|t:e|
K|o|b|a|n|î:i|	K|o|b|a|n|î|
S|i|m|p|s|o|n|	S|i|m|p|s|o:n|':s|
R|h|u|d|d|l|a|n:i|	R|h|u|d|d|l|a|n|
A|n|i|z|i|d|i|n|	A|n|i|s|i|d|i|n:e|
J|u|s|t|i|n|i|a:n|u:s|	J|u|s|t|i|n|i|a|n|
S|t|i|k|l|e|s|t|a|d:i|	S|t|i|k|l|e|s|t|a|d|
p|r|o|f|e|s|s:z|o|r|	p|r|o|f|e|s|s|o|r|
J|o|r|d|á|n|	J|o|r|d|a|n|
a|l|v|e|o|l|a:r|e:s|	A|l|v|e|o|l|a|r|
H|a|k|k|ó|d|a|	H|a|k|k|ō|d|a|
K|i|r|i|á|k|o|s:z|	K|y|r|i|a|k|o|s|
M|a|h|á|v|a|s|z:t|u|	M|a|h|ā|v|a|s|t|u|
P|o|r|c|e|l|á|n|	P|o|r|c|e|l|a:i|n|
A|b|b|é|	A|b|b|e|
B|i|g|u|a|n|i|d|	B|i|g|u|a|n|i|d:e|
T|a|b|a:a|l|	T|a|b|a|l|
m|á|r|k|a|	m|a|r|k:k|a|
I|r|b|e|z|a|r|t|á|n|	I|r|b|e|s|a|r|t|a|n|
G|í|l|á|n|i|	G|i|l:l|a|n|i|
A|r|e|t|h|a|s:z|	A|r|e|t|h|a|s|
H|e|n|r|y|	H|e|n|r|i|
c|e|l|l:a|	c|e|l|l|
d|é|m|o|n|	d|e|m|o|n|
T|a|r|f|	T|a|r:e|f|
L|´|I|m|a|m|	L|'|I|m|a|m|
E|p|h|e|s|u|s:i|	E|p|h|e|s|u|s|
G|o|l|á|m|	G:h|o|l|a|m|
G|a|r|c|í|a|	G|a|r|c|i|a|
r|e|f|o|r|m|á|c|i|ó|	R|e|f|o|r|m|a|t|i|o:n|
M|e|l|k|i|t|a|	M|e|l|k|i|t|e|
N|a|g|y|s|z|e|n|t|m|i|k|l|ó|s:i|	N|a|g|y|s|z|e|n|t|m|i|k|l|ó|s|
Z|i|m|b|a|b|w|e|i|	Z|i|m|b|a|b|w|e|a:n|
p|a|r|a|z|i|t|ó|z|i|s|	p|a|r|a|s|i|t|o|s|i|s|
t|r|i|f|l|u|o|r|e|t|á|n|	T|r|i|f|l|u|o|r:o|e|t:h|a|n:e|
A|d|ó|n|i|a|	A|d|o|n|i|a|
O|p|h|i|k|l|e|i|d|	O|p|h|i|c|l|e|i|d:e|
N|ö|t|e|b|o|r|g:i|	N|ö|t|e|b|o|r|g|
e|x|p|o|n|e|n|c|i|á:l|i:s|	e|x|p|o|n|e|n|t|i|a|l|
P|u|l|g|a|s:z|a|r|i|	P|u|l|g|a|s|a|r|i|
S|z|e|g|e|d:i|	S|z|e|g|e|d|
M|a|p|p|í|k|	M|a|p|p|i|q|
B|a|n|k:a|	B|a|n|k|
E|r|i|k|s:s|o|n|	E|r|i|k|s|o|n|
E|m|á|n|u|e|l|	E|m|a|n|u|e|l|
P|a|k|s:i|	P|a|k|s|
T|r|a|v|e|r|t|í|n|ó|	T|r|a|v|e|r|t|i|n|e|
t|o|r|t|a|	t|o|r|t|e|
O|p|o|l|e:i|	O|p|o|l|e|
G|o|p|e|s|	G|o|p|e|š|
P|o|e|n:n|i|n|a|e|	P|o|e|n|i|n|a|e|
R|o|d|r|í|g|u|e|z|	R|o|d|r|i|g|u|e|z|
M|e|t|r|o|p|o|l|i|s:z|	M|e|t|r|o|p|o|l|i|s|
q|e|l|e|	Q|é|l|é|
B|e|n|i|s|u|e|r|a|	B|e|n|i|s:s|u|e|r|a|
B|u|m|e|r|á|n|g|	B|o:o|m|e|r|a|n|g|
N|e|i|d|e|r|m|e|y|e|r|'|s|	N|e|i|d|e|r|m|a|y|e|r|'|s|
M|u|r|á|d|á|b|á|d|	M|o|r|a|d|a|b|a|d|
N|ú|b|á|r|	N|u|b|a|r|
J|a|r|t|e:i|	J|a|r|t|e|
B|a|l|a|k|l|a|v|a:i|	B|a|l|a|k|l|a|v|a|
M|e|l|a|n|i|p|p|i|d|é|s:z|	M|e|l|a|n|i|p|p|i|d|e|s|
K|e|m|e|n|e|c|	K|a|m|e|n|e|c|
K|u|t|u|z|	Q|u|t|u|z|
R|á|d|h|á|n|i|t|a|	R|a|d|h|a|n|i|t|e|
p|o|m|e|r|á|n|i|a|i|	P|o|m|e|r|a|n|i|a|n|
I|l|i|ú|p|o|l|i|	I|l|i|o:u|p|o|l|i|
G|é|r|a|r|d|	G|i|r|a|r|d|
B|a|r|e|n|t|s|	B|a|r|e|n|t|s:z|
M|o|r|á|d|i|	M|o|r|a|d|i|
A|n|d|r|é|a|s:z|	A|n|d|r|e|a|s|
C|a|s|c|i|a:i|	C|a|s|c|i|a|
R|i|c|h|á|r|d|	R|i|c|h|a|r|d|
B|a|r|c|e|l|o|n|a:i|	B|a|r|c|e|l|o|n|a|
Á|l|a|m|	A|l|a|m|
P|a|n|a|m|a|	P|a|n|a|m|á|
S|p|i|r|i|d:i|o|n|	S|p|i|r|i|d|o|n|
T|u|r|i|n|a|	T|u:h|r|i|n|a|
E|p|i|g|e|n|e|t|i|k|a|	E|p|i|g|e|n|e|t|i|c|s|
B|a|t|t|ú|t|a|	B|a|t|t|u|t|a|
A|n|t|o|n|i|n|u:s|	A|n|t|o|n|i|n|e|
A|b|á|k|á|	A|b|a|q|a|
T|o|n|g|a|m|	D|o|n|g|a|m|
c|é|r|i|u|m|	c|e|r|i|u|m|
D|i|p|h|i|l|o:s|z|	D|i|p|h|i|l|u|s|
T|o|m|b|o|l|ó|	T|o|m|b|o|l|o|
T|u|n|h|u|a|n|g|	D|u|n|h|u|a|n|g|
G|r|i|s|e|l|d|i:s|	G|r|i|s|e|l|d|a|
L|i|p|o|v|á|	L|i|p|o|v|a|
A|p|o|l|l|ó|n|i|a:i|	A|p|o|l|l|o|n|i|a|
V|a|l|e|n|c|é|n|	V|a|l|e|n|c|e|n:e|
D|o|b|e|r|d|ó:i|	D|o|b|e|r|d|ò|
A|r|c|h|i|m|a|n|d|r|i|t|a|	A|r|c|h|i|m|a|n|d|r|i|t|e|
M|o|n|t|e|b|e|l|l|ó:i|	M|o|n|t|e|b|e|l|l|o|
A|v|a|t|á|r|	A|v|a|t|a|r|
t|a|u|t|o|l|ó|g|i:a|	T|a|u|t|o|l|o|g|y|
M|ä|l|z|e|l|	M|a:e|l|z|e|l|
K|o|b|i|c|i|s|z:t|á|t|	C|o|b|i|c|i|s|t|a|t|
M|é|x|i|c|o|	M|e|x|i|c|o|
R|a|k|o|v|n|í|k:i|	R|a|k|o|v|n|í|k|
o|k|t|é|n|	O|c|t|e|n|
T|a|i|h|ó|	T|a|i|h|ō|
B|u|d|a|p|e|s|t|	B|u|d|a|p|e|s:t|\:"|
C|a|m|p|e|r|d|o|w|n:i|	C|a|m|p|e|r|d|o|w|n|
M|e|l|e|n|c|e|	M|e|l|e|n|c|i|
B|o|d|i|a|m:i|	B|o|d|i|a|m|
Á|b|ú|	A|b|u|
E|p|o|c|h:a|	E|p|o|c|h|
T|u|r|b|i|n|a|	T|u|r|b|i|n|e|
Ó|n|o|	O|n|o|
V|a|n|a|d|i|n|i|t|	V|a|n|a|d|i|n|i|t:e|
T|i|m|o|r:i|	T|i|m|o|r|
m|a|n|d|r|a|g|ó|r|a|	M|a|n|d|r|a|g|o|r|a|
G|e|r|u|n|d|i|v|u:m|	G|e|r|u|n|d|i|v|e|
M|ü|r|i|o|k|e|p|h|a|l|o|n:i|	M|y|r|i|o|k|e|p|h|a|l|o|n|
F|e|l|i|c|i|t|à|	F|e|l|i|c|i|t|a|
T|e|l|o|m|e|r|á|z|	T|e|l|o|m|e|r|a|s:e|
V|l|a|d|i|m|i|r|	V|l|a|d|i|m|í|r|
A|l|e|x|i|o|s:z|	A|l|e|x|i|o|s|
p|e|n|t|o|x|i|d|	p|e|n|t|o|x|i|d:e|
E|z|é|k|i|e|l|	E|z|e|k|i|e|l|
K|o|n|d|r|o|i|t|i|n|	C:h|o|n|d|r|o|i|t|i|n|
M|á|t|h|é|	M|a|t|h|e|
M|j|ö|l|n|i|r|	M|j|ø|l|n|i|r|
D|u|b|e|r|t|o|	D|u|b|e|r|t|y|
l|a|t|e|r|a:l|i:s|	L|a|t|e|r|a|l|
R|e|g|u|l|á:r|i:s|	R|e|g|u|l|a|r|
P|r|i|m|i|t|í|v|	P|r|i|m|i|t|i|v:e|
H|i|s|t|ó|r|i|a|	H|i|s|t|o|r|i|a|
H|i|p|p|ó:i|	H|i|p|p|o|
H|o|k|k|a|i|d|ó|	H|o|k|k|a|i|d|o|
Z|a|r|l|a|g|a|b|	S|a|r|l|a|g|a|b|
B|ă|i|l|e|ș|t|i|	B|ă|i|l|e|ş|t|i|
F|r|a|n|k|f|u|r|t:i|	F|r|a|n|k|f|u|r|t|
C|z|a|k|ó|	C|z|a|k|o|
K|r|a|m|p|u|s:z|	K|r|a|m|p|u|s|
E|m|á|n|u|e|l|	E|m|a|n|u|e|l:e|
A|n|d|r|e|	A|n|d|r|é|
t|r|u|p|i|á|l|	t|r|o:u|p|i|a|l|
P|a|p|í|r|	P|a|p|e|r|
M|a|c|L|a|u|r|i|n|	M|a|c|l|a|u|r|i:n|':s|
L|e|o|b|e|r|s|d|o|r|f:i|	L|e|o|b|e|r|s|d|o|r|f|
S|z|é|c|h|é|n|y|i|	S|z|é|c|h|e|n|y|i|
S|á|n|d|o|r|	S|a|n|d|o|r|
A|k|i|t|a:i|	A|k|i|t|a|
Å|l|a|n|d:i|	Å|l|a|n|d|
T|o|r|d|e|s|i|l|l|a|s:i|	T|o|r|d|e|s|i|l|l|a|s|
B|a|r|b|i|z|o|n:i|	B|a|r|b|i|z|o|n|
A|u|t|o|p|r|o|t|o|l|í|z|i|s|	A|u|t|o|p|r|o|t|o|l|y|s|i|s|
o|x|e|t|a|n|o|n|	O|x|e|t|a|n|o|n:e|
B|a|r|a|b|i|n|s|z:k|i|	B|a|r|a|b|i|n|s|k|y|
I|a|l|o|m|i|ţ|a|	I|a|l|o|m|i|ț|e:i|
L|i|t|v|a|	L|i|t|a:v|a|
A|l|d|o|h|e|x|ó|z|	A|l|d|o|h|e|x|o|s:e|
M|a|r|t|i|n|i|c|	M|a|r|t|i|n|i|c:e|
a|n|t|e|r|i|o|r:a|	A|n|t|e|r|i|o|r|
A|n|t|i|f|e|m|i|n|i|z:m|u:s|	A|n|t|i|f|e|m|i|n|i|s|m|
p|á|t|r|i|á|r|k|a|	p|a|t|r|i|a|r|c|h|
M|e|k|l|o|f|e|n|o|x|á|t|	M|e|c|l|o|f|e|n|o|x|a|t:e|
P|e|r|m|a|k|u|l|t|ú|r|a|	P|e|r|m|a|c|u|l|t|u|r|e|
r|á|d|i|u|m|	r|a|d|i|u|m|
K|i|m|b|e|r|l|i|t|	K|i|m|b|e|r|l|i|t:e|
M|e|g|a|b|a|t|é|s:z|	M|e|g|a|b|a|t|e|s|
W|a|s|h|i|n|g|t|o|n|	W|a|s|h|i|n|g|t|o:n|i:a|
B|ó|r|a|	B|o|r|a|
A|v|i|g|n|o|n:i|	A|v|i|g|n|o|n|
P|o|p|l|á|k|a|	P|o|p|l|a|c|a|
Ó|m|u|r|a|	O|m|u|r|a|
L|a|m|o|t|r|i|g|i|n|	L|a|m|o|t|r|i|g|i|n:e|
A|l|e|k|s:z|a|n|d|a|r|	A|l|e|k|s|a|n|d|a|r|
P|e|t|r|ú|p|o|l|i|	P|e|t|r|o:u|p|o|l|i|
C|h|i|c|h|é|n|	C|h|i|c|h|e|n|
D|e|b|r|e|c|e|n:i|	D|e|b|r|e|c|e|n|
j|u|g|u|l|a:r|i:s|	J|u|g|u|l|a|r|
H|ó|	H|ō|
K|a|r|í|m|	K|a|r|i|m|
L|i|m|á|n|	L|i|m|a|n|
K|r|i|v|á|n|y|	K|r|i|v|a|n|y|
T|u|p|a|c|	T|ú|p|a|c|
I|n|g|a|e|v|o|n|o:k|	I|n|g|a|e|v|o|n:e|s|
S|t|a|n|f|o|r|d:i|	S|t|a|n|f|o|r|d|
B|o|t|o|s|	B|o|t|o|š|
M|a|t|é|	m|a|t|e|
C|e|l|a|l|	C|e|l|â|l|
p|r|o|g|r|e|s|s:z|í|v|	p|r|o|g|r|e|s|s|i|v:e|
K|á|d|á|r|	K|a|d|a|r|
M|o|n|o|w|i|t|z:i|	M|o|n|o|w|i|t|z|
H|e|n|u|t|m|i|r|é|	H|e|n|u|t|m|i|r|e|
N|á|n|d|o|r|	N|a|n|d|o|r|
o|n|t|o|l|ó|g|i|a|i|	o|n|t|o|l|o|g|i:c|a|l|
a|m|p|u|l|l|á:k|	A|m|p|u|l|l:a|e|
L|i|p|o|v|á|n|o:k|	L|i|p|o|v|a|n|s|
S|p|i|r|i|t|u|a|l|i|z:m|u:s|	S|p|i|r|i|t|u|a|l|i|s|m|
A|r|é|n|a|	A|r|e|n|a|
O|a|x|a|c|a:i|	O|a|x|a|c|a|
A|l|t|a|m|u|r|a:i|	A|l|t|a|m|u|r|a|
J|ú|l|i|u|s|z|	J|u|l|i|u|s|z|
i|n|t|e|r|c|o|s|t|a:l|i:s|	i|n|t|e|r|c|o|s|t|a|l|
S|t|ó|l|a|	S|t|o|l|e|
L|á|z|á|r|	L|a|z|a|r|
B|r|i|g|h|t|o|n:i|	B|r|i|g|h|t|o|n|
R|e|f|ú|g|i|u|m|	R|e|f|u|g|i|u|m|
E|r|g|o|n|ó|m|i|a|	e|r|g|o|n|o|m|i|c:s|
B|e|n|z|a|l|d|e|h|i|d|	B|e|n|z|a|l|d|e|h|y|d:e|
B|i|h|a|r|	B|i|h|o|r|
R|o|b|i|n|z|o|n|á|d|	R|o|b|i|n|s|o|n|a|d:e|
T|h|e|r|m|o|p|ü|l|a|i|	T|h|e|r|m|o|p|y|l|a|e|
L|o|k|o|m|o|t:y|i|v|	L|o|k|o|m|o|t|i|v|
A|b|d|u|l|l|á|h|	A|b|d|u|l|l|a|h|
K|a|r|b|o|n|	C|a|r|b|o|n|
F|a|r|i|d|á|b|á|d|	F|a|r|i|d|a|b|a|d|
L|e|s|t|i|n|	L|e|š|t|i|n:y|
B|o|s|o|r|ó|d|	B|o|ş|o|r|o|d|
A|m|a|l|g|á|m|	A|m|a|l|g|a|m|
m|a|g|e|l|l|a|n|i:c|u:s|	M|a|g|e|l|l|a|n|i|c|
A|n|o|m|á|l|i|s|	A|n|o|m|a|l|o:u|s|
G|l|á|d|	G|l|a|d|
B|o|d|h|i|p|a|t|h|a|p|r|a|d|í|p|a|	B|o|d|h|i|p|a|t|h|a|p|r|a|d|ī|p|a|
K|a|e|m|p|f|e|r|	K|a|e|m|p|f|e:r|':s|
U|m|b|e|r|t|ó|	U|m|b|e|r|t|o|
K|o|m|n|é|n|o|s:z|	K|o|m|n|e|n|o|s|
A|l|é|x|a|n|d|r|o|s:z|	A|l|e|x|a|n|d|r|o|s|
K|a|m|b|a|r|k|a:i|	K|a|m|b|a|r|k|a|
B|r|a|z|í|l|i|a|i|	B|r|a|z|i|l|i|a|n:s|
P|a|r|a|d|o:x|o:n|	P|a|r|a|d|o|x|
K|r|á|s|n|á|	K|r|a|s|n|a|
h|e|x|a|s:z|u|l|f|i|d|	h|e|x|a|s|u|l|f|i|d:e|
A|k|a|b|a|	A|q|a|b|a|
F|o|r|t|ú|n|i|s:z|	F|o|r|t|o:u|n|i|s|
p|i|r|r|o|l|i|n|	p|y|r|r|o|l|i|n:e|
L|o|n|d|o|n:i|	L|o|n|d|o|n|
M|o|y|z|e|s|	M|o|y|s|e|s|
M|e|b|a|z|a|	M|e|b|a|z:a|a|
T|r|é|t|a|	T|r|e|t|a|
C|o|n|s|t|a|n|c|i|a|	C|o|n|s|t|à|n|c|i|a|
K|a|z|v|i|n|	Q|a|z|v|i|n|
N|i|n|k|ó|	N|i|n|k|ō|
P|o|k|a|h|o|n|t|a|s:z|	P|o|c|a|h|o|n|t|a|s|
G|e|r|m|á|n|	G|e|r|m|a|n|
B|o|s|t|o|n:i|	B|o|s|t|o|n|
b|e|k|a|r|d|	b|e|c|a|r|d|
B|u|l|l|m|a|s|z:t|i|f|f|	B|u|l|l|m|a|s|t|i|f|f|
K|e|n|y|a:i|	K|e|n|y|a|
E|l|d|á|d|	E|l|d|a|d|
K|w|a|j|a|l|e|i|n:i|	K|w|a|j|a|l|e|i|n|
F|e|n|d|i|l|i|n|	F|e|n|d|i|l|i|n:e|
S|z|i|l|v|á|s|y|	S|z|i|l|v|á|s|i|
K|a|r|s|–|T|b|i|l|i|s:z|i|–|B|a|k|ı|	K|a|r|s|–|T|b|i|l|i|s|i|–|B|a|k|u|
C|a|n|n|a|e:i|	C|a|n|n|a|e|
k|a|g|y|ü|	K|a|g|y|u|
T|o|b|o|g|á|n|	T|o|b|o|g:g|a|n|
C|l|è|v|e|s|	C|l|e|v|e|s|
B|e|n|e|š|o|v:i|	B|e|n|e|š|o|v|
Ó|t|a|b|u|m|i|	Ō|t|a|b|u|m|i|
F|i|t|n|e|s|z|	F|i|t|n|e|s|s|
T|a|k|e|n|o|k|o|s|i|	T|a|k|e|n|o|k|o|s:h|i|
A|n|d|a|m|á|n:i|	A|n|d|a|m|a|n|
j|o|r|d|á|n|i|a|i|	J|o|r|d|a|n|i|a|n|
K|ó|k|a|	K|o|k|a|
N|o|v|o|r|o|s|s:z|i|j|a|	N|o|v|o|r|o|s|s|i|y|a|
H|e|x|o|b|a|r|b|i|t|á|l|	H|e|x|o|b|a|r|b|i|t|a|l|
I|m|a|z|	Í|m|a|z|
M|a|u|d|g|a|l|j|á|j|a|n|a|	M|a|u|d|g|a|l|y|a|y|a|n|a|
G|r|a|n|i|s:z|e|t|r|o|n|	G|r|a|n|i|s|e|t|r|o|n|
P|a|n|c|e|y|	P|a|n|s|e|y|
M|a|n:y|s|i|	M|a|n|s|i|
m|a|n|d|i|b:u|l|a:e|	m|a|n|d|i|b|l|e|
A|m|i|n|o|g|l|u|t|e|t|i|m|i|d|	A|m|i|n|o|g|l|u|t|e|t:h|i|m|i|d:e|
Y|u|c|a|t|á|n:i|	Y|u|c|a|t|a|n|
I|n|d|o|n|é|z|i|a|	I|n|d|o|n|e|s|i|a|
H|e|l|l|ó|	H|e|l|l|o|
B|r|ú|n|ó|	B|r|u|n|o|
d|i|n|i|t|r|i|d|	d|i|n|i|t|r|i|d:e|
I|n|c|i|d|e|n|t|?|”|	I|n|c|i|d|e|n|t|?|\:"|
N|a|t|a|m|i|c|i|n|	N|a|t|a|m|y|c|i|n|
N|e|o|g|é|n|	N|e|o|g|e|n:e|
A|m|i|l|o|r|i|d|	A|m|i|l|o|r|i|d:e|
F|r|i|e|d|r|e|i|c|h|	F|r|i|e|d|r|e|i|c:h|':s|
W|h|i|t|e|c|h|a|p|e|l:i|	W|h|i|t|e|c|h|a|p|e|l|
D|e|a|n:i|	D|e|a|n|
P|r|a|e|n|e|s|t|e:i|	P|r|a|e|n|e|s|t|e|
T|a|r|c|a|l:i|	T|a|r|c|a|l|
G|o|i|â|n|i|a:i|	G|o|i|â|n|i|a|
M|e|m|p|h|i|s:z|	M|e|m|p|h|i|s|
S|a|l|v|a|d|o|r:i|	S|a|l|v|a|d|o|r|
M|a|m|l|ú|k|	M|a|m|l|u|k|
I|v|a|n|	I|v|á|n|
M|a|r|c|e|l|l|	M|a|r|c|e|l|l:o|
T|o|n|g|h|a|k|	D|o|n|g|h|a|k|
G|ó|g|e|n|	G|ō|g|e|n|
b|a|g|a|t|e|l|l|	B|a|g|a|t|e|l|l:e|
z|á|r|a|	Z:a|a|r|a|
Z|a|r|k|á|	Z|a|r|q|a|
D|r|a|k|u|l|a|	D|r|a|c|u|l|a|
M|á|t|é|	M|a|t|e|
B|e|n|g|á|l:i|	B|e|n|g|a|l|
U|p|á|l|i|	U|p|a|l|i|
H|o|n|g|d|e|	H|o|n|g|d:a|e|
M|á|t|é|	M|a|t|é|
L|a|w|r|e|n|c|e|	L|a|u|r|e|n|c|e|
m|i|k|r|o|p|r|o|c|e|s|s:z|o|r|	m|i|c|r|o|p|r|o|c|e|s|s|o|r|
M|a|a|s|t|r|i|c|h|t:i|	M|a|a|s|t|r|i|c|h|t|
P|á|r|i|n|g|	P|a|r|â|n|g|
K|a|m|a|t|e|	K|a|m|a|t|é|
M|i|n|d|o|r|o:i|	M|i|n|d|o|r|o|
k|a|t|a|l|ó|g|u|s|	C|a|t|a|l|o|g|u|e|
H|a|r|t|w|i|c|k|	H|a|r|t|w|i|c:k|':s|
B|i|o|d|i|v|e|r|z|i|t|á:s|	B|i|o|d|i|v|e|r|s|i|t|y|
M|e|g|i|d|d|ó:i|	M|e|g|i|d|d|o|
K|u|d|ó|	K|u|d|o|
k|e|m|o|e|m|b|o|l|i|z|á|c|i|ó|	c:h|e|m|o|e|m|b|o|l|i|z|a|t|i|o:n|
N|ú|r|i|a|	N|u|r|i|a|
A|t|t|a|l|i|d:a|	A|t|t|a|l|i|d|
M|u|ș|e|n|i|ț|a|	M|u|ş|e|n|i|ţ|a|
D|e|n|n|ó|	D|e|n|n|ō|
M|a|i|n|z:i|	M|a|i|n|z|
