द|	t:h:e|
ज|े|स|ी|	J|E|C|Y|
क|ा|ज|ल|	K|a|j|a:l|
स|म|ं:द|र|	S:a|m|u:n:d|a:r|
क:ौ|र|व|	K:a:u|r|a:v|
प|ा|ं|ड|व|	P|a|n|d|a:v|
क:ै|न|ु|	K:e:a|n|u|
र|ी|व|्:स|	R|e:e|v:e|s|
म|ि|ल|्:स|	M|i|l:l|s|
इ|ग|न|ो|श|	I|g|n|o|s:h|
म|ा|न|ा|	m|a|n|a|
प|ू|ल|्:स|	p|o:o|l|s|
प|ा|ं|ड|े|	P|a|n|d|e:y|
म|ी|र|ा|	M|e:e|r|a|
स|ु|ह|ा|ग|	S|u|h|a|g|
म:ह|ब|ू|ब|	M:e:h|b|o:o|b|
स|र|त|ा|ज|	S:a|r|t|a|a:j|
अ|द|ा|ल:त|	A|D|A|L:A:T|
म|े|र|ा|	M|e|r|i|
ल|ल|क|ा|र|	L|a:l|k|a|a:r|
म:ा:इ|क|	M:i|k:e|
ड|े|न|े:स|	D|e|n:n|e:s:s|
म|स|ा|न|ी|	M:a|s|a|n|i|
म|ो|ह|न|	M|o|h|a:n|
र|ा|क|े|श|	R|a|k|e|s:h|
न|र|स|ी|	N:a|r|s|i|
म|े|ह|त|ा|	M|e|h|t|a|
न|ै:थ|न|	N:a|t:h:a|n|
ए|स|्|ल|े|	A|s|t|l|e|
‍:न|ी:ल|	N|e:i:l|
स|ि|म|ॉ|न|	S|e|m|o|n|
ग|ु|ए:न|ा|	G|u|i:n:e|a|
ज|र|्:स|ी|	J|e:r|s|e:y|
क|ॉ|म|े|न|	C|o|m|a|n|
फ|ल|्:ट|न|	F:u|l|t|o:n|
फ:ि|ल|ो|	P:h:i|l|o|
प|ि|ं|ग|	P|i|n|g|
प|ॉ:न:्|ग|	p|o:n|g|
क़|ृ:ष|्:ण|	K|r:i:s|h:n:a|
प|ो|व|ा|र|	P|o|w|a|r|
र|ा|ण|े|	R|a|n|e|
ब|्:र|े:क|	b|r|a:k:e|
इ|ं|ज|ि|न|	e|n|g|i|n:e|
र|त:्|न|	R:a|t|n:a|
र|ि:फ|ा|	R|i:f:f|a|
र|ी|व|ा|	R|I|W|A|
म|ा:उ|ं|ट|	M:o|u|n|t|
र|ॉ|ग|र|	R|o|g|e:r|
ट:्:व|ो|स|	T:w|o|s:e|
र:ू|न|ी|	R:o:n|n|i:e|
इ|र|ा|न|ी|	I|r|a|n|i|
ग|ॉ|र:्|ज|	G|o|r|g:e|
स|ा|ग|र|	S:a|a|g|a:r|
द|े|व|त|ा|	d|e|v|a:t|a:a|
ज:ॉ|र|्|ज|	G:e:o|r|g|e:':s|
ग|ॉ|ब|े:न|	G|o|b|a:i:n|
ग|ॉ|ब|ै:न|	G|o|b|a:i:n|
प|र|व|े|ज़|	P|e:r|v|e|z|
भ|ा|द|ो|ं|	B:h|a|d|o|n|
ग:्:र|ा|म|	g:r|a|m|
श|ा|ह|ी|	S:h|a|h|i|
ह|ु|स|ै:न|	H|u|s:s|a:i:n|
श|र|ी|फ|	S:h:a|r|e:e|f|
ब|द|म|ा|श|	B:a|d|m|a|s:h|
श|ो|ट|े|	S:h|o|t|l:e:y|
ब:ॅ|ट|र|ी|	b:a:t|t|e:r|y|
स|ो|ल|ह|	S|o|l:a|h|
स|त|्:र:ह|	S|a:t|r:a|
श:्:र|ी|	S:r|i|
श|क:्:त|ी|	S:h:a|k:t|i|
क:ॉ|फ:़|ी|	c:o:f|f|e:e|
ट:ॉ|म|स|	T:h:o|m:a|s|
ह|ॉ|ब|्|स|	H|o|b|b|s|
ट|ि|न|ो|	T|i|n|o|
ब|े|स:्:ट|	b|e|s:t|
ओ|प|ा|थ|ा|	O|p|a|t:h|a|
उ|ज|े|श|	U|j|e|s:h|
र|े|ं|च|ड|	R|a|n|c:h:o|d|
उ|प|ु|ल|	U|p|u|l|
थ|र|ं|ग|ा|	T:h|a:r|a:n|g|a|
फ|ॉ|र:्|ज|	f|o|r|g:e|
व|क|ा|र|	W:a|q|a|r|
य:ु|न|ि|स|	Y:o:u|n|i|s|
ज़:ह|ू|र|	Z:a:h|o:o|r|
इ|ल|ा|ह|ी|	E|l|a|h|i|
क|ि|र|ा|ए|	k|i|r|a|y:e|
ह|म|े|ं|	H:a|m|e|n|
ख:े|ल|न|े|	K:H:E|L|N|E|
ब|ा|ह|ो|ं|	B|a|h|o|n|
श|ह|र|	S:h:e|h|a:r|
त|ु|म|्:ह:ा|र|ा|	t|u|m|h:a|r|a|
स|ु|न|ो|	S|u|n|o|
अ|ज़|ी|ज़|	A|z|i|z|
म|ह|म|ू|द|	M:a|h|m|u|d|
ह|ु|द|ा:ई|	H|u|d|a:y:i|
ग:्:र|ं|थ|	G:r|a:n|t:h|
क|च|्:च|े|	K:a|c|h:c:h|e:y|
ध|ा|ग|ो|ं|	d:h|a|g|o|n|
न|ी|ं|द|	n|e:e|n|d|
ख|्:व:ा|ब|	k:h|w:a|b|
त|ु|म|्:ह:ा|र|े|	t|u|m|h:a|r|e|
अ:ज:‍|ि|	A:j|i|
अ|स|म|ी:ज|	A|s:s|a:m|e:s:e|
ड:े|ल:्:ह|ी|	d:a:i|l|y|
म|ो|ट:र|	m|o|t:o:r|
स|ा:य|क|ल|	c|y|c|l:e|
ज:न|र|ल|	g:e:n|e:r|a:l|
क|ॅ|स:्:ट|्:र:ो|	C|a|s:t|r:o|
ल|ो|व|र|	l|o|w|e:r|
न|ि|र|ा|र|	N|i|r|a|r|
प:ि|र:े|स|	P:i:e|r:r:e|':s|
ए|प|ि|स|्:क:ो|प|ा|ल|	E|p|i|s|c:o|p|a|l|
ह:‍:ि|स:्:ट|ॉ|र|‍:ि:क|ल|	h:i|s:t|o|r|i:c|a:l|
स|ो|स|ा|य|ट|ी|	s|o|c|i|e|t|y|
ए:ब|ॉ:ट|	A:b:b|o:t:t|
अ|ल|ा|स|	A|l|a|s|
प|ु|र:्:व|ो|	P|u|r:w|o|
आ|स|ह|ी|	A|s|a:h|i|
ल|ी|ल|ै|ं|ड|	L|e:y|l|a|n|d|
स|ि|प|ा|ह|ी|	S|i|p|a|h|i|
ब|ज|ा|ज|	B:a|j|a|j|
ट|े|म|्:प|ो|	t|e|m|p|o|
ब|ै|ं|ड|	b|a|n|d|
म|ा|स:्:ट|र|	m|a|s:t|e:r|
म|ै|न|े:ज|र|	m|a|n|a:g:e|r|
ड:्:र|म|्:स|	d:r|u:m|s|
ब|े|य|र|	B|a|y|e:r|
भ|ट|न|ी|	B:h:a|t|n|i|
भ|े|द|ी|	b:h|e|d|i|
ल|ु|ट|े|र|ा|	l|u|t|e|r|a|
ब|ि|ल|ी|	B|i|l:l|y|
ग:्:र|ा|ह|म|	G:r|a|h|a:m|
ब|ी|न|ा|	B|i|n|a|
ब|ो|न|ी|	b|o|n|y|
ब|्:ल|े|य|र|	B|l|a|i|r|
क:ै|र|ी|	c:a:r|r|y|
ग:्:र|ा|ं|ट|	g:r|a|n|t|
क|ै|स|र|	C|e|s|a:r|
च|ल|त|ा|	c:h|a:l|t|a|
प|ु|र:्:ज़|ा|	P|u|r:z|a|
र|ु|स:्:त|म|	R|u|s:t|a:m|
च|ी|न|ी|	C:h|i|n|i|
क|ॉ|र|े|	C|o|r|e:y|
क:ॉ|ल|ी|म|र|	C:o:l|l|y|m|o:r:e|
द|भ|ो|ई|	D:a|b:h|o|i|
ड|ै|न|ी|	D|a|n|n:y|
ड|ी|व|ि|ट|ो|	D|e|V|i|t|o|
ड:ै|र|न|	D:a:r|r|e:n|
स|ै|म|्:म:ी|	S|a|m|m:y|
द:ौ|ं|द|	D:a:u|n|d|
ध|ा|र|ी|	D:h|a|r|i|
ध|ो|ब|ी|	D:h|o|b|i|
ड|ॉ|क:्|ट:र|	d|o|c|t:o:r|
ड:ं|क|न|	D:u:n|c|a:n|
इ:स|्:ट|	E:a:s|t|
न|ि|म|ा|ड:़|	N|i|m|a|d|
इ|र|ो|ड|	e|r|o|d:e|
ग|े:र:ी|	G:a|r:y|
क|ॉ|स|ि:य|र|	c|o|s|i|e:r|
ग|ै|र|ी|	G|a|r|y|
क:्:र|ॉ:क|र|	C:r|o:c:k|e:r|
म|ो|ट:र|्:स|	m|o|t:o:r|s|
स|्:ल|ो|क|म|	S|l|o|c|u:m|
ब|ॉ|य|क|ॉ:ट|	b|o|y|c|o:t:t|
ड|ा:य|म|ॉ:क|	D|y|m|o:c:k|
ह|ॉ|व|र:्|थ|	H|o|w:a|r|t:h|
ग|ल|्:फ|	G:u|l|f|
इ:य:ा|न|	I|a:n|
म|ै|क|व:े|न|	M|a|c|E:w:e|n|
अ|न|ज|ा|न|े|	A|n|j|a|n|e|
ज:ै|क|्:स|न|	J:a:c|k|s|o:n|
ज:्:य|ो|त|ि|	J:y|o|t|i|
प:्:र|भ|ा|त|	P:r|a:b:h|a|t|
ज|ि:म:ी|	J|i:m|
क|ा|र|्:ट|र|	C|a|r|t|e:r|
क|ो|च|ी|	K|o|c:h|i|
र|े|फ:़|ि|न|	r|e|f|i|n|
ल|े:ड|ी|	l:a|d|y|
ग|ॉ|ड|ि|व|ा|	G|o|d|i|v|a|
ल:ं|द|न|ह|ी|थ|्:र|ो|	L:o:n|d|o:n|h|e|a:t:h|r|o:w|
म|ध|्|य|	M:a|d|h|y:a|
प:्:र|द|े|श|	P:r|a:d|e|s:h|
म|र|ी|न|	m|a:r|i|n:e|
ड:्:र|ा:इ|व|	d:r|i|v:e|
ज:़|ु|ब|ा|न|	Z|u|b|a|a:n|
म|े|र|ु|	M|e|r|u|
ब|े|त|ि|र|ी|	B|e|t|i|r|i|
म|े|व|न|	M|e|v|a:n|
प|ा:इ|र|ि|स|	P|i|e:r|i|s|
ए|थ|र|्:ट|न|	A|t:h|e:r|t|o:n|
ग|ै:ट|ि|ं|ग|	G|a:t:t|i|n|g|
व|े|ल|े|ट|ा|	V|e|l|e|t:t|a|
न|ा|थ|न|	N|a|t:h|a:n|
ब:्:र|े:क|न|	B:r|a:c:k|e:n|
प|ा|ँ:च|	P:a|a|n:c:h|
ध|र|म|ा|न|ी|	D:h:a|r|m|a|n|i|
प|्:य:ा|र|े|	P|y:a|r|e|
प|ु|ल|ू|	P|u|l|u|
क|ी|ल|ि|ं|ग|	K|e:e|l|i|n|g|
स|ा|ह|ि|ब|ा|	S|a|h|i|b|a|
ल|ु|ट|ा|र|ी|	l|u|t|a|r|i|
र|ि:य:ो|	R|i:o|
न|े|ग|्:र:ो|	N|e|g|r:o|
क|म|ा|ं|ड|र|	c:o:m|m|a|n|d|e:r|
क|्:र:ो|व|ी|	K|r:o|v|i|
स|ज|ी|व|	S:a|j|i|v|
म|ू|र|्:त:ि|	M|u|r|t:i|
म|े|म|स|ा|ब|	m|e|m|s|a:a|b|
स|ल|ा|म|	S:a|l|a|m|
स|ल|ि|ल|	S:a|l|i|l|
अ|ं|क|ो|ल|ा|	A|n|k|o|l|a|
श|ि|ल|र|	S:c:h|i|l:l|e:r|
स|े|व|न|	s|e|v|e:n|
म:ा:इ|ल|्:स|	m:i|l:e|s|
म|े|ह|म|ा|न|	m|e|h|m|a|a:n|
म|ह|ा|र|ा|ज|	M:a|h|a|r|a|j|
श|े|र|ा|	S:h|e|r|a|
श|म|श|े|र|ा|	S:h:a|m|s:h|e|r|a|
क|ो|र|ि:य:ा|	K|o|r|e:a|
ट|ा|म|ा|	T|a|m|a|
क:ै|न|ि|ं|ग|	c:a:n|n|i|n|g|
त|न|ी|र|	T:a|n|e|r|
अ|ं|स|ा|र|ी|	A|n|s|a|r|i|
ट|े|ड:ी|	T|e|d:d:y|
क|ॅ|न|े|ड|ी|	K|e|n|e|d|y|
ह|ा|र:्:ड|ी|	H|a|r:d|y|
ट:ा:इ|म|	t:i|m:e|
व|ॉ|र:्:न|र|	W|a|r:n|e:r|
व|ॉ:ग|न|	V:a|u:g:h|a:n|
व|ि|ल|ी|	W|i|l:l|i:e|
ब:ा:ँ|ह|ो|ं|	B:a|h|o|n|
ए|क|े:ड|म|ी|	A|c|a:d:e|m|y|
आ:र:्|ट|्:स|	a:r|t|s|
ग|ो|र|ज|े|स|	G|o|r|g|e|s|
प:्:र|ो|	P:r|o|
फ:ु|ट|ब|ॉ:ल|	f:o:o|t|b|a:l:l|
ह|ॉ:ल|	H|a:l:l|
फ|े:म|	f|a:m:e|
ज:ॉ|न|्:‍:स|	J:o:h|n|':s|
च|ं|ड|ी|ग|ढ:़|	C:h:a|n|d|i|g|a:r:h|
न|ो|म|ा|	N|o|m|a|
ह:ा|ज|ी|	H:a:j|j|i|
ब|े|क|त|ा|श|	B|e|k|t|a|s:h|
ह|ं:ड|र|े:ज|	h|u:n:d|r|e:e:d|
ड|े|ज:़|	d|a:y|s|
आ|फ|्:ट|र|	a|f|t|e:r|
ड|ॉ|व|र|	D|o|v|e:r|
ट|र|्:र|े|ट|	t|u:r|r|e|t|
ब|ॉ:न:्|ज|ल|	B|o:n|j|o:l|
ट|ै|व|र|्:न|	t|a|v|e:r|n|
क|्:ल|े|	c|l|a:y|
र|ि|स|र:्|च|	r|e|s|e:a:r|c:h|
ड|ै|न|ी|	D|a|n|n:i:e|
ह:े|न|म|ै|न|	H:e:i|n:e|m|a|n|
ग|ो|ड|ल|	G|o|d:e|l|
र|ा|ध|ि|क|ा|	R|a|d:h|i|k|a|
प:्:र|स|ा|द|	P:r|a:s|a|d|
आ|न|ं:द|	A|n:a|n:d:a|
ब|ा|ज:़|ा|र|	B|a|z|a|r|
प|त:्:र|ि|क|ा|	P:a|t:r|i|k|a|
ल:ॉ|र|ा|	L:a:u|r|a|
इ|ं:ग|ल|्:स|	I|n:g:a|l:l|s|
व:ा:इ|ल:्:ड|र|	W:i|l:d|e:r|
फ:़:े|थ|	f:a|i:t:h|
म|ि|श:न|र|ी|	m|i:s:s|i:o:n|a:r|y|
ब|े|ट|र|	b|e|t:t:e|r|
ऑ|न|ल:ा:इ|न|	o|n|l:i|n:e|
स|ॉ|ल|्:य:ू|श|ं:स|	s|o|l|u:t|i|o:n:s|
म|े|र|ी|ज:़|	M|a|r|y:'|s|
क|ॉ|ं|न:्:व|े|ं|ट|	c|o|n|v|e|n|t|
अ|ल|ा|ह|ा|ब|ा|द|	A|l:l|a|h|a|b|a|d|
म|ो|ह|म|्:म|द|	M|o|h|a:m|m|a:d|
म|ु|ज|्:त|ब|ा|	M|u|j|t|a:b|a|
त|ा|र|क|न|ा|थ|	T|a|r|a:k|n|a|t:h|
ब|ड:़|े|	b:a|d|e|
द|ि|ल|व|ा|ल|ा|	D|i|l|w|a|l|a|
प|ह|ा|र|प|ु|र|	P:a|h|a|r|p|u|r|
अ|न|स|ो|र:्|थ|	U|n|s|w:o|r|t:h|
प|्:र:ह|ल|ा:द|	P|r:a|l|h:a:d|
ब|ि|ं|ग|	B|i|n|g|
क|्:र:ॉ|स|ब|े|	C|r:o|s|b|y|
ड|र:्:क|	D:i|r:k|
व|े:ल|्:ह:ै|म|	W|e:l:l|h:a|m|
ए|र|ि|क|	E|r|i|c|
उ|प|ा|श|ं|थ|ा|	U|p|a|s:h|a:n|t:h|a|
आ|र|न|ॉ|ल:्:ड|	A|r|n|o|l:d|
ग|ो|क|र|न|ा|थ|	G|o|k|a:r|a:n|a|t:h|
द|क:्|ष|ि|ण|ा|	D:a|k|s:h|i|n|a|
ट:्:र|ु:म:ॅ|न|	T:r|u:m|a:n|
प|ा|र|ं:ज|प|े|	P|a|r|a:n:j|p|e|
म:ृ|‍:त|्:य:ु|	M:r:i|t|y:u|
ज|ो|स|फ|	J|o|s:e|p:h|
स|्:ट|े|ल|ि|न|	S|t|a|l|i|n|
ल:्:य|ू:ट:ॉ|न|	L:u|t:o|n|
म|ै|ड|म|	M|a|d|a:m|
ज़:प|ा|ट|्:ट|ा|	Z:a:p|a|t|t|a|
प:्:र|भ|ा|क|र|	P:r|a:b:h|a|k|a:r|
म|र|्|क|	M|e:r|c|k|
फ|़|ा:र:्|म|ा|	P:h|a|r|m|a|
व:्:ह|ि|ट|न|े|	W:h|i|t|n|e:y|
ह:ॉ|र|ि|ट:्|ज़|	H:a:u|r|i|t|z|
ख|ि|ल|ा|ड:़|ी|	K:h|i|l|a|d|i|
प|े|ड|र|	P|e|d|e:r|
स|्:क|्:र:े|म|	S|k|r:a|m|
य:ु|ब:े|र|ो|थ|	U|e:b:e|r:r|o|t:h|
ग|ो|प|ी|च|ं:द|	G|o|p|i|c:h|a:n:d|
र|ि|क:ी|	R|i|k:k:i|
क:्:ल|ा|र:्|क|	C:l|a|r|k:e|
ग|ा|व|स:्:क|र|	G|a|v:a|s:k|a:r|
स|द|ी|क|	S:a|d|i|q|
स:्|व|य:ं|व|र|	S|w:a|y:a:m|v|a:r|
स|े|ट|े|	S|e|t|e|
स|ि|ड|ा|ड|े|स|	C|i|d|a|d|e|s|
स|ि|ज|ु|	S|i|j|u|
द|ो|भ|ा|क|ो|ल|	D|o|b:h|a|k|o|l|
अ|ध|ि|क|ा|र|ी|	A|d:h|i|k|a|r|i|
च|न:्:द|ा|न|ा|	C:h:a|n:d|a|n|a|
व|र:्|न|	V:e|r|n:e|
स|ि|ट|ा|ड|े|ल|	C|i|t|a|d|e|l|
ज:ॉ|र:्:ज|्:स|	G:e:o|r:g|e:':s|
फ:ि|ल|ि|प:्|स|	P:h:i|l|i|p|':s|
म:ा:उ|ं:ट|े:न|	m:o|u:n:t|a:i:n|
च|ै:न|ल|	c:h:a|n:n:e|l|
स|ु|ल|े|म|ा|न|	S|u|l|e|m|a|n|
च:े|ल|ा|	C:h:e|l|a|
प|ह|ल|व|ा|न|	P:a|h|e:l|w|a|n|
ह|े|ल|े|न|्:स|	H|e|l|e|n|s|
ज|ह|ा:ँ|ग|ी|र|	J:a|h:a|n|g|i|r|
स|म|न|ा|न|ी|	S:a|m|n|a|n|i|
इ|ं|ट|ल|	I|n|t|l|
ब|ि|ज:़|न|े:स|	b|u|s|i:n|e:s:s|
म|श:ी|न|्:स|	m:a|c:h:i|n:e|s|
प|ो|ल|र|	p|o|l|a:r|
म|ा|इ|क:ल|्|स|	M:i:c|h:a|e|l|'|s|
च:े|न:्:न|ई|	C:h:e|n:n|a:i|
स|े|म|ी|न|ो|ल|	S|e|m|i|n|o|l:e|
इ|ं|त|े|क|़|ा|म|	i|n|t|e|q|u|a|m|
भ|र|व|ा|	b:h|a:r|w|a|
स|ु|म|े|र|प|ु|र|	S|u|m|e|r|p|u|r|
ए:र|ॉ|ल|	E:r:r|o|l|
स|्:ट|ी|व|र|्:ट|	S|t|e|w|a:r|t|
प|ॉ|प|क|ॉ|र:्:न|	p|o|p|c|o|r:n|
स|ि|ं:ह|प|ु|र|ा|	S|i|n:g:h|p|u|r|a|
फ:़|ि|ल|	f|i|l|
ड:ो|न|ा|ह|्:य:ू|	D:o:n|n|a|n:v:i|e:w|
क|ि|र|्:स|्:ट|न|	K|i|r|s|t|e:n|
इ|ल|े|क|्:ट|ि:क|	e|l|e|c|t|r:i:c|
ज|प|ा|न|	J:a|p|a|n|
ए|य|र|ल:ा:इ|ं:स|	a|i|r|l:i|n:e:s|
ज:े|फ:़|	J:e:f|f|
म|ॅ|क|क|्:र|े|थ|	M|a|c|k|r|e|t:h|
स:्:व|ा|ग|र|्:ट|	S:w|a|g:g|a:r|t|
ल:ॉ|र|ी|	L:a:u|r|i:e|
म|ै|प|ल|	m|a|p|l:e|
ए|ं|ट|ॉ|इ|न|े|ट|	A|n|t|o|i|n|e|t:t:e|
म|ु|क:़:द|्:द|र|	M|u|q:a|d|a:r|
ब:्:र|े|य|र|ल|े|	B:r|e|a|r|l|e:y|
व|ॉ|ट|क|ि|ं|स|न|	W|a|t|k|i|n|s|o:n|
न|ि|स:ल|	N|I|S:A:L|
फ|र|्:न:े|ं|ड|ो|	F|e:r|n:a|n|d|o|
क|ु|ल|क|र|्:ण:ी|	K|u|l|k|a:r|n:i|
र|ि|च|ी|	R|i|c:h|i:e|
फ|़|ो|न|ि|क:्:स|	P|h|o|e:n|i|x|
र|ो|श|न|	R|o|s:h|a:n|
ज|ु|र|ं|ग|प|थ|ी|	J|u|r|a:n|g|p:a|t:h|y|
स|च|ि|न|	S:a|c:h|i|n|
त|े|ं|ड|ु|ल|क|र|	T|e|n|d|u|l|k|a:r|
क|ै|र|ो|ल|ि|न|ा|	C|a|r|o|l|i|n|a|
क|ा|ल|ह|स:्:त|ी|	K|a|l:a|h:a|s:t|i|
फ:़|ा:य|न|े|ं:स|	f|i|n|a|n:c:e|
इ|ं|फ:़|ो|ट|े|क|	I|n|f|o|t|e|c:h|
ए|ल:्:ड|र|म|ै|न|	A|l:d|e:r|m|a|n|
भ|ा|र|द|्:व:ा|ज|	B:h|a|r|a:d|w:a|j|
य|ो|ह|न|	Y|o|h|a:n|
ग|ू|र:स|े|क|र|ा|	G|o:o|n:a:s|e|k|e:r|a|
क:ं|ट|े|म|्:प|र|र|ी|	c:o:n|t|e|m|p|o:r|a:r|y|
स|्:प|ॉ|न|्:ज:़|	s|p|o|n|g:e|
इ|र|ो|	I|R|O|
ज|ै|स|ी|	J|a:i|s|i|
ब|ॉ|च|र|	B|o|c:h|e:r|
म|े|म|ो|र|ि|य|ल|	M|e|m|o|r|i|a|l|
क|ज:़|्:म:ा|य:र|	K:a|z|m:a|i:e:r|
प|ि|स|ा|	P|i|s|a|
ग|ै|ल|ि|ल|ि:य:ो|	G|a|l|i|l|e:o|
ग|ै|ल|ी|ल|ी|	G|a|l|i|l:e|i|
प|ा|ल|र|	P|a|l|a:r|
प|ो|र|न:्:द|ल|र|	P|o|r:a|n:d|a:l|a:r|
अ|ल|्:ब|र|्:ट|ा|	A|l|b|e:r|t|a|
फ:्:र|ा|ं|स|ि|स|	F:r|a|n|c|i|s|
ड|‍|ि|अ:स:‍|ी|स|ी|	D|'|a|s:s|i|s|i|
ट|्:र:े|ड|ि|ं|ग|	t|r:a|d|i|n|g|
क|ॉ|र|्:प|ो|र|े:श|न|	c|o|r|p|o|r|a:t:i|o:n|
र|ा|म|क|ृ:ष|्:ण|	R|a|m|a:k|r:i:s|h:n:a|
व:‍:ि|द|्:य:ा|श|ा|ल|ा|	V:i|d|y:a|s:h|a|l|a|
म|ै|स|ू:र|	M|y|s|o:r:e|
इ|ं|ड|स|्:ट|्:र|ी|	I|n|d|u:s|t|r|i:e|
अ|ज|ी|ब|	A|j|e:e|b|
इ|त:्:त|ि|फ|ा:क:़|	I|t:t|e|f|a:q|
अ|ज|ी|थ|	A|j|i|t:h|
व|ी|र|क|्:क|ो|ड|ी|	W|e:e|r|a:k|k|o|d|y|
ट:ा:इ|म|ड|ो|य:ू|न|	T:i|m:e|d|o|u|i:n:e|
म|ल:्|ह|ो|त:्:र|ा|	M:a|l|h|o|t:r|a|
फ|क|र|ू|द|्:द:ी|न|	F:a|k|r|u|d|d:i|n|
क|ॉ|म|ी|	c|o|m|m:i:e|
फ|ि|ड|ल|	F|i|d:e|l|
ए|ड|व|र|्:ड|्:‍:स|	E|d|w|a:r|d|s|
क:ै|स|र|	K:a:i|s|e:r|
ब|र|्:ब:ो|र|ो|स|ा|	B:a|r|b:a|r|o|s:s|a|
क|र|्:ट|	K:u|r|t|
व|ि|ल|्:क|ि|ं|स|न|	W|i|l|k|i|n|s|o:n|
न|्:य:ू|फ|ा:उ|ं|ड|ल|ै|ं|ड|	N|e:w|f:o|u|n|d|l|a|n|d|
ऑ|प|र|ा|	O|P|R|A|
व|ि|न|्:फ:़|्:र|े|	W|i|n|f|r|e|
प|ा|र|स|	p|a|r|a:s|
म:्:ह|ा|ं|ब|्:र|े|	M:h|a|m|b|r|e:y|
प|ी|ट|र|	P|i:e|t|e:r|
स|्:ट:्|र:ा|ए|ड:म|	S|t|r|y|d:o:m|
ह|र|ी|श|च|ं|द:्|र|	H|a:r|i|s:h|c:h|a:n|d|r:a|
र|ी|न|ी|	R|e|n|e:e|
ज:़|े:ल|ी:व|ॅ|ग|र|	Z|e:l:l|w|e|g|e:r|
ट|े|ल|ी|म|ै|च|ु|स|	T|e|l|e|m|a|c:h|u|s|
ट|ो|ल:्|च|ा|र:्:ड|	T|o|l|c:h|a|r:d|
म|े|ट|ा|ल|ि|क|्:स|	M|e|t|a|l|i|k|s|
थ|ि|ल|न|	T:h|i|l|a:n|
स|म|ा|र|ा|व|ी|र|ा|	S:a|m|a|r|a|w|e:e|r|a|
ट:ॉ|प|न|	T:o:p|p|a:n|
प:्:र|ि|ं|ट|ि|ं|ग|	p:r|i|n|t|i|n|g|
स|ह|्:य:ा|द:्:र|ी|	S:a|h|y:a|d:r|i|
स:े:क|्:ज:़|ॉ|न|ी|	S:a|x|o|n|y|
व:ै|ड|न|	W:a:d|d:e|n|
र|ा|ग|े|श|्:व|र|ी|	R:a|a|g|e|s:h|w|a:r|i|
ज:़:े|व|ि:य:र|्|स|	X:a|v:i|e:r|s|':s|
ए:ण:्|ड:्:र|य|ू|ज|	A:n|d:r|e|w|s|
ब|्:ल|ॉ:क|ह|ा:उ|स|	b|l|o:c:k|h:o|u|s:e|
अ|ब|ा|न|	a|b|a|n|
ल|ॉ|य|ड|च|ि|ल|ी|ज:़|	L|o|y|d|c:h|i|l|e|s|
र|ॉ|ब|र|्:ट|्:‍:स|न|	R|o|b|e:r|t|s|o:n|
क|ं:स:ट|्:र:क|्:श:न|	C|o:n|s:t|r|
ह|ै|ं|ड:्:र|ि:क|्:स|	H|e|n|d:r|i:c:k|s|
च:ा|र|्:ल|म:े|य|न|ी|	C:h:a|r|l|e:m:a|g|n|e|
स|्:ट|ै|न|स:्:ट|े|ड|	S|t|a|n|s:t|e|d|
स|ि|म|ा|	S|i|m|a|
प|्:य:ु|म|ा|क|ो|क|ा|	P|u|m|a|c|o|c:h|a|
स|ि|न|ा|	S|i|n|a|
ह|ि|ल|्:फ:़|ि:ज:़|र|	H|i|l|f|i:g|e:r|
य:ु|श|ु|	K:y:u|s:h|u|
म|ग|़|ल|	M:a|g|a|l|
ऑ:न:्|ट|ा|र|‍:ि:य|ो|	O:n|t|a|r|i|o|
स:्|प:्:र|ि|ं|ग|्:स|	S|p:r|i|n|g|s|
क|्|र|ि|श:्:च|ि|य|न|	C|h|r|i|s:t|i|a|n|
इ|ं|ड|स|्:ट|्:र|ी|ज:़|	i|n|d|u:s|t|r|i:e|s|
ब|ा:ब:ा|	B:a|w:a|
म|ु|ह|इ:य|ा|द:्|द|ी|न|	M|u|h|a:i:y|a|d|d|e:e|n|
स|ि|ट|ी|	c|i|t|y|
क|ॉ|व|न|	C|o|w|a:n|
ल|ो|क|ु|अ|र|ा|च|्:च|ी|	L|o|k|u|a|r|a|c|h:c:h|i|
प|ट|न|ी|	P:a|t|n|i|
क|म|्:प|्:य:ू|ट|र:्:स|	c|o:m|p|u|t|e:r|
थ|े|ं|द|य|ू|थ|प|ा|न|ी|	T:h|e|n|d|a:y|u|t:h|a:p|a|n|i|
ल|ं:ड|न|	L|o:n:d|o:n|
न|्:य:ू|ज:़|प:्:र|ि|ं|ट|	n|e:w|s|p:r|i|n|t|
स|न|ड|े|	S:u|n|d|a:y|
क|म|्:य:ु|न|ि|क|े:श|ं:स|	c:o:m|m|u|n|i|c|a:t:i|o:n:s|
ल|ि|म|ि|ट|े|ड|	l|i|m|i|t|e|d|
म|ै|ट:्:र|ो|प|ॉ|ल|ि|ट|न|	m|e|t:r|o|p|o|l|i|t|a:n|
स|ि|र|ा|ज़|ु|द:्:‍|द:ौ|ल|ा|	S|i|r|a|z|u|d|d:a:u|l|a|
र|ा|ड|ा|	R|a|d|a|
इ|ल|े|क|्:ट|्:र:ॉ|न|ि|क|्:स|	e|l|e|c|t|r:o|n|i|c|s|
ट|ै|र|ो|	t|a|r|o|
