ה|י:ט:פ|י|ל|ד|	H|e:t:f:i|e|l|d|
ר|י:ב:ו|	R|i:b:o:t|
א:ק:י|ו|ט|י|פ|ו|ל|י|א|	A:c|u|t|i|f|o|l|i|a|
ט:מ:ב|ל:נ:ד|	T:i:m:b:a|l:a:n:d|
מ|י|נ|א:ס:ה|	M|e|n|a:s:s:e|
ב|א|ד|ר|	B|a|d|e:r|
ה|י|ד|ן|	H|i|d:e|n|
ה|י|ד|י|ו|	H|i|d|e|o|
ה|י|נ:ז|	H|e|n:z:e|
ח:מ|א|ד|י|	H:a:m:m|a|d|i|
ב|ו|ר|ו|ב|ו|ד|ו|ר|	B|o|r|o|b|u|d|u|r|
צ:'|י|ס|ל|נ|ק|ו|	C|h:i|s|l:e|n|k|o|
פ|א|ל|ר|מ|ו|	P|a|l|e:r|m|o|
א:ו:ק|א|מ|ו|ט|ו|	O:k|a|m|o|t|o|
א|ר|י|ס|ט|י|ז|א|ב|א|ל|	A|r|i|s|t|i|z|a|b|a|l|
ס|פ|א|ם|	S|p|a|m|
ח:ו:ל|ו:ס:י|	H:u:l:u:s|i|
ס|י|נ|ד|ר|י|ל|א|	C|i|n|d|e:r|e|l:l|a|
ב|א|ל|א|ב|א|ן|	B|a|l|a|b|a|n|
ג|א|ל|י|מ|ז|י|א|ן|	G|a|l|i|m|z|y|a|n|
ס:ט:י|ו|א|ר|ט|	S:t|u|a|r|t|
מ:נ|ש:ב|י|ק|	M:e:n|s:h:e:v|i|k|
ו|א:י:ט|	W|h:i:t:e|
ק|א|ב|ו|ט|	C|a|b|o|t|
א:כ:מ|י:ט:י|ל|י|	A:k:h:m:e|t:e|l|i|
ס|י|נ|א|ן|	S|i|n|a|n|
ס:א|י|נ|א|י|	S|i|n|a|i|
ק|ל|א|ס|נ|י:ט:ש|	K|l|a|s|n|i:c|
ר|י|נ:ת|	R|i|n:a:t|
ט|ו|ר|י|ו|מ|י|	T|o|r|i|u|m|i|
מ|א|ט|י|א|ס|	M|a|t:t|i|a|s|
נ:א:י|ק:ס:ט|	N:y:q:u:i|s:t|
פ|י|א|ף|	P|i|a|f|
ס:י|מ:ו:ז|	S|i:m:o:e:s|
ק|ו|ס|ט|א|נ|ז|ו|	C|o|s|t|a|n|z|o|
ל|י|פ|ס|ט|ד|א:ט|	L|i|p|s|t|a:d|t|
א|ל|י|ג|ר|י|	A|l|e|g|r|e|
ב|ו|ר|כ|י|ס|	B|o|r|g|e|s|
ד:מ:פ|ס:י|	D:e:m:p|s:e:y|
מ|א|ר|י|ק|	M|a|r|i|c|
א:ו|ז|י|ל|	O|z|i|l|
ס:ו:ל|י|מ|א|ן|	S:o:u:l:e|y|m|a|n:e|
מ|י|נ:ג:י|	M|i|n:g:y:i|
ר:ו:א|נ|י|	R:o:u:a|n|i|
ה|ר|א|נ|ט|	H|r|a|n|t|
ב|י:ל|ל|	B|i:l:l:e|l|
ק|א|מ|פ|ו|ס|	C|a|m|p|o|s|
ק|א|ל|ו|ן|	K|a|l:l|o|n|
ט|י|מ|ו|ש|י|נ|ק|ו|	T|i|m|o|s:h|e|n|k|o|
מ|א|נ|ו|א|ל|א|	M|a|n|u|e|l|a|
א:ו|ם|	U|m:m|
ק|י|ו|ו|ס|	K|i|w|u|s|
ר|א|ד|ו|ס:י:ו|	R|a|d|u|c:i:o:i:u|
צ:':א|ב|י|ז|	C:h|a:v|e|z|
ל|א|ר:י:א|	L|a|r:y:e:a|
ט|א|י|ם|	T|a|i|m|
ח|י:י|ם|	H:a|i|m|
ד|א|ר|ד:י:ן|	D|a|r|d:e:n:n:e|
ל:ז:י|ו|ן|	L:e:z:i|o|n|
ד:ו:ר|ד:י:ב|י:ט:ש|	Đ:o:r:đ|e:v|i:c|
נ|א|פ:ל:י|ו|ן|	N|a|p:o:l:e|o|n|
ב|י|ר|נ|א|ר|ט|	B|e|e:r|n|a|e:r|t|
ה|א|ס|י|	H:a|a|s|e|
ה:ל:ק|	H:u:l:k|
נ|ו|ה|י|י|ר|	N|o|h|a|i|r|
ר|ו|ט|ס|ו|ן|	R|o|t|s|o|n|
מ|י|ט|נ:י:ק|	M|i|t|n:i:c:k|
ט|א|ק|א|נ|ו|ר|י|	T|a|k|a|n|o|r|i|
ק|א|ק|ו|	K|a|k|u|
ט|א|ק|א|מ|ו|ר|י|	T|a|k|a|m|o|r|i|
ב|י|נ|י|ד|י|ק|ט|י|ן|	B|e|n|e|d|i|c|t|i|n:e|
ב|א|ק|ו|	B|a|k|u|
ר|י|פ|ל|י|	R|i|p|l:e|y|
פ|י|ט|ו|ר|א|ט|	P|i|t|u|r|a|t|
ר|י|	R|i|
ס:א|י|	S|i|
ב|א|ב|א|	B|a|b|a|
י|ע:ק:ב|	Y|a:k:o:v|
פ|א|ל|י|ן|	P|a|l|i|n|
א|נ|ט|ו|נ|י|נ|ו|	A|n|t|o|n|i|n|o|
ג|ו|י|ד|ו|	G|u|i|d|o|
מ|ו|ר|י|ן|	M|o|r|i|n|
ה|י|ל|י|	H|i|e:l|e|
ק|ל|א|ו|ס|	K|l|a|u|s|
פ|ל|ד|מ|א|ן|	F|e:l|d|m|a|n|
ג|א|ב|ו|ר|	G|a|b|o|r|
ק|א|ר|ו:ב:י|	K|a|r|r:o:u:b:i|
ר|י|ב|ו|ל|י|	R|i|v|o|l|i|
א:ו:ר|י|ג|ו|ן|	O:r|e|g|o|n|
י|ו|ר|ק|	Y|o|r|k|
ג:'|ו|ר|ג|'|	J|o|r|g|e|
ו|א|ס|י|ל|י|	V|a|s|i|l|y|
ס:ד:ר|א|	S:a:d:r|a|
פ|י|ר|ס|י|	P|e|r|c|y|
נ|א|ב:א:ר|	N|a|v:a:r:r:e|
ר|ו|ן|	R|o|n|
ק|ו|ט|י|	C|o|t|y|
ק|ו|ר|נ|י|ל|י|א|	C|o|r|n|e|l|i|a|
ס:י:ס|ל|א|	C:i:e:s|l|a|
ק|א|ס|ט|א|נ|ו|	C|a|s|t|a|n|o|
ב|ו|ד|י|א:נ:י|ס:ק:י|	B|u|d|y|a:n|s:k:i:y|
ק|ו|ר|נ|י|ל|	C|o|r|n|e|l:l|
ה|י|ל|ט|	H|e|l|t|
ה|א|ל|ד|ו|ר|	H|a|l:l|d|o|r|
ל|א|מ|פ|א|ר|ד|	L|a|m|p|a|r|d|
פ|ו|ס|ק|א|ס|	P|u|s|k|a|s|
ע|מ|ו|ס|	A|m|o|s|
מ|י|נ|א|ר|	M|i|n|a|r|
ז|ו|ק|ו|	Z|o|c|o|
ד|ו|נ|א|ד|ו|נ|י|	D|o|n|a|d|o|n|i|
ש|י|ד|י|א|ק|	C:h|i|d|i|a|c|
מ|י|ז|ו|נ|ו|	M|i|z|u|n|o|
ב:ר|ג|ו:ת:י|	B:a:r|g|h:o:u:t:i|
ד:ו|ט|ר|י|	D:a:u:g:h|t|r|y|
ת:י:ו|ד|ו|ס|י|ו|ס|	T:h:e:o|d|o|s|i|u|s|
מ|א|נ|ד|ר|י|ב|א|	M|a|n|d|r|i|v|a|
מ|א|ס|י|	M|a|s|i|
ק|א|ל|י|ק:ס|י|ק|ו|	C|a|l|e|x|i|c|o|
א|ל|ו:ו:י|ן|	A|l|v:i|n|
נ:ז:א|מ|י|	N:e:z:a|m|i|
ל|ו|ק|ו|	L|o|c|o|
ד:י:י|ו|י|ס|	D:a|v|i|s|
ק|ר:י:ת|	K|i:r:y:a:t|
ב|ו|ק|ו|	B|o|c|o|
ק|ו|ק|ו|	C|o|c|o|
ו|י|ש|נ|ו|	V|i|s:h|n|u|
ג|ו|ס|ט|א|ב|	G|u|s|t|a|v|
ס|ט:י:י|ס|י|	S|t:a|c|y|
ש:א:צ|ק:י:ך|	S:h:a:t:s|k:i:k:h|
ס|א|מ|פ|ס|ו|ן|	S|a|m|p|s|o|n|
ד|י|א|ז|	D|i|a|z|
ק|ר|י|ש|נ|א|	K|r|i|s:h|n|a|
נ|א|ק|א|ו|	N|a|k|a|o|
י|ו|ר|י|ס|	J|o|r|i|s|
ס:י:ג|פ:ר:י|ד|	S:i:e:g|f:r:i:e|d|
צ:'|י|ב|א|	C|h:i|b|a|
ג:ו:ל|א|ם|	G:h:u:l|a|m|
ב|ו:כ:ה|ו|ל|ץ|	B|u:c:h:h|o|l|z|
א|ר|ס|	A|r|s|
מ:ח:ת|ו|פ|י|	M:a:h:d:o|u|f|i|
ק:א:ס|ם|	Q:a:s:s:e|m|
ק:נ|א|ן|	K:i:n|a|n|
ת:ו|ר|	T:h:o|r|
ס:ו:ב|י|ט|	S:u:b:a|i|t|
פ|ו|ד|	F|o|d:e|
ק|ו|ר|י|ל|י|	C|o|r|e|l:l|i|
ר|י|ג:נ:ס|ב:ר:ג|	R|e|g:e:n:s|b:u:r:g|
ב:י|ד|ל|	B:e:a|d|l:e|
מ|י|ל|ק|א|	M|i|l|k|a|
ס|ט|ר|א:י|ס|א|נ|ד|	S|t|r:e|i|s|a|n|d|
ח:א:ש|ו:ג:י|	K:h:a:s:h|o:g:g:i|
ק:ר:י|ס|ט|י|א|ן|	C:h:r:i|s|t|i|a|n|
ה|א|ס:ל:ר|	H|a|ß:l:e:r|
ס|ק|א|נ|ד|י|נ|א|ב|י|א|	S|c|a|n|d|i|n|a|v|i|a|
ב|ו|ל|ט:י:ר|א|	V|o|l|t:e:r:r|a|
ק|א|מ|י|ל|ו|	C|a|m|i|l|o|
ג:'|ו|ב|י|א|ן|	J|o|v|i|a|n|
מ|א|ר|ס:י:ל|	M|a|r|c:e:l:l|
ג|ו|ר|א|נ|י|	G|o|r|a|n|i|
מ|א|ט:ס:ק|א|ז|י|	M|a|t:s:u:k|a|z|e|
ז|א|פ|א|ט|י|ר|ו|	Z|a|p|a|t|e|r|o|
ס|ע|ד|י|	S|a|d|i|
ק|ר|ו|ז|	C|r|u|z|
ר|י|ב|א|ז|	R|e|v|a|z|
נ|ו|ב|ו|י|ו|ק|י|	N|o|b|u|y|u|k|i|
ק|ו|ז|מ|א|	K|o|z|m|a|
ב:נ:י|מ|י|ן|	B:e:n:y:a|m|i|n|
מ|א|ט|ס|ו|ז|א|ו|א|	M|a|t|s|u|z|a|w|a|
פ|א|ד|י|	F|a|d|i|
ג:'|ו|י|	J|o|e:y|
א|ר|ט|א|	A|r|t|a|
ה|א|מ|פ|ט|ו|ן|	H|a|m|p|t|o|n|
נ|ו|ר|י|ו|	N|o|r|i|o|
מ|ר:כ:ז|	M|e:r:k:a:z|
ג|ר|י|מ|א|ל|ד|י|	G|r|i|m|a|l|d|i|
פ|י|ש|ל|ר|	F|i|s:c:h|l|e:r|
ר|י|פ:ע:ט|	R|i|f:a:a:t|
ק|ו|מ|ר|א|ן|	Q|u|m|r|a|n|
א|ל|ב|י|ס|	E|l|v|i|s|
ע|ש|ר|א|ו|י|	A|s:h|r|a|w|i|
ב|ר|ס|ל|י|ן|	B|r:e|s|l|i|n|
פ|א|ס|א|נ|ס|ק|י|	P|a|s|a|n|s|k|i|
ט|ר|ו|ק:ו:ו|ס|ק|י|	T|r|o|c:h:o:w|s|k|i|
מ|ו:ש:ב|	M|o:s:h:a:v|
ר|ו|ב|ר|י|ד|ו|	R|o|b|r|e|d|o|
ב|ר|י|ט|ו|ן|	B|r|e|t|o|n|
י|ו|ר|ו:פ|	E|u|r|o:p:e|
ס|י|ק|ו|ל|א|ר|א|ק|	S|e|k|u|l|a|r|a|c|
ב|י|ר|ל|י|ו|ז|	B|e|r|l|i|o|z|
ח:י:ד|י:א|ט|ו|ל|י|ן|	K:h:i:d|i:y:a|t|u|l:l|i|n|
ק|ו|ר|ט|ז|	K|u|r|t|z|
א:י|ז|ר|י:ל:ז|	I|s|r|a:e:l:s|
ה|א|נ|ו|ב:ר|	H|a|n|o|v:e:r|
ק|י|ט|א|נ|ו|	K|i|t|a|n|o|
א:י|ס|ט|ב|א|ן|	I|s|t|v|a|n|
ג:א:ז|א|נ|י|ג|א|	G:a:z:z|a|n|i|g|a|
ק|ל|א|ו|ס|	C|l|a|u|s|
ס|ו|פ|י|א|	S|o|f|i|a|
ר:ו:ס|י|	R:o:s:s|i|
ר|י|ס|י|ן|	R|i|c|i|n|
ד:א|ו|נ|י|נ|ג|	D|o:w|n|i|n|g|
ב|א:נ:א|ט|י|ן|	B|a:n:n:a|t|y|n:e|
ל:ו:ב|	L:o:v:e|
ב|ו|ק|א|	B|o|c|a|
ק:ו:ר|י|א|	C:o:r:r|e|a|
ד|ו|ר|י|ן|	D|o|r|i|n|
ה|ל|י|ל|	H:a|l|i|l|
מ|א|ט|ס|ו|ק|א|ט|א|	M|a|t|s|u|k|a|t|a|
ק|ו|ר|ז|ו|ן|	C|u|r|z|o|n|
ס|א|נ|ד|ו|ר|	S|a|n|d|o|r|
ק:י|מ:פ:ף|	K|e:m:p:f:f|
ד|ו|ר|י|ס|	D|o|r|i|s|
ט|י|ר|א|ס|פ|ו|ל|	T|i|r|a|s|p|o|l|
ל|י|ב|ר|ט|	L|e|b|e:r|t|
פ|י|ר|ו|ס|י:ט:ש|	P|e|r|u|s|i:c|
ע:א|ט|ף|	A|t:e|f|
ב|י|ר|ו|ס:ו:ס|	B|e|r|o|s:s:u:s|
ל|א|נ|ס|א|נ|א|	L|a|n|s|a|n|a|
ח:ל:ד|ו|ן|	K:h:a:l:d|u|n|
ס|ט|י|פ:א:נ|ו|פ|ו:ל|ו|ס|	S|t|e|p:h:a:n|o|p|o:u:l|o|s|
ה|א|מ|י|ל|ט|ו|ן|	H|a|m|i|l|t|o|n|
ק|ו|ר|י|א|	C|o|r|i|a|
ס|נ|ו:ע|	S:a|n|u|
פ|ל|א|מ|י|ו|ן|	F|l|a|m|i|o|n|
ק|ו|ר|י|ן|	C|o|r|i|n|
ד|ו|מ|י|נ|י|ק|ו|	D|o|m|e|n|i|c|o|
ק|ר|י|ס|ט|י|ן|	K|r|i|s|t|i|n|
מ|א|נ|ו|	M|a|n|u|
ג:'|א|ס|י|נ|ט|ו|	J|a|c|i|n|t|o|
א:י|ר|א|ן|	I|r|a|n|
ב:ט:ר|ו|ן|	B:a:t:r:o|u|n|
ת:ו:ק|י:ד|י|ד|י|ז|	T:h:u:c:y|d|i|d|e|s|
ל|י|ס:ל:י|	L|e|s:l:i:e|
ג:ו:ת|א|ל|ס|	G:o:e:t:h|a|l|s|
ש:י:נ|א|	C:h:y:n:n|a|
פ|ר|א|ן|	F|r|a|n|
מ|ו|ס|ע|ב|	M|o|s|a|b|
ד|י|מ|ו|ש|א|ק|י|	D|i|m|o|s:c:h|a|k|i|
ל|י|ו|נ:ה|	L|y|o|n:n:a:i:s|
מ|ו|ב|ל|י|	M|o|b|l:e|y|
א|ה|ו|ד|	E|h|u|d|
נ|א|ג|א|ל|א|נ|ד|	N|a|g|a|l|a|n|d|
ב|ל|א|ז|י|ק|	B|l|a|z|e|k|
ב|ו|ר|י|ס|	B|o|r|i|s|
פ|ו|ר|ט|ל|א|נ|ד|	P|o|r|t|l|a|n|d|
נ:א:י|	N:i:g:h:y|
מ|ו|ר|א|י|א|מ|א|	M|u|r|a|y|a|m|a|
נ|י|ק|ו|ל|א|י|	N|i|k|o|l|a|i|
ט|י|ט|א|נ|ו|	T|i|t|a|n|o|
ק|א|ב|י|ל|א|	K|a|b|i|l|a|
א|ר|י|ט|ר|י|א|	E|r|i|t|r|e|a|
ל:ו|י|ס|	L:o:u|i|s|
ל|א|ז|א|ר|ו|ס|	L|a|z|a|r|u|s|
פ:ט:ר|ו|ס|	P:e:t:r|u|s|
ס|א|נ|ט|א|מ|א|ר|י|נ|א|	S|a|n|t|a|m|a|r|i|n|a|
א|ר|א|נ|א|	A|r|a|n|a|
ש|ר|ל|ו:ק|	S:h|e:r|l|o:c:k|
ב|ו|ל|י|ט|י|י|ר|י|	B|o|l:l|e|t:t|i|e|r|i|
ט|א|ו|נ|ו|	T|a|u|n|o|
נ|י|ו|ת|	N|e|o|t|
מ|א|ר|ל|י|ן|	M|a|r|l|e|n:e|
י|ו|נ|ל|ו|נ|ג|	Y|u|n|l|o|n|g|
ש:פ|ר|	S:c:h:e:f|e:r|
ח:י:ר|ו:ת|	H:e:r:u|t|
י:ו:ל|ד|ו|ש|	Y:o:‘:l|d|o|s:h|
פ|י|ד|ל|	F|i|d:e|l|
פ:ט:ר|ו|ס|	P:e:t:r|o|s|
ת:ו|נ|ג|ל|א|ו|	T:h:o|n|g|l|a|o|
ז|א|מ|פ|י|ר|	Z|a|m|f|i|r|
ק:ו:י|ס|	K:o:u:i|s|
ל|ב:י|א|	L:a|v|i|
ב|ו|ס:י:ס|	B|o|s:s:i:s|
ג:'|י|נ|א|ס|	J|e|n|a|s|
פ|י|י|נ:צ:י|ל|	P|a|i|n:t:s:i|l|
א:י|ג|א|ר|א|ש|י|	I|g|a|r|a|s:h|i|
ב|א|ב|א|י|א|ר|ו|	B|a|b|a|y|a|r|o|
מ|ו|ר|א|נ|ד|י|	M|o|r|a|n|d|i|
ק:ר:ו|י|י:ש:ה|	C:r:o:a:t|i|a|
מ|ו|ר|י|א|ק|	M:a|u|r|i|a|c|
פ|ו|ל:נ:ד|	P|o|l:a:n:d|
ס|ל:י:ם|	S|a:l:e:e:m|
ר|י|י:ג:ן|	R|e|a:g:a:n|
צ:'|י|ל|ד|י|ר|י|ק|	C|h:i|l|d|e|r|i|c|
א:ו|ה|ר|ל|א|ו|	U|h|r|l|a|u|
ר:ב:י|ק|א|	R:e:b:e:c|c|a|
פ|ר|א|נ|ק:י|	F|r|a|n|k:i:e|
ש|ו|י:ט:ש|י|	S:h|u|i:c|h:i|
מ|א|ט|י|	M|a|t|i|
א:ת:ו|ס|	A:t:h:o|s|
ב|א:ד:ו|	B|a:d:o:u|
ג|ר|א|נ|ד|	G|r|a|n|d|
ד|א|ט|י|	D|a|t|i|
ז|י|ב|י|ט:ש|	Z|e|b|e|c|
נ|י|ק|ו|ל|א|י|	N|i|k|o|l|a|y|
ט|ר|ו|ט|ס|ק|י|	T|r|o|t|s|k|y|
ס|ו|ק|ס|ו|מ|ק|י|ט|	S|u|k|s|o|m|k|i|t|
ר|א|ט|ס|	R|a|t|s|
ב|א|נ|ד|א|ר|א|נ|א|י|ק|ה|	B|a|n|d|a|r|a|n|a|i|k|e|
נ:א:י|ג:':ל|	N|i:g:e:l|
ג|ר|א|נ|ט|	G|r|a|n|t|
מ|א|ט|ס|	M|a|t|s|
פ|ר|א|נ|ק|	F|r|a|n|k|
א:ו:ל|י|מ|פ|י|ק|	O:l|y|m|p|i|c|
פ|י|נ|י|ד|י|	F|i|n|i|d|i|
י:ה:ו|ד|	Y:e:h:u|d|
מ:ח:מ|ד:ו|	M:a:h:a:m|a:d:o:u|
מ|א|ר|מ|א|ר|י|ס|	M|a|r|m|a|r|i|s|
ק|ו|ר|י:ק:י|ו|	K|o|r|e:k:i:y|o|
מ|א|ר|ט:צ:'|ל|ו|	M|a|r|c:e|l|o|
ע|ב|ד|א|ל:ל:ה|	A|b|d|a|l:l:a:h|
ק:ו:ר|י|ו|ל|	C:o:u:r|i|o|l|
פ|ר|א|נ|ס|	F|r|a|n|s|
ב|ו|א|י|נ|ג|	B|o|e|i|n|g|
מ|א|ר|ק|ו|ס|	M|a|r|c|o|s|
ה|א|ג|י|	H|a|g|i|
ר|ו|ד|ר|י|ג|ו|	R|o|d|r|i|g|o|
ל:נ:ג|ל|ן|	L:e:n:g|l:e|n|
ב:י|ר|ז|ו|ט|	B:e:a|r|z|o|t|
נ|א|ג|י|	N|a|g|i|
ק|ו|נ|ו|ס|ו|ק|ה|	K|o|n|o|s|u|k|e|
מ:י:ק|ה:י:ו|	M|c:h:u:g:h|
ל:ו|	L:o:u|
נ:ו|	N:o:u|
י:ר:ו|ן|	Y:a:r:o|n|
ק|א|ל|ג|א|ר|י|	C|a|l|g|a|r|y|
ו|ל|צ:'|ק|	V|l|c|e:k|
ר|י|ד|נ:א:פ|	R|e|d|k:n:a:p:p|
ה|ו|נ|ד|ר|ט:ו:ו|א:ס:ר|	H|u|n|d|e:r|t:w|a:s:s:e:r|
ע:ו|ז|י:י:ר|	O|z:e|r|
א:י|י|ז|נ|ר|	E|i|s|n|e:r|
א:נ:ג|י:ל|	A:n:g:h:e|l|
ג|א|נ|ד|א|ם|	G|u|n|d|a|m|
ע:ר:ק|ט|י|נ|ג|י|	A:r:a:c|t|i|n|g|i|
ג:'|י:ל|א|ל|י|	D:j:i|l|a|l|i|
ד:ה|א|ם|	D:a:h|a|m|
ק:י:פ|ר|	K:i:e:f:e|r|
א:י:ב|ר|י|	I:v|r|i|
ג:':ק|	J:a:c:k|
ב:נ:ג|ל|א|ד|ש|	B:a:n:g|l|a|d:e|s:h|
ס|ט|ר|א|ד|י|ב|א|ר|י|ו|ס|	S|t|r|a|d|i|v|a|r|i|u|s|
ב:נ:ס|	B:e:n:e:s|
פ|א|ט|ר|ס|ו|ן|	P|a|t|e:r|s|o|n|
ד|ר|א|מ|א|נ|י|	D|r|a|m|a|n|i|
ה:ו|ב|ר|ט|	H:u:b|b|e:r|t|
ב:ו:ל|ר|	V:o:l:l:e|r|
ה|א|ש|י|	H|a|s:h|i|
פ|נ|י|נ|ה|	P|n|i|n|a|
מ|א|ר|ק:י:ס|	M|a|r|q:u:e:s|
ט:א:ס|ו|ט|י|	T:a:s:s|o|t:t|i|
מ|א|ר|ק|ו|ס|	M|a|r|c|u|s|
ע:א|ד|	A|d:e|
ק:א:ר|י|ל|	C:a:r:r|e|l|
ל:י:ו|ו:י:ר|א|נ|י|	L|i:v:e:r|a|n|i|
ג:'|א|ק:ל|י|ן|	J|a|c:q:u:e:l|i|n:e|
ב|א|ר|ס|י:ל|א|ט|א|	B|a|r|c:e|l|a|t|a|
מ|א|צ:':א|ל|א|	M|a|c:a|l|a|
א:ו:ר|ל|	A:u:r:e|l|
ק|ו|ד|ר:ו|	K|u|d|r:o:w|
ג|ו|ט|ל:י:ב|	G|o|t|t:l:i:e:b|
ו|י|ט|ל|	W:h|i|t:t|l:e|
ר:י:צ|'|א|ר|ד|ס|ו|ן|	R:i|c:h|a|r|d|s|o|n|
נ|ו|ר|י|נ|א|	N|o|r:e|e|n|a|
ו:י|א|ן|	W:e:i|a|n|
ט|י|ר|י|נ:ס|	T|e|r|e|n:c:e|
מ|ר|ב|ר:ו:ק|	M:a|r|b|r:o:o:k|
ג:'|א|ס:י:ם|	J|a|s:s:i:m|
ק|ר|י|ס|פ|ו|ס|	C|r|i|s|p|u|s|
מ:א:ק|ו:ר|מ:י:ק|	M:c|c:o:r|m:i:c:k|
נ|ל|ס|ו|ן|	N|e:l|s|o|n|
ב|ו|ר|ו|	B|o|r|u|
מ:נ|א|	M:e:n|a|
ר:א|י|ד|ר|	R|y|d|e:r|
פ|א:י:ל|ו|	F|i:l|o|
ר:ו:ק|ו|	R:o:c:c|o|
פ|ו|ק|א|ה|ו|נ|ט|א|ס|	P|o|c|a|h|o|n|t|a|s|
ה|א|י|ד|ן|	H|a|y|d|n|
מ|ו|ר|י|ה|י|ר|ו|	M|o|r|i|h|i|r|o|
נ|א|נ|ד|ו|ר|	N|a|n|d|o|r|
ס:נ:א|י|ד|ר|	S:n|y|d|e:r|
ס:פ:ר|י:ו:י|	S:e:f:r|i:o:u:i|
ל|י|ו|פ|א|ר|ד|י|	L|e|o|p|a|r|d|i|
א|נ|א|ט|ו|ל|	A|n|a|t|o|l|
פ|ו|ר|ט|ו|ג:ס:י|	P|o|r|t|o|g:h:e:s:i|
ק:ו:ל|ה|א|ס|	K:o:o:l:h|a|a|s|
פ|י|ר|ס:י|	P|e|r|s:i:e|
צ:':א|פ|מ|א|ן|	C:h|a:p|m|a|n|
ה:ל:מ|ה|ו|ל|ץ|	H:e:l:m|h|o|l|t:z|
ט:ו:מ|ו|	T:o:m:o|u|
ב|ו|ל|ו|נ|י|	B|o|l|o|n|i|
נ|י|ש|י|ק|א|ו|א|	N|i|s:h|i|k|a|w|a|
ק|ו|ס|ו|ב|ו|	K|o|s|o|v|o|
ב|ר|ג|מ:א:ן|	B|e:r|g|m:a:n:n|
ל:ר:מ|נ|ט|ו|ב|	L:e:r:m:o|n|t|o|v|
ד|י|ל|ס|ו|ן|	D|e|l|s|o|n|
ק|ו|ד|ג:'|א|	C|o|d|j|i:a|
ס|ט|ר|ו:ס:נ|ר|	S|t|r|o:e:s:s:n|e:r|
ו|י|ר|ק|י|ר|ק|	V|e|r|k|e|r|k|
ו:א:י|ס|	W:e:i:s|s|
ו|א|ס|י:ג:'|	W|a|s|e:i:g:e|
ס|ט|י|ק|ל|נ:ב:י|ר|ג|	S|t|e|k:e|l|e:n:b:u|r|g|
נ|א|ס:י:ם|	N|a|s:s:i:m|
ז|י|ק|ל|ו|ן|	Z|y|k|l|o|n|
ק|ו|מ|פ|א|ו|ר|י|	C|o|m|p|a|o|r|e|
ט|י|נ|א|ן|	T|y|n|a|n|
פ|ו|י|ו|ל|	P|u|y|o|l|
ב|י|ר|נ|א|נ|ק|י|	B|e|r|n|a|n|k|e|
פ|י|ט|ר|	P|e|t|e:r|
ר|א|ס|מ|ו|ס|	R|a|s|m|u|s|
מ:ו|י:נ:י|	M|w:e:e:n:e|
א|ל|ג:י:פ|א|ר|י|	A|l|g:h:i:f|a|r|i|
ב:ר:ק|א|ט|	B:a:r:a:k|a|t|
ק|י|ב|א|ק|י|	K|i|b|a|k|i|
ס:פ:א|פ|א|	S:a:f:a|f|a|
א:ו:ר|נ:י:ם|	O:r|a:n:i:m|
ו:ו:ר|ד|י|ק:ר|ז|	V:o:o:r|d|e|c:k:e:r|s|
ח|ו|ל|ו|ן|	H|o|l|o|n|
י:ו:ס|ט:א:ס|	U:s|t:a:s:e|
ס|ו|ד|ב:ר:י|	S|u|d|b:u:r:y|
ו|ו|י:צ:ק|	W|o|j:c:i:k|
ז|א|ה|ו|ר|ס|ק|י|	Z|a|h|o|r|s|k|i|
פ|א|ז|	P|a|z|
ר|א|ז|	R|a|z|
ר|א|מ|י|	R|a|m|y|
ס|א|מ|י|	S|a|m|y|
ב|א|י|ק|ו|נ|ו|ר|	B|a|i|k|o|n|u|r|
ד|א|ר|ס|י|ס|	D|a|r|c|i|s|
ה|י|ט|ס:ל:פ|י|ר|ג|ר|	H|i|t|z:l:s:p|e|r|g|e:r|
ק:ל:ו|ר|א|מ:פ:י|נ|י|ק|ו|ל|	C:h:l:o|r|a|m:p:h:e|n|i|c|o|l|
א:י|ש|י|ה|א|ר|א|	I|s:h|i|h|a|r|a|
ל|א|מ|י|	L|a|m|y|
ע|ז|י|ז|	A|z|i|z|
ט:י:ג|י:ל:ס|	T:e|u:g:e:l:s|
ל:י:מ|ו|ט:ש|י|א|	L:e:m:m:o|u|c|h:i|a|
ד|י|נ|ק|ל|י|ג|'|	D|i|n|k|l|a|g|e|
ט:י:ר|י|	T:e:r:r|y|
ק|א|ו|ר|י|	K|a|o|r|i|
א|נ|ק|א|	A|n|k|a|
צ:ב:י|ט|א|ן|	T:z:v:e|t|a|n|
ש:מ|י|ר|	S:h:a:m|i|r|
ב|ר|א|י|ז|א|ט|	B|r|a|i|z|a|t|
ל|א|ז|א|ר|	L|a|z|a|r:e|
ט|א|ט|י|א|נ|א|	T|a|t|y|a|n|a|
ג|ו|י|א|נ|א|	G|u|y|a|n|a|
ז:ו:י|י:ל|	Z:e:w:a:i|l|
ס:י:א|נ|א|	S:i:e:n|n|a|
ב|ר|נ|ו|	B|r|n|o|
ס|ט|י|פ:א:ן|	S|t|e|p:h:a:n|
ב:ח:ר|	B:a:h:r|
ב|ר|ז:ו:צ|ק|י|	B|e:r|e:z:u:t:s|k|i|
ע:א|מ|ל|	A|m|e:l|
ק|ל|ו|ג|	K|l|u|g|
ר|ו|י|	R|u|y|
